date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,34,1,2,8,51,2,2,10,38,16,1,15,3,6,0,0
2021-08-11,34,1,2,8,51,2,2,10,38,16,1,15,3,6,0,0
2021-08-12,34,1,2,8,52,2,2,10,38,15,1,15,3,6,0,0
2021-08-13,34,1,2,8,52,2,2,10,38,15,1,15,3,6,0,0
2021-08-14,34,1,2,8,52,2,2,10,38,15,1,15,3,6,0,0
2021-08-15,34,1,2,8,52,2,2,10,38,15,1,15,3,6,0,0
2021-08-16,36,1,2,8,52,2,2,10,38,15,1,15,3,6,0,0
2021-08-17,36,1,2,8,53,2,2,10,38,15,1,15,3,6,0,0
2021-08-18,36,1,2,8,55,2,2,10,43,15,1,15,3,6,0,0
2021-08-19,38,1,2,8,55,2,2,10,43,15,1,15,3,6,0,0
2021-08-20,38,1,2,8,55,2,2,10,43,15,1,15,3,6,0,0
2021-08-21,38,1,2,8,57,2,2,10,43,15,1,15,3,6,0,0
2021-08-22,38,1,2,8,57,2,2,10,43,15,1,15,3,6,0,0
2021-08-23,38,1,2,8,57,2,2,10,43,15,1,15,3,6,0,0
2021-08-24,38,1,2,8,57,2,2,10,43,15,1,15,3,6,0,0
2021-08-25,38,1,2,8,57,2,2,10,43,15,1,15,3,6,0,0
2021-08-26,38,1,2,8,57,2,2,10,44,15,1,15,3,6,0,0
2021-08-27,39,1,2,8,57,2,2,10,44,15,1,15,3,6,0,0
2021-08-28,39,1,2,8,58,2,2,10,44,15,1,15,3,6,0,0
2021-08-29,39,1,2,8,58,2,2,10,44,15,1,15,3,6,0,0
2021-08-30,40,1,2,8,58,2,2,10,44,16,1,15,3,6,0,0
2021-08-31,42,1,2,8,59,2,2,10,44,16,1,15,3,6,0,0
2021-09-01,42,1,2,8,62,2,2,10,44,16,1,15,3,6,0,0
2021-09-02,42,1,2,8,62,2,2,10,44,16,1,15,3,6,0,0
2021-09-03,42,1,2,8,62,2,2,10,44,16,1,15,3,6,0,0
2021-09-04,42,1,2,8,62,2,2,10,41,16,1,15,3,6,0,0
2021-09-05,42,1,2,8,62,2,2,10,41,16,1,15,3,6,0,0
2021-09-06,42,1,2,8,63,2,2,10,41,16,1,15,3,6,0,0
2021-09-07,42,1,2,8,63,2,2,10,41,16,1,15,3,6,0,0
2021-09-08,43,1,2,8,63,2,2,10,41,16,1,15,3,6,0,0
2021-09-09,44,1,2,8,64,2,2,10,43,16,1,15,3,6,0,0
2021-09-10,47,1,2,8,69,2,2,10,43,16,1,15,3,6,0,0
2021-09-11,47,1,2,8,74,2,2,10,43,16,1,15,3,6,0,0
2021-09-12,48,1,2,8,74,2,2,10,43,16,1,15,3,6,0,0
2021-09-13,49,1,2,8,75,2,2,10,43,16,1,15,3,6,0,0
2021-09-14,49,1,2,8,76,2,2,10,43,17,1,16,3,6,0,0
2021-09-15,50,1,2,8,76,2,2,10,43,17,1,16,3,6,0,0
2021-09-16,50,1,2,8,76,2,2,10,43,17,1,16,3,6,0,0
2021-09-17,50,1,2,8,76,2,2,10,43,17,1,16,3,6,0,0
2021-09-18,50,1,2,8,76,2,2,10,43,17,1,16,3,6,0,0
2021-09-20,50,1,2,8,76,2,2,10,43,17,1,16,3,6,0,0
