date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,150,0,13,1,203,4,13,8,21,27,0,35,0,0,0,0
2021-08-11,150,0,13,1,203,4,13,8,21,27,0,35,0,0,0,0
2021-08-12,150,0,13,1,203,4,13,8,21,27,0,35,0,0,0,0
2021-08-13,150,0,13,1,203,4,13,8,21,27,0,35,0,0,0,0
2021-08-14,150,0,13,1,203,4,13,8,21,27,0,35,0,0,0,0
2021-08-15,150,0,13,1,203,4,13,8,21,27,0,35,0,0,0,0
2021-08-16,150,0,13,1,203,4,13,8,21,27,0,35,0,0,0,0
2021-08-17,150,0,13,1,203,4,13,8,21,27,0,35,0,0,0,0
2021-08-18,150,0,13,1,203,4,13,8,21,27,0,35,0,0,0,0
2021-08-19,150,0,13,1,203,4,13,8,21,27,0,35,0,0,0,0
2021-08-20,150,0,13,1,203,4,13,8,21,27,0,35,0,0,0,0
2021-08-21,150,0,13,1,203,4,13,8,21,27,0,35,0,0,0,0
2021-08-22,150,0,13,1,203,4,13,8,21,27,0,35,0,0,0,0
2021-08-23,150,0,13,1,203,4,13,8,21,27,0,35,0,0,0,0
2021-08-24,150,0,13,1,203,4,13,8,21,27,0,35,0,0,0,0
2021-08-25,150,0,13,1,203,4,13,8,21,27,0,35,0,0,0,0
2021-08-26,150,0,13,1,203,4,13,8,21,27,0,35,0,0,0,0
2021-08-27,150,0,13,1,203,4,13,8,21,27,0,35,0,0,0,0
2021-08-28,150,0,13,1,203,4,13,8,21,27,0,35,0,0,0,0
2021-08-29,150,0,13,1,203,4,13,8,21,27,0,35,0,0,0,0
2021-08-30,150,0,13,1,203,4,13,8,21,27,0,35,0,0,0,0
2021-08-31,150,0,13,1,203,4,13,8,21,27,0,35,0,0,0,0
2021-09-01,150,0,13,1,203,4,13,8,21,27,0,35,0,0,0,0
2021-09-02,150,0,13,1,203,4,13,8,21,27,0,35,0,0,0,0
2021-09-03,150,0,13,1,203,4,13,8,21,27,0,35,0,0,0,0
2021-09-04,150,0,13,1,203,4,13,8,21,27,0,35,0,0,0,0
2021-09-05,150,0,13,1,203,4,13,8,21,27,0,35,0,0,0,0
2021-09-06,150,0,13,1,203,4,13,8,21,27,0,35,0,0,0,0
2021-09-07,150,0,13,1,203,4,13,8,21,27,0,35,0,0,0,0
2021-09-08,150,0,13,1,203,4,13,8,21,27,0,35,0,0,0,0
2021-09-09,150,0,13,1,203,4,13,8,21,27,0,35,0,0,0,0
2021-09-10,150,0,13,1,203,4,13,8,21,27,0,35,0,0,0,0
