date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,521,0,45,0,758,4,45,319,0,0,0,0,0,0,0,5
2021-08-11,521,0,45,0,758,4,45,319,0,0,0,0,0,0,0,5
2021-08-12,522,0,45,0,761,4,45,319,0,0,0,0,0,0,0,5
2021-08-13,522,0,45,0,762,4,45,319,0,0,0,0,0,0,0,5
2021-08-14,522,0,45,0,762,4,45,319,0,0,0,0,0,0,0,5
2021-08-15,522,0,45,0,762,4,45,319,0,0,0,0,0,0,0,5
2021-08-16,523,0,45,0,762,4,45,319,0,0,0,0,0,0,0,5
2021-08-17,524,0,45,0,763,4,45,319,0,0,0,0,0,0,0,5
2021-08-18,526,0,45,0,764,4,45,319,0,0,0,0,0,0,0,5
2021-08-19,526,0,45,0,765,4,45,319,0,0,0,0,0,0,0,5
2021-08-20,528,0,45,0,769,4,45,319,0,0,0,0,0,0,0,5
2021-08-21,528,0,45,0,771,4,45,319,0,0,0,0,0,0,0,5
2021-08-22,529,0,45,0,771,4,45,319,0,0,0,0,0,0,0,5
2021-08-23,532,0,45,0,772,4,45,319,0,0,0,0,0,0,0,5
2021-08-24,533,0,45,0,775,4,45,319,0,0,0,0,0,0,0,5
2021-08-25,533,0,45,0,776,4,45,319,0,0,0,0,0,0,0,5
2021-09-16,505,0,45,0,722,4,45,319,0,0,0,0,0,0,0,5
2021-09-17,505,0,45,0,722,4,45,319,0,0,0,0,0,0,0,5
2021-09-18,506,0,45,0,722,4,45,319,0,0,0,0,0,0,0,5
2021-09-19,506,0,45,0,723,4,45,319,0,0,0,0,0,0,0,5
2021-09-20,506,0,45,0,723,4,45,319,0,0,0,0,0,0,0,5
2021-11-22,528,0,45,0,758,4,45,319,0,0,0,0,0,0,0,5
2022-05-03,1745,1,45,0,3828,5,45,350,0,0,0,0,0,72321,0,5
2022-05-07,1745,1,45,0,3828,5,45,350,0,0,0,0,0,72321,0,5
2022-05-08,1745,1,45,0,3828,5,45,350,0,0,0,0,0,72321,0,5
2022-05-09,1745,1,45,0,3828,5,45,350,0,0,0,0,0,72321,0,5
2022-05-10,1745,1,45,0,3828,5,45,350,0,0,0,0,0,72321,0,5
2022-05-11,1745,1,45,0,3828,5,45,350,0,0,0,0,0,72321,0,5
2022-05-12,1745,1,45,0,3828,5,45,350,0,0,0,0,0,72321,0,5
2022-05-13,1745,1,45,0,3828,5,45,350,0,0,0,0,0,72321,0,5
2022-05-14,1745,1,45,0,3828,5,45,350,0,0,0,0,0,72321,0,5
2022-05-15,1745,1,45,0,3828,5,45,350,0,0,0,0,0,72321,0,5
2022-05-16,1745,1,45,0,3828,5,45,350,0,0,0,0,0,72321,0,5
2022-05-17,1746,1,45,0,3828,5,45,350,0,0,0,0,0,72321,0,5
2022-05-18,1746,1,45,0,3828,5,45,350,0,0,0,0,0,72321,0,5
2022-05-19,1746,1,45,0,3828,5,45,350,0,0,0,0,0,72321,0,5
2022-05-20,1746,1,45,0,3828,5,45,350,0,0,0,0,0,72321,0,5
2022-05-21,1747,1,45,0,3828,5,45,350,0,0,0,0,0,72321,0,5
2022-05-22,1747,1,45,0,3828,5,45,350,0,0,0,0,0,72321,0,5
2022-05-23,1747,1,45,0,3828,5,45,350,0,0,0,0,0,72321,0,5
2022-05-24,1747,1,45,0,3828,5,45,350,0,0,0,0,0,72321,0,5
2022-05-25,1747,1,45,0,3828,5,45,350,0,0,0,0,0,72321,0,5
2022-05-26,1747,1,45,0,3828,5,45,350,0,0,0,0,0,72321,0,5
2022-05-27,1747,1,45,0,3828,5,45,350,0,0,0,0,0,72321,0,5
2022-05-28,1747,1,45,0,3828,5,45,350,0,0,0,0,0,72321,0,5
2022-05-29,1747,1,45,0,3828,5,45,350,0,0,0,0,0,72321,0,5
2022-05-30,1747,1,45,0,3828,5,45,350,0,0,0,0,0,72321,0,5
2022-05-31,1747,1,45,0,3828,5,45,350,0,0,0,0,0,72321,0,5
2022-06-01,1747,1,45,0,3828,5,45,350,0,0,0,0,0,72321,0,5
2022-06-02,1747,1,45,0,3828,5,45,350,0,0,0,0,0,72321,0,5
2022-06-03,1747,1,45,0,3828,5,45,350,0,0,0,0,0,72321,0,5
2022-06-04,1747,1,45,0,3828,5,45,350,0,0,0,0,0,72321,0,5
2022-06-05,1747,1,45,0,3828,5,45,350,0,0,0,0,0,72321,0,5
2022-06-06,1747,1,45,0,3828,5,45,350,0,0,0,0,0,72321,0,5
2022-06-07,1747,1,45,0,3828,5,45,350,0,0,0,0,0,72321,0,5
2022-06-08,1747,1,45,0,3828,5,45,350,0,0,0,0,0,72321,0,5
2022-06-09,1747,1,45,0,3828,5,45,350,0,0,0,0,0,72321,0,5
2022-06-10,1747,1,45,0,3828,5,45,350,0,0,0,0,0,72321,0,5
2022-06-11,1747,1,45,0,3828,5,45,350,0,0,0,0,0,72321,0,5
2022-06-12,1747,1,45,0,3828,5,45,350,0,0,0,0,0,72321,0,5
2022-06-13,1747,1,45,0,3828,5,45,350,0,0,0,0,0,72321,0,5
2022-06-14,1747,1,45,0,3828,5,45,350,0,0,0,0,0,72321,0,5
2022-06-15,1747,1,45,0,3828,5,45,350,0,0,0,0,0,72321,0,5
2022-06-16,1747,1,45,0,3828,5,45,350,0,0,0,0,0,72321,0,5
2022-06-17,1747,1,45,0,3828,5,45,350,0,0,0,0,0,72321,0,5
2022-06-18,1747,1,45,0,3828,5,45,350,0,0,0,0,0,72321,0,5
2022-06-19,1747,1,45,0,3828,5,45,350,0,0,0,0,0,72321,0,5
2022-06-20,1747,1,45,0,3828,5,45,350,0,0,0,0,0,72321,0,5
2022-06-21,1747,1,45,0,3828,5,45,350,0,0,0,0,0,72321,0,5
2022-06-22,1747,1,45,0,3828,5,45,350,0,0,0,0,0,72321,0,5
2022-06-23,1747,1,45,0,3828,5,45,350,0,0,0,0,0,72321,0,5
2022-06-24,1747,1,45,0,3828,5,45,350,0,0,0,0,0,72321,0,5
2022-06-25,1747,1,45,0,3828,5,45,350,0,0,0,0,0,72321,0,5
2022-06-26,1747,1,45,0,3828,5,45,350,0,0,0,0,0,72321,0,5
2022-06-27,1747,1,45,0,3828,5,45,350,0,0,0,0,0,72321,0,5
2022-06-28,1747,1,45,0,3828,5,45,350,0,0,0,0,0,72321,0,5
2022-06-29,1747,1,45,0,3828,5,45,350,0,0,0,0,0,72321,0,5
2022-06-30,1747,1,45,0,3828,5,45,350,0,0,0,0,0,72321,0,5
2022-07-01,1747,1,45,0,3828,5,45,350,0,0,0,0,0,72321,0,5
2022-07-02,1747,1,45,0,3828,5,45,350,0,0,0,0,0,72321,0,5
2022-07-03,1747,1,45,0,3828,5,45,350,0,0,0,0,0,72321,0,5
2022-07-04,1747,1,45,0,3828,5,45,350,0,0,0,0,0,72321,0,5
2022-07-05,1747,1,45,0,3828,5,45,350,0,0,0,0,0,72321,0,5
2022-07-06,1747,1,45,0,3828,5,45,350,0,0,0,0,0,72321,0,5
2022-07-07,1747,1,45,0,3828,5,45,350,0,0,0,0,0,72321,0,5
2022-07-08,1747,1,45,0,3828,5,45,350,0,0,0,0,0,72321,0,5
2022-07-09,1747,1,45,0,3828,5,45,350,0,0,0,0,0,72321,0,5
2022-07-10,1747,1,45,0,3828,5,45,350,0,0,0,0,0,72321,0,5
2022-07-11,1747,1,45,0,3828,5,45,350,0,0,0,0,0,72321,0,5
2022-07-12,1747,1,45,0,3828,5,45,350,0,0,0,0,0,72321,0,5
2022-07-13,1747,1,45,0,3828,5,45,350,0,0,0,0,0,72321,0,5
2022-07-14,1747,1,45,0,3828,5,45,350,0,0,0,0,0,72321,0,5
2022-07-15,1747,1,45,0,3828,5,45,350,0,0,0,0,0,72321,0,5
2022-07-16,1747,1,45,0,3828,5,45,350,0,0,0,0,0,72321,0,5
2022-07-17,1747,1,45,0,3828,5,45,350,0,0,0,0,0,72321,0,5
2022-07-18,1747,1,45,0,3828,5,45,350,0,0,0,0,0,72321,0,5
2022-07-19,1747,1,45,0,3828,5,45,350,0,0,0,0,0,72321,0,5
2022-07-20,1747,1,45,0,3828,5,45,350,0,0,0,0,0,72321,0,5
2022-07-21,1747,1,45,0,3828,5,45,350,0,0,0,0,0,72321,0,5
2022-07-22,1747,1,45,0,3828,5,45,350,0,0,0,0,0,72321,0,5
