date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,1958,1,0,147,5142,47,0,168,25,400,57,8535,24,2554,2,2
2021-08-11,1959,1,0,147,5142,47,0,168,25,400,57,8535,24,2554,2,2
2021-08-12,1962,1,0,147,5148,47,0,168,25,400,57,8535,24,2554,2,2
2021-08-13,1967,1,0,147,5153,47,0,168,25,400,57,8535,24,2554,2,2
2021-08-14,1968,1,0,147,5162,47,0,168,25,400,57,8535,24,2554,2,2
2021-08-15,1969,1,0,147,5166,47,0,168,25,400,57,8535,24,2554,2,2
2021-08-16,1976,1,0,147,5168,47,0,168,25,400,57,8535,24,2554,2,2
2021-08-17,1983,1,0,147,5178,47,0,168,25,400,57,8535,24,2554,2,2
2021-08-18,1985,1,0,147,5189,47,0,168,25,400,57,8535,24,2554,2,2
2021-08-19,1989,1,0,147,5196,47,0,168,25,400,57,8535,24,2554,2,2
2021-08-20,1992,1,0,147,5201,47,0,168,25,400,57,8535,24,2554,2,2
2021-08-21,1994,1,0,147,5208,47,0,168,25,400,57,8535,24,2554,2,2
2021-08-22,1994,1,0,147,5212,47,0,168,25,400,57,8535,24,2554,2,2
2021-08-23,1998,1,0,147,5213,47,0,168,25,400,57,8535,24,2554,2,2
2021-08-24,2001,1,0,147,5238,47,0,168,25,400,57,8535,24,2554,2,2
2021-08-25,2005,1,0,147,5244,47,0,169,25,400,57,8535,24,2554,2,2
2021-08-26,2008,1,0,147,5252,47,0,169,25,400,57,8535,24,2554,2,2
2021-08-27,2011,1,0,147,5258,47,0,169,25,400,57,8535,24,2554,2,2
2021-08-28,2013,1,0,147,5265,47,0,169,25,400,57,8535,24,2554,2,2
2021-08-29,2015,1,0,147,5272,47,0,169,25,400,57,8535,24,2554,2,2
2021-08-30,2024,1,0,147,5275,47,0,170,25,400,57,8535,24,2554,2,2
2021-08-31,2027,1,0,147,5291,47,0,170,25,400,57,8535,24,2554,2,2
2021-09-01,2030,1,0,147,5299,47,0,193,25,400,57,8535,24,2554,2,2
2021-09-02,2032,1,0,148,5314,47,0,193,25,400,57,8535,24,2554,2,2
2021-09-03,2035,1,0,148,5318,47,0,194,25,400,57,8535,24,2554,2,2
2021-09-04,2039,1,0,148,5325,47,0,194,25,400,57,8535,24,2554,2,2
2021-09-05,2039,1,0,149,5331,47,0,195,25,400,57,8535,24,2554,2,2
2021-09-06,2049,1,0,149,5332,47,0,200,25,400,57,8535,24,2554,2,2
2021-09-07,2053,1,0,149,5346,47,0,200,25,400,57,8535,24,2554,2,2
2021-09-08,2061,1,0,149,5355,47,0,200,25,400,57,8535,24,2554,2,2
2021-09-09,2068,1,0,149,5369,47,0,200,25,400,57,8535,24,2554,2,2
2021-09-10,2074,1,0,149,5385,47,0,200,25,400,57,8535,24,2554,2,2
2021-09-11,2078,1,0,149,5395,47,0,200,25,400,57,8535,24,2554,2,2
2021-09-12,2079,1,0,153,5406,47,0,202,25,400,57,8535,24,2554,2,2
2021-09-13,2087,1,0,146,5408,47,0,206,25,400,57,8535,24,2554,2,2
2021-09-14,2092,1,0,146,5423,47,0,186,25,400,57,8535,24,2554,2,2
2021-09-15,2094,1,0,146,5436,47,0,186,25,400,57,8535,24,2554,2,2
2021-09-16,2095,1,0,146,5447,47,0,186,25,400,57,8535,24,2554,2,2
2021-09-17,2098,1,0,146,5455,47,0,186,25,400,57,8535,24,2554,2,2
2021-09-18,2102,1,0,146,5465,47,0,186,25,400,57,8535,24,2554,2,2
2021-09-19,2103,1,0,146,5474,47,0,186,25,400,57,8535,24,2554,2,2
2021-09-20,2108,1,0,146,5477,47,0,186,25,400,57,8535,24,2554,2,2
2021-11-22,2441,6,0,184,6194,53,0,192,28,403,57,8535,24,2554,2,2
2022-05-03,3297,4,0,213,8247,63,0,221,29,611,61,8569,94,2554,2,2
2022-05-07,3310,4,0,215,8278,63,0,223,29,642,61,8569,96,2554,2,2
2022-05-08,3311,4,0,215,8279,63,0,223,29,642,61,8569,96,2554,2,2
2022-05-09,3311,4,0,215,8279,63,0,223,29,642,61,8569,96,2554,2,2
2022-05-10,3312,4,0,215,8279,63,0,223,29,642,61,8569,96,2554,2,2
2022-05-11,3314,3,0,215,8279,63,0,223,29,642,61,8569,96,2554,2,2
2022-05-12,3314,3,0,215,8282,63,0,223,29,664,61,8569,96,2554,2,2
2022-05-13,3315,3,0,215,8283,63,0,223,29,664,61,8569,96,2554,2,2
2022-05-14,3318,3,0,216,8283,63,0,223,29,664,61,8569,96,2554,2,2
2022-05-15,3318,3,0,216,8286,63,0,224,29,664,61,8569,96,2554,2,2
2022-05-16,3317,3,0,215,8290,63,0,223,29,664,61,8569,96,2554,2,2
2022-05-17,3320,3,0,215,8294,63,0,223,29,664,61,8569,96,2554,2,2
2022-05-18,3323,4,0,215,8296,64,0,223,29,664,61,8569,96,2554,2,2
2022-05-19,3327,4,0,215,8296,64,0,223,29,664,61,8569,96,2554,2,2
2022-05-20,3328,4,0,215,8301,64,0,223,29,665,61,8569,96,2554,2,2
2022-05-21,3331,4,0,215,8302,64,0,223,29,665,61,8569,96,2554,2,2
2022-05-22,3333,4,0,215,8308,64,0,223,29,665,61,8569,96,2554,2,2
2022-05-23,3337,4,0,215,8312,64,0,223,29,665,61,8569,96,2554,2,2
2022-05-24,3337,4,0,215,8312,64,0,223,29,674,61,8569,96,2554,2,2
2022-05-25,3339,4,0,215,8315,64,0,223,29,674,61,8569,96,2554,2,2
2022-05-26,3339,4,0,215,8315,64,0,223,29,674,61,8569,96,2554,2,2
2022-05-27,3341,4,0,215,8315,64,0,223,29,674,61,8569,96,2554,2,2
2022-05-28,3342,4,0,215,8317,64,0,223,29,674,61,8569,96,2554,2,2
2022-05-29,3342,4,0,215,8318,64,0,223,29,674,61,8569,96,2554,2,2
2022-05-30,3345,4,0,215,8321,64,0,223,29,674,61,8569,96,2554,2,2
2022-05-31,3345,3,0,215,8321,64,0,223,29,674,61,8569,96,2554,2,2
