date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2023-02-11,8963,2,0,1553,9719,7,7,1553,8,1451,306,14783,94,203650,0,0
2023-02-12,8963,2,0,1553,9719,7,7,1553,8,1451,306,14783,94,203992,0,0
2023-02-13,8963,2,0,1553,9719,7,7,1553,8,1451,306,14783,94,204480,0,0
2023-02-14,8966,2,0,1553,9722,7,7,1554,8,1451,306,14783,94,204762,0,0
2023-02-15,8967,2,0,1553,9723,7,7,1554,8,1451,306,14783,94,206144,0,0
2023-02-16,8969,2,0,1553,9725,7,7,1554,8,1451,306,14783,94,206865,0,0
2023-02-17,8971,2,0,1553,9727,7,7,1554,8,1451,306,14783,94,207160,0,0
2023-02-18,8972,2,0,1553,9728,7,7,1554,8,1451,306,14783,94,207371,0,0
2023-02-19,8971,2,0,1553,9728,7,7,1554,8,1451,306,14783,94,207801,0,0
2023-02-20,8972,2,0,1553,9729,7,7,1554,8,1451,306,14783,94,208362,0,0
2023-02-21,8975,2,0,1553,9732,7,7,1554,8,1451,306,14783,94,209885,0,0
2023-02-22,8977,2,0,1553,9734,7,7,1554,8,1451,306,14783,94,211218,0,0
2023-02-23,8979,2,0,1553,9736,7,7,1554,8,1451,306,14783,94,212412,0,0
2023-02-24,8983,2,0,1553,9741,7,7,1554,7,1451,306,14783,94,215881,0,0
2023-02-25,8984,2,0,1553,9743,7,7,1554,7,1451,306,14783,94,217083,0,0
2023-02-26,8984,2,0,1553,9744,7,7,1554,7,1451,306,14783,94,218269,0,0
2023-02-27,8985,2,0,1553,9745,7,7,1554,7,1451,306,14783,94,218553,0,0
2023-02-28,8986,2,0,1553,9747,7,7,1554,7,1451,306,14783,94,219036,0,0
2023-03-01,8988,1,0,1553,9749,7,7,1554,7,1451,306,14783,94,219720,0,0
2023-03-02,8988,1,0,1553,9749,7,7,1554,7,1451,306,14783,94,220571,0,0
2023-03-03,8990,1,0,1553,9751,7,7,1556,7,1451,306,14783,94,221515,0,0
2023-03-04,8992,1,0,1553,9752,7,7,1556,7,1451,306,14783,94,221862,0,0
2023-03-05,8992,1,0,1553,9753,7,7,1556,7,1451,306,14783,94,222148,0,0
2023-03-06,8993,1,0,1553,9754,7,7,1556,7,1451,306,14783,94,222572,0,0
2023-03-07,8993,1,0,1553,9754,7,7,1556,7,1451,306,14783,94,222705,0,0
2023-03-08,8995,1,0,1553,9756,7,7,1556,7,1451,306,14783,94,222861,0,0
2023-03-09,8996,1,0,1553,9757,7,7,1556,7,1451,306,14783,94,223205,0,0
2023-03-10,8997,1,0,1553,9760,7,7,1556,7,1451,306,14783,94,223432,0,0
2023-03-11,8998,1,0,1553,9761,7,7,1556,7,1451,306,14783,94,223469,0,0
2023-03-12,8999,1,0,1553,9762,7,7,1556,7,1451,306,14783,94,223518,0,0
2023-03-13,9001,1,0,1553,9764,7,7,1556,7,1451,306,14783,94,223750,0,0
2023-03-14,9001,1,0,1553,9764,7,7,1556,7,1561,306,14783,94,223159,0,0
2023-03-15,9001,1,0,1553,9766,7,7,1556,7,1561,306,14783,94,223601,0,0
2023-03-16,9003,1,0,1553,9768,7,7,1556,7,1561,306,14783,94,224139,0,0
2023-03-17,9003,1,0,1553,9768,7,7,1556,7,1561,306,14783,94,224275,0,0
2023-03-18,9003,1,0,1553,9768,7,7,1556,7,1561,306,14783,94,224305,0,0
2023-03-19,9003,1,0,1553,9768,7,7,1556,7,1561,306,14783,94,224381,0,0
2023-03-20,9003,1,0,1553,9768,7,7,1556,7,1561,306,14783,94,224431,0,0
2023-03-21,9004,1,0,1553,9769,7,7,1556,7,1561,306,14783,94,225099,0,0
2023-03-22,9004,1,0,1553,9769,7,7,1556,81,1561,306,14783,94,225393,0,0
2023-03-23,9004,1,0,1553,9769,7,7,1556,81,1561,306,14783,94,225520,0,0
2023-03-24,9004,1,0,1553,9769,7,7,1556,81,1561,306,14783,94,225577,0,0
2023-03-25,9005,1,0,1553,9770,7,7,1556,81,1561,306,14783,94,225627,0,0
2023-03-26,9006,1,0,1553,9771,7,7,1556,81,1561,306,14783,94,225652,0,0
2023-03-27,9008,1,0,1553,9773,7,7,1556,81,1561,306,14783,94,225692,0,0
2023-03-28,9008,1,0,1553,9773,7,7,1556,81,1561,306,14783,94,225717,0,0
2023-03-29,9009,1,0,1553,9774,7,7,1556,81,1561,306,14783,94,225761,0,0
2023-03-30,9011,1,0,1553,9775,7,7,1556,81,1561,306,14783,94,225828,0,0
2023-03-31,9012,1,0,1553,9777,7,7,1556,81,1561,306,14783,94,225839,0,0
