date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,12557,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-11,12565,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-12,12570,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-13,12578,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-14,12587,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-15,12589,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-16,12608,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-17,12618,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-18,12624,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-19,12624,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-20,12624,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-21,12624,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-22,12624,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-23,12625,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-24,12625,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-25,12625,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-26,12626,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-27,12626,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-28,12626,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-29,12626,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-30,12626,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-31,12626,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-01,12626,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-02,12626,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-03,12626,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-04,12626,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-05,12626,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-06,12626,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-07,12626,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-08,12626,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-09,12626,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-10,12626,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-11,12626,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-12,12626,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-13,12626,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-14,12626,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-15,12626,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-16,12626,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-17,12626,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-18,12626,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-19,12626,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0
