date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,4383,10,10,137,5319,21,10,148,60,240,125,2754,336,3336,91,1
2021-08-11,4392,10,10,137,5319,21,10,148,60,240,125,2754,336,3336,91,1
2021-08-12,4395,10,10,137,5332,21,10,148,60,240,125,2754,336,3366,91,1
2021-08-13,4411,10,10,137,5337,21,10,148,60,240,125,2754,336,3394,91,1
2021-08-15,4422,10,10,137,5356,21,10,148,60,240,125,2763,336,3394,91,1
2021-08-16,4438,10,10,137,5364,21,10,148,60,240,125,2773,336,3404,91,1
2021-08-17,4451,10,10,137,5384,21,10,148,60,240,125,2794,336,3404,91,1
2021-08-18,4462,10,10,137,5401,21,10,148,60,241,125,2797,337,3404,91,1
2021-08-19,4478,10,10,137,5416,21,10,148,60,243,125,2816,337,3404,91,1
2021-08-20,4492,10,10,138,5436,21,10,148,60,244,125,2823,337,3404,91,1
2021-08-21,4505,10,10,138,5451,21,10,149,60,245,125,2835,337,3404,91,1
2021-08-22,4510,10,10,139,5466,21,10,149,60,246,125,2852,338,3404,91,1
2021-08-23,4526,10,10,142,5470,21,10,150,60,246,125,2863,339,3404,91,1
2021-08-24,4536,10,10,142,5489,21,10,153,60,246,125,2874,341,3434,91,1
2021-08-25,4551,10,10,142,5501,21,10,153,60,247,125,2878,342,3434,91,1
2021-08-26,4566,10,10,142,5521,21,10,153,60,248,125,2882,345,3444,91,1
2021-08-27,4581,10,10,142,5536,21,10,153,60,253,126,2891,346,3444,91,1
