date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,5369,6,15,814,7887,58,3,3204,47,1380,0,3076,1515,31327,0,94
2021-08-11,5370,6,15,814,7895,58,3,3204,47,1380,0,3076,1515,31327,0,94
2021-08-12,5373,6,15,814,7902,58,3,3204,47,1380,0,3076,1515,31327,0,94
2021-08-13,5375,6,15,815,7905,58,3,3204,47,1380,0,3076,1515,31327,0,94
2021-08-14,5378,6,15,815,7919,58,3,3205,47,1381,0,3076,1515,31327,0,94
2021-08-15,5380,6,15,815,7922,58,3,3205,47,1381,0,3076,1515,31327,0,94
2021-08-16,5385,6,15,815,7928,58,3,3205,47,1382,0,3076,1515,31327,0,94
2021-08-17,5389,6,15,815,7937,58,3,3205,47,1382,0,3076,1515,31327,0,94
2021-08-18,5394,6,15,815,7944,58,3,3205,47,1382,0,3076,1515,31327,0,94
2021-08-19,5396,6,15,815,7953,58,3,3205,47,1382,0,3077,1515,31327,0,94
2021-08-20,5398,6,15,815,7957,58,3,3206,47,1382,0,3078,1515,31327,0,94
2021-08-21,5398,6,15,815,7960,58,3,3206,47,1382,0,3078,1515,31327,0,94
2021-08-22,5400,6,15,815,7961,58,3,3206,47,1382,0,3078,1515,31327,0,94
2021-08-23,5405,6,15,815,7963,58,3,3206,47,1382,0,3078,1515,31327,0,94
2021-08-24,5409,6,15,815,7967,58,3,3206,47,1382,0,3078,1515,31327,0,94
2021-08-25,5413,6,15,815,7973,58,3,3206,49,1383,0,3078,1515,31327,0,94
2021-08-26,5415,6,15,817,7977,58,3,3206,49,1383,0,3078,1515,31327,0,94
2021-08-27,5419,6,15,817,7983,58,3,3208,49,1383,0,3078,1515,31327,0,94
2021-08-28,5420,6,15,817,7988,58,3,3208,49,1383,0,3078,1515,31327,0,94
2021-08-29,5424,6,15,817,7992,58,3,3208,49,1383,0,3078,1515,31327,0,94
2021-08-30,5428,6,15,817,7996,58,3,3208,49,1383,0,3078,1515,31327,0,94
2021-08-31,5430,6,15,760,8002,58,3,3208,49,1302,0,3078,1203,31327,0,94
2021-09-01,5434,7,15,760,8007,58,3,3208,49,1302,0,3078,1203,31327,0,94
2021-09-02,5437,7,15,760,8018,59,3,3208,49,1304,0,3078,1203,31327,0,94
2021-09-03,5442,7,15,761,8022,59,3,3208,49,1304,0,3078,1203,31327,0,94
2021-09-04,5450,7,15,761,8029,59,3,3209,49,1305,0,3078,1206,31327,0,94
2021-09-05,5456,7,15,761,8044,59,3,3209,49,1306,0,3078,1206,31327,0,94
2021-09-06,5460,8,15,761,8050,59,3,3209,49,1306,0,3078,1206,31327,0,94
2021-09-07,5464,8,15,761,8058,60,3,3220,49,1306,0,3078,1206,31487,0,94
2021-09-08,5472,8,15,761,8064,60,3,3235,49,1307,0,3080,1206,31668,0,94
2021-09-09,5476,8,15,761,8074,60,3,3244,49,1307,0,3080,1206,31794,0,94
2021-09-10,5477,7,15,761,8080,60,3,3246,49,1307,0,3080,1209,31955,0,94
2021-09-11,5478,7,15,762,8089,60,3,3246,49,1307,0,3080,1209,31995,0,94
2021-09-12,5479,7,15,762,8094,60,3,3248,49,1307,0,3080,1210,32075,0,94
2021-09-13,5489,8,15,762,8095,60,3,3248,49,1307,0,3080,1210,32095,0,94
2021-09-14,5506,8,15,764,8109,60,3,3248,49,1307,0,3080,1210,32156,0,94
2021-09-15,5514,8,15,764,8138,60,3,3256,49,1307,0,3080,1210,32276,0,94
2021-09-16,5517,8,15,764,8152,60,3,3260,49,1307,0,3081,1210,32436,0,94
2021-09-17,5522,8,15,765,8157,60,3,3269,49,1307,0,3081,1210,32556,0,94
2021-09-18,5526,8,15,766,8166,60,3,3279,49,1308,0,3081,1210,32616,0,94
2021-09-19,5528,8,15,766,8173,60,3,3281,49,1310,0,3081,1220,32616,0,94
2021-09-20,5533,8,1,766,8178,60,3,3281,45,1311,0,3084,1220,32637,0,94
