date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2023-02-11,7315,2,10,831,7349,6,15,842,102,570,84,6563,2871,1104,0,0
2023-02-12,7316,2,10,831,7350,6,15,842,102,571,84,6563,2871,1104,0,0
2023-02-13,7318,2,10,831,7352,6,15,842,102,573,84,6563,2871,1104,0,0
2023-02-14,7326,2,10,832,7360,6,15,843,102,575,84,6563,2878,1104,0,0
2023-02-15,7330,2,10,832,7363,6,15,843,102,576,84,6563,2881,1104,0,0
2023-02-16,7332,2,10,832,7365,6,15,843,102,577,84,6563,2885,1104,0,0
2023-02-17,7337,2,10,832,7370,6,15,843,102,584,84,6563,2892,1104,0,0
2023-02-18,7338,2,10,832,7371,6,15,843,102,586,84,6563,2892,1104,0,0
2023-02-19,7339,2,10,832,7372,6,15,843,102,586,84,6563,2895,1104,0,0
2023-02-20,7355,2,10,839,7387,6,15,850,102,591,84,6563,2905,1104,11,0
2023-02-21,7362,2,10,840,7394,6,15,851,102,591,84,6563,2909,1104,11,0
2023-02-22,7372,2,10,841,7404,6,15,852,102,592,84,6563,2910,1104,11,0
2023-02-23,7376,2,10,841,7407,6,15,852,102,592,84,6563,2912,1104,11,0
2023-02-24,7377,2,10,841,7412,6,15,852,102,592,84,6563,2916,1104,11,0
2023-02-25,7378,2,10,842,7413,6,15,853,102,592,84,6563,2916,1104,11,0
2023-02-26,7381,2,10,842,7416,6,15,853,102,593,84,6563,2916,1104,11,0
2023-02-27,7385,2,10,843,7420,6,16,854,102,593,84,6563,2917,1110,11,0
2023-02-28,7385,2,10,843,7420,6,16,854,101,594,84,6563,2917,1110,11,0
2023-03-01,7388,2,10,843,7423,6,16,854,101,595,84,6563,2917,1104,11,0
2023-03-02,7391,2,10,843,7425,6,16,854,103,595,84,6563,2917,1104,11,0
