date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2023-02-11,35,0,14,3,44,12,15,3,0,7,0,0,9,9,3,0
2023-02-12,35,0,14,3,44,12,15,3,0,7,0,0,9,9,3,0
2023-02-13,35,0,14,3,44,12,15,3,0,7,0,0,9,9,3,0
2023-02-14,35,0,14,3,44,12,15,3,0,7,0,0,9,9,3,0
2023-02-15,35,0,14,3,44,12,15,3,0,7,0,0,9,9,3,0
2023-02-16,35,0,14,3,44,12,15,3,0,7,0,0,9,9,3,0
2023-02-17,35,0,14,3,44,12,15,3,0,7,0,0,9,9,3,0
2023-02-18,35,0,14,3,44,12,15,3,0,7,0,0,9,9,3,0
2023-02-19,35,0,14,3,44,12,15,3,0,7,0,0,9,9,3,0
2023-02-20,35,0,14,3,44,12,15,3,0,7,0,0,9,9,3,0
2023-02-21,35,0,14,3,44,12,15,3,0,7,0,0,9,9,3,0
2023-02-22,35,0,14,3,44,12,15,3,0,7,0,0,9,9,3,0
2023-02-23,35,0,14,3,44,12,15,3,0,7,0,0,9,9,3,0
2023-02-24,35,0,14,3,44,12,15,3,0,7,0,0,9,9,3,0
2023-02-25,35,0,14,3,44,12,15,3,0,7,0,0,9,9,3,0
2023-02-26,35,0,14,3,44,12,15,3,0,7,0,0,9,9,3,0
2023-02-27,35,0,14,3,44,12,15,3,0,7,0,0,9,9,3,0
2023-02-28,35,0,14,3,44,12,15,3,0,7,0,0,9,9,3,0
2023-03-01,35,0,14,3,44,12,15,3,0,7,0,0,9,9,3,0
2023-03-02,35,0,14,3,44,12,15,3,0,7,0,0,9,9,3,0
2023-03-03,35,0,14,3,44,12,15,3,0,7,0,0,9,9,3,0
2023-03-04,35,0,14,3,44,12,15,3,0,7,0,0,9,9,3,0
2023-03-05,35,0,14,3,44,12,15,3,0,7,0,0,9,9,3,0
2023-03-06,35,0,14,3,44,12,15,3,0,7,0,0,9,9,3,0
2023-03-07,35,0,14,3,44,12,15,3,0,7,0,0,9,9,3,0
2023-03-08,35,0,14,3,44,12,15,3,0,7,0,0,9,9,3,0
2023-03-09,35,0,14,3,44,12,15,3,0,7,0,0,9,9,3,0
2023-03-10,35,0,14,3,44,12,15,3,0,7,0,0,9,9,3,0
2023-03-11,35,0,14,3,44,12,15,3,0,7,0,0,9,9,3,0
2023-03-12,35,0,14,3,44,12,15,3,0,7,0,0,9,9,3,0
2023-03-13,35,0,14,3,44,12,15,3,0,7,0,0,9,9,3,0
2023-03-14,35,0,14,3,44,12,15,3,0,7,0,0,9,9,3,0
2023-03-15,35,0,14,3,44,12,15,3,0,7,0,0,9,9,3,0
2023-03-16,35,0,14,3,44,12,15,3,0,7,0,0,9,9,3,0
2023-03-17,35,0,14,3,44,12,15,3,0,7,0,0,9,9,3,0
2023-03-18,35,0,14,3,44,12,15,3,0,7,0,0,9,9,3,0
2023-03-19,35,0,14,3,44,12,15,3,0,7,0,0,9,9,3,0
2023-03-20,35,0,14,3,44,12,15,3,0,7,0,0,9,9,3,0
2023-03-21,35,0,14,3,44,12,15,3,0,7,0,0,9,9,3,0
2023-03-22,35,0,14,3,44,12,15,3,0,7,0,0,9,9,3,0
2023-03-23,35,0,14,3,44,12,15,3,0,7,0,0,9,9,3,0
2023-03-24,35,0,14,3,44,12,15,3,0,7,0,0,9,9,3,0
2023-03-25,35,0,14,3,44,12,15,3,0,7,0,0,9,9,3,0
2023-03-26,35,0,14,3,44,12,15,3,0,7,0,0,9,9,3,0
2023-03-27,35,0,14,3,44,12,15,3,0,7,0,0,9,9,3,0
2023-03-28,35,0,14,3,44,12,15,3,0,7,0,0,9,9,3,0
2023-03-29,35,0,14,3,45,11,15,3,0,7,0,0,9,9,3,0
2023-03-30,35,0,14,3,45,11,15,3,0,7,0,0,9,9,3,0
2023-03-31,35,0,14,3,45,11,15,3,0,7,0,0,9,9,3,0
2023-04-01,35,0,14,3,45,11,15,3,0,7,0,0,9,9,3,0
2023-04-02,35,0,14,3,45,11,15,3,0,7,0,0,9,9,3,0
2023-04-03,36,0,14,3,46,11,15,3,0,7,0,0,9,9,3,0
2023-04-04,36,0,14,3,46,11,15,3,0,7,0,0,9,9,3,0
2023-04-05,36,0,14,3,46,11,15,3,0,7,0,0,9,9,3,0
2023-04-06,36,0,14,3,46,11,15,3,0,7,0,0,9,9,3,0
2023-04-07,36,0,14,3,46,11,15,3,0,7,0,0,9,9,3,0
2023-04-08,36,0,14,3,46,11,15,3,0,7,0,0,9,9,3,0
2023-04-09,36,0,14,3,46,11,15,3,0,7,0,0,9,9,3,0
2023-04-10,37,0,14,3,47,11,15,3,0,7,0,0,9,9,3,0
2023-04-11,37,0,14,3,47,11,15,3,0,7,0,0,9,9,3,0
2023-04-12,38,0,14,3,47,11,15,3,0,7,0,0,9,9,3,0
2023-04-13,38,0,14,3,48,11,15,3,0,7,0,0,9,9,3,0
2023-04-14,38,0,14,3,48,11,15,3,0,7,0,0,9,9,3,0
2023-04-15,38,0,14,3,48,11,15,3,0,7,0,0,9,9,3,0
2023-04-16,38,0,14,3,48,11,15,3,0,7,0,0,9,9,3,0
2023-04-17,39,0,14,3,49,11,15,3,0,7,0,0,9,9,3,0
2023-04-18,39,0,14,3,49,11,15,3,0,7,0,0,9,9,3,0
2023-04-19,39,0,14,3,49,11,15,3,0,7,0,0,9,9,3,0
