date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2023-02-11,327,0,0,0,426,1,0,108,0,59,0,0,48,11947,0,0
2023-02-12,327,0,0,0,426,1,0,108,0,59,0,0,48,11947,0,0
2023-02-13,328,0,0,0,427,1,0,108,0,59,0,0,48,11947,0,0
2023-02-14,328,0,0,0,427,1,0,108,0,59,0,0,48,11947,0,0
2023-02-15,328,0,0,0,427,1,0,108,0,59,0,0,48,11947,0,0
2023-02-16,328,0,0,0,427,1,0,108,0,59,0,0,48,11947,0,0
2023-02-17,329,0,0,0,428,1,0,108,0,59,0,0,48,11947,0,0
2023-02-18,329,0,0,0,428,1,0,108,0,59,0,0,48,11947,0,0
2023-02-19,330,0,0,0,429,1,0,108,0,59,0,0,48,11947,0,0
2023-02-20,330,0,0,0,429,1,0,108,0,59,0,0,48,11947,0,0
2023-02-21,331,0,0,0,430,1,0,108,0,59,0,0,48,11947,0,0
2023-02-22,332,0,0,0,431,1,0,108,0,59,0,0,48,11947,0,0
2023-02-23,332,0,0,0,431,1,0,108,0,59,0,0,48,11947,0,0
2023-02-24,333,0,0,0,432,1,0,108,0,59,0,0,48,11947,0,0
2023-02-25,333,0,0,0,432,1,0,108,0,59,0,0,48,11947,0,0
2023-02-26,333,0,0,0,432,1,0,108,0,59,0,0,48,11947,0,0
2023-02-27,333,0,0,0,432,1,0,108,0,59,0,0,48,11947,0,0
2023-02-28,333,0,0,0,432,1,0,108,0,59,0,0,48,11947,0,0
2023-03-01,333,0,0,0,432,1,0,108,0,59,0,0,48,11947,0,0
2023-03-02,334,0,0,0,433,1,0,108,0,59,0,0,48,11947,0,0
2023-03-03,334,0,0,0,433,1,0,108,0,59,0,0,48,11947,0,0
2023-03-04,334,0,0,0,433,1,0,108,0,59,0,0,48,11947,0,0
