date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2023-02-11,1040,3,4,2,1307,27,4,4,16,322,104,1,459,6340,0,0
2023-02-12,1040,3,4,2,1307,27,4,4,16,322,104,1,459,6340,0,0
2023-02-13,1040,3,4,2,1307,27,4,4,16,322,104,1,459,6340,0,0
2023-02-14,1040,3,4,2,1307,27,4,4,17,322,104,1,459,6340,0,0
2023-02-15,1040,3,4,2,1307,27,4,4,17,322,104,1,459,6340,0,0
2023-02-16,1040,3,4,2,1307,27,4,4,17,322,104,1,459,6340,0,0
2023-02-17,1040,4,4,2,1307,28,4,4,17,322,104,1,459,6340,0,0
2023-02-18,1040,4,4,2,1307,28,4,4,17,322,104,1,459,6340,0,0
2023-02-19,1040,4,4,2,1307,28,4,4,17,322,104,1,459,6340,0,0
2023-02-20,1041,4,4,2,1308,28,4,4,17,322,104,1,459,6340,0,0
2023-02-21,1041,4,4,2,1308,28,4,4,17,322,104,1,459,6340,0,0
2023-02-22,1041,4,4,2,1308,28,4,4,17,322,104,1,459,6340,0,0
2023-02-23,1042,4,4,2,1309,28,4,4,17,322,104,1,459,6340,0,0
2023-02-24,1042,3,4,2,1309,28,4,4,17,322,104,1,459,6340,0,0
2023-02-25,1042,3,4,2,1309,28,4,4,17,322,104,1,459,6340,0,0
2023-02-26,1042,3,4,2,1309,28,4,4,17,322,104,1,459,6340,0,0
2023-02-27,1042,3,4,2,1309,28,4,4,17,322,104,1,459,6340,0,0
2023-02-28,1042,3,4,2,1309,28,4,4,17,322,104,1,459,6340,0,0
2023-03-01,1042,3,4,2,1309,28,4,4,17,322,104,1,459,6340,0,0
2023-03-02,1042,3,4,2,1309,28,4,4,17,322,104,1,459,6340,0,0
2023-03-03,1042,3,4,2,1309,28,4,4,17,322,104,1,459,6340,0,0
2023-03-04,1043,3,4,2,1310,28,4,4,17,322,104,1,459,6340,0,0
2023-03-05,1043,3,4,2,1310,28,4,4,17,322,104,1,459,6340,0,0
2023-03-06,1043,3,4,2,1310,28,4,4,17,322,104,1,459,6340,0,0
2023-03-07,1043,3,4,2,1310,28,4,4,17,322,104,1,459,6340,0,0
2023-03-08,1043,3,4,2,1310,28,4,4,20,322,104,1,459,6340,0,0
2023-03-09,1043,3,4,2,1310,28,4,4,20,322,104,1,459,6340,0,0
2023-03-10,1043,2,4,2,1310,28,4,4,20,322,104,1,459,6340,0,0
2023-03-11,1043,2,4,2,1310,28,4,4,20,322,104,1,459,6340,0,0
2023-03-12,1043,2,4,2,1310,28,4,4,20,322,104,1,459,6340,0,0
2023-03-13,1043,2,4,2,1310,28,4,4,20,322,104,1,459,6340,0,0
2023-03-14,1043,2,4,2,1310,28,4,4,20,322,104,1,459,6340,0,0
2023-03-15,1043,2,4,2,1310,28,4,4,20,322,104,1,459,6340,0,0
2023-03-16,1043,2,4,2,1310,28,4,4,20,322,104,1,459,6340,0,0
2023-03-17,1043,2,4,2,1310,28,4,4,20,322,104,1,459,6340,0,0
2023-03-18,1047,2,4,2,1314,28,4,4,20,322,104,1,459,6340,0,0
2023-03-19,1047,2,4,2,1314,28,4,4,20,322,104,1,459,6340,0,0
2023-03-20,1047,2,4,2,1314,28,4,4,20,322,104,1,459,6340,0,0
2023-03-21,1047,2,4,2,1314,28,4,4,20,322,104,1,459,6340,0,0
2023-03-22,1047,2,4,2,1314,28,4,4,21,322,104,1,459,6340,0,0
2023-03-23,1048,2,4,2,1315,28,4,4,21,322,104,1,459,6340,0,0
2023-03-24,1048,2,4,2,1315,28,4,4,22,322,104,1,459,6340,0,0
2023-03-25,1048,2,4,2,1315,28,4,4,22,322,104,1,459,6340,0,0
2023-03-26,1048,2,4,2,1315,28,4,4,22,322,104,1,459,6340,0,0
2023-03-27,1048,2,4,2,1315,28,4,4,22,322,104,1,459,6340,0,0
2023-03-28,1048,2,4,2,1315,28,4,4,22,322,104,1,459,6340,0,0
2023-03-29,1048,2,4,2,1315,28,4,4,22,322,104,1,459,6340,0,0
2023-03-30,1048,2,4,2,1315,28,4,4,22,322,104,1,459,6340,0,0
2023-03-31,1048,2,4,2,1315,28,4,4,22,322,104,1,459,6340,0,0
2023-04-01,1048,2,4,2,1315,28,4,4,22,322,104,1,459,6340,0,0
2023-04-02,1048,2,4,2,1315,28,4,4,22,322,104,1,459,6340,0,0
2023-04-03,1048,2,4,2,1315,28,4,4,22,322,104,1,459,6340,0,0
2023-04-04,1048,2,3,2,1315,28,3,4,21,322,104,1,459,6340,0,0
2023-04-05,1048,2,3,2,1315,28,3,4,21,322,104,1,459,6340,0,0
2023-04-06,1048,2,3,2,1315,28,3,4,21,322,104,1,459,6340,0,0
2023-04-07,1048,2,3,2,1315,28,3,4,21,322,104,1,459,6340,0,0
2023-04-09,1048,2,3,2,1315,28,3,4,21,322,104,1,459,6340,0,0
2023-04-10,1048,2,3,2,1315,28,3,4,21,322,104,1,459,6340,0,0
2023-04-13,1052,2,6,2,1320,28,6,4,22,322,104,1,459,6340,0,0
2023-04-15,1052,2,6,2,1320,28,6,4,22,322,104,1,459,6340,0,0
2023-04-17,1052,2,6,2,1320,28,6,4,22,322,104,1,459,6340,0,0
2023-04-18,1053,2,6,2,1321,28,6,4,22,322,104,1,459,6340,0,0
2023-04-19,1053,2,6,2,1321,28,6,4,22,322,104,1,459,6340,0,0
2023-04-20,1054,2,6,2,1321,28,6,4,22,322,104,1,459,6340,0,0
