date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,2261,22,59,0,6272,41,60,3,46,1449,148,1936,2437,2053,14,1
2021-08-11,2263,22,59,0,6272,41,60,3,46,1449,148,1936,2437,2053,14,1
2021-08-12,2265,22,59,0,6275,41,60,3,46,1454,148,1936,2439,2053,14,1
2021-08-13,2267,21,59,0,6279,41,60,3,46,1459,148,1936,2444,2053,14,1
2021-08-14,2269,21,59,0,6280,41,60,3,46,1460,148,1936,2446,2053,14,1
2021-08-15,2270,21,59,0,6283,41,60,3,46,1461,148,1936,2450,2053,14,1
2021-08-16,2270,21,59,0,6286,41,60,3,46,1466,148,1936,2495,2066,14,1
2021-08-17,2286,21,59,0,6288,41,60,3,46,1467,148,1936,2496,2079,14,1
2021-08-18,2287,21,59,0,6304,41,60,3,46,1480,148,1936,2529,2092,14,1
2021-08-19,2293,22,59,0,6309,41,60,3,46,1486,148,1936,2544,2105,14,1
2021-08-20,2295,21,59,0,6317,41,60,3,46,1489,148,1936,2568,2105,14,1
2021-08-21,2296,21,59,0,6327,41,60,3,46,1494,148,1936,2596,2151,14,1
2021-08-22,2300,21,59,0,6332,41,60,3,46,1496,148,1936,2602,2151,14,1
2021-08-23,2306,21,59,0,6337,41,60,3,46,1498,148,1936,2620,2151,14,1
2021-08-24,2317,21,59,0,6349,42,60,3,46,1515,148,1936,2655,2164,14,1
2021-08-25,2325,21,59,0,6368,42,60,3,46,1528,148,1936,2685,2177,14,1
2021-08-26,2333,21,59,0,6382,42,60,3,46,1535,148,1936,2694,2216,14,1
2021-08-27,2338,21,59,0,6392,42,60,3,46,1548,148,1936,2733,2229,14,1
2021-08-28,2344,21,59,0,6404,42,60,3,46,1567,148,1936,2745,2255,14,1
2021-08-29,2346,21,59,0,6412,42,60,3,46,1571,148,1936,2771,2285,14,1
2021-08-30,2369,21,59,0,6419,42,60,3,46,1580,148,1936,2892,2298,14,1
2021-08-31,2429,23,59,0,6477,43,60,3,46,1607,148,1936,2956,2585,14,1
2021-09-01,2482,24,59,0,6585,43,60,3,46,1641,148,1936,3049,3732,14,1
2021-09-02,2547,23,59,0,6692,44,60,3,46,1661,148,1936,3193,4885,14,1
2021-09-03,2582,24,59,0,6800,44,60,3,46,1691,148,1936,3299,5883,14,1
2021-09-04,2613,24,59,0,6874,45,60,3,46,1712,148,1936,3330,6413,14,1
2021-09-05,2632,24,59,0,6928,45,60,3,46,1723,148,1936,3411,6939,14,1
2021-09-06,2662,24,59,0,6969,45,60,3,46,1749,148,1936,3438,6865,14,1
2021-09-07,2719,24,59,0,7015,46,60,3,46,1754,148,1936,3461,7351,14,1
2021-09-08,2749,24,59,0,7083,46,60,3,46,1793,148,1936,3585,7727,14,1
2021-09-09,2769,24,59,0,7145,46,60,3,46,1833,148,1936,3730,8085,14,1
2021-09-10,2787,24,59,0,7175,46,60,3,46,1841,148,1936,3746,8437,14,1
2021-09-11,2812,24,59,0,7218,46,60,3,46,1857,148,1936,3840,8597,14,1
2021-09-12,2829,24,59,0,7246,46,60,3,46,1872,148,1936,3983,8795,14,1
2021-09-13,2851,24,59,0,7283,46,60,3,46,1894,148,1936,4045,9083,14,1
2021-09-14,2888,24,59,0,7328,46,60,3,46,1930,148,1936,4099,9453,14,1
2021-09-15,2918,24,59,0,7379,46,60,3,46,1947,148,1936,4158,9735,14,1
2021-09-16,2938,24,59,0,7440,46,60,3,46,1989,148,1936,4314,10095,14,1
2021-09-17,2965,25,59,0,7492,46,60,3,46,2029,148,1936,4442,10353,14,1
2021-09-18,2985,25,59,0,7538,46,60,3,46,2040,148,1936,4527,10500,14,1
2021-09-19,2991,25,59,0,7577,46,60,3,46,2060,148,1936,4610,10670,14,1
