date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2023-02-11,3548,0,1,300,6190,1,1,301,2,116,53,748,0,22060,0,0
2023-02-12,3551,0,1,300,6205,1,1,301,2,116,53,748,0,22060,0,0
2023-02-13,3568,0,1,300,6215,1,1,301,2,116,53,748,0,22060,0,0
2023-02-14,3582,0,1,300,6245,1,1,301,2,116,53,748,0,22060,0,0
2023-02-15,3598,0,1,300,6267,1,1,301,2,116,53,748,0,22060,0,0
2023-02-16,3611,0,1,300,6288,1,1,301,2,116,53,748,0,22060,0,0
2023-02-17,3620,0,1,300,6315,1,1,301,2,116,53,748,0,22060,0,0
2023-02-18,3625,0,1,300,6337,1,1,301,2,116,53,748,0,22060,0,0
2023-02-19,3630,0,1,300,6350,1,1,301,2,116,53,748,0,22060,0,0
2023-02-20,3649,0,1,300,6363,1,1,301,2,116,53,748,0,22060,0,0
2023-02-21,3660,0,1,300,6389,1,1,301,2,116,53,748,0,22060,0,0
2023-02-22,3678,0,1,300,6416,1,1,301,2,116,53,748,0,22060,0,0
2023-02-23,3687,0,1,300,6441,2,1,301,2,116,53,748,0,22060,0,0
2023-02-24,3703,0,1,300,6494,2,1,301,2,116,53,748,0,22060,0,0
2023-02-25,3723,0,1,300,6515,2,1,301,2,116,53,748,0,22060,0,0
2023-02-26,3725,0,1,300,6517,2,1,301,2,116,53,748,0,22060,0,0
2023-02-27,3752,0,1,300,6549,2,1,301,2,116,53,748,0,22060,0,0
2023-02-28,3771,0,1,300,6571,2,1,301,2,116,53,748,0,22060,0,0
2023-03-01,3801,0,1,300,6605,2,1,301,2,116,53,748,0,22060,0,0
2023-03-02,3832,0,1,300,6636,2,1,301,2,116,53,748,0,22060,0,0
2023-03-03,3849,0,1,300,6657,2,1,301,2,116,53,748,0,22060,0,0
2023-03-04,3869,0,1,300,6679,2,1,301,2,116,53,748,0,22060,0,0
2023-03-05,3874,0,1,300,6685,2,1,301,2,116,53,748,0,22060,0,0
2023-03-06,3905,0,1,300,6716,2,1,301,2,116,53,748,0,22060,0,0
2023-03-07,3926,0,1,300,6738,2,1,301,2,116,53,748,0,22060,0,0
2023-03-08,3941,0,1,300,6756,2,1,301,2,116,53,748,0,22060,0,0
2023-03-09,3971,0,1,300,6787,2,1,301,2,116,53,748,0,22060,0,0
2023-03-10,3991,0,1,300,6810,2,1,301,2,116,53,748,0,22060,0,0
2023-03-11,4009,0,1,300,6827,2,1,301,2,116,53,748,0,22060,0,0
2023-03-12,4013,0,1,300,6831,2,1,301,2,116,53,748,0,22060,0,0
2023-03-13,4036,0,1,300,6855,2,1,301,2,116,53,748,0,22060,0,0
2023-03-14,4055,0,1,300,6874,2,1,301,2,116,53,748,0,22060,0,0
2023-03-15,4084,0,1,300,6907,2,1,301,2,116,53,748,0,22060,0,0
2023-03-16,4103,0,1,300,6929,2,1,301,2,116,53,748,0,22060,0,0
2023-03-17,4129,0,1,300,6957,2,1,301,2,116,53,748,0,22060,0,0
2023-03-18,4145,0,1,300,6970,2,1,301,2,116,53,748,0,22060,0,0
2023-03-19,4154,0,1,300,6983,2,1,301,2,116,53,748,0,22060,0,0
2023-03-20,4164,0,1,300,6996,2,1,301,2,116,53,748,0,22060,0,0
2023-03-21,4185,0,1,300,7018,2,1,301,2,116,53,748,0,22060,0,0
2023-03-22,4211,0,1,300,7044,2,1,301,2,116,53,748,0,22060,0,0
2023-03-23,4241,0,1,300,7077,2,1,301,2,116,53,748,0,22060,0,0
2023-03-24,4259,0,1,300,7098,2,1,301,2,116,53,748,0,22060,0,0
2023-03-25,4272,0,1,300,7111,2,1,301,2,116,53,748,0,22060,0,0
2023-03-26,4280,0,1,300,7119,2,1,301,2,116,53,748,0,22060,0,0
2023-03-27,4306,0,1,300,7150,2,1,301,2,116,53,748,0,22060,0,0
2023-03-28,4339,0,1,300,7183,2,1,301,2,116,53,748,0,22060,0,0
2023-03-29,4370,0,1,300,7217,2,1,301,2,116,53,748,0,22060,0,0
2023-03-30,4388,0,1,300,7238,2,1,301,2,116,53,748,0,22060,0,0
2023-03-31,4404,0,1,300,7255,2,1,301,2,116,53,748,0,22060,0,0
2023-04-01,4420,0,1,300,7270,2,1,301,2,116,53,748,0,22060,0,0
2023-04-02,4426,0,1,300,7275,2,1,301,2,116,53,748,0,22060,0,0
2023-04-03,4449,0,1,300,7298,2,1,301,2,116,53,748,0,22060,0,0
2023-04-04,4467,0,1,300,7317,2,1,301,2,116,53,748,0,22060,0,0
2023-04-05,4504,0,1,300,7355,2,1,301,2,116,53,748,0,22060,0,0
2023-04-06,4538,0,1,300,7390,2,1,301,2,116,53,748,0,22060,0,0
2023-04-07,4555,0,1,300,7409,2,1,301,2,116,53,748,0,22060,0,0
2023-04-08,4570,0,1,300,7423,2,1,301,2,116,53,748,0,22060,0,0
2023-04-09,4578,0,1,300,7430,2,1,301,2,116,53,748,0,22060,0,0
2023-04-10,4600,0,1,300,7455,2,1,301,2,116,53,748,0,22060,0,0
2023-04-11,4633,0,1,300,7486,2,1,301,2,116,53,748,0,22060,0,0
2023-04-12,4656,0,1,300,7510,2,1,301,2,116,53,748,0,22060,0,0
2023-04-13,4667,0,1,300,7525,2,1,301,2,116,53,748,0,22060,0,0
2023-04-14,4684,0,1,300,7542,2,1,301,2,116,53,748,0,22060,0,0
2023-04-15,4700,0,1,300,7557,2,1,301,2,116,53,748,0,22060,0,0
2023-04-16,4712,0,1,300,7569,2,1,301,2,116,53,748,0,22060,0,0
2023-04-17,4725,0,1,300,7586,2,1,301,2,116,53,748,0,22060,0,0
2023-04-18,4739,0,1,300,7599,2,1,301,2,116,53,748,0,22060,0,0
2023-04-19,4761,0,1,300,7624,2,1,301,2,116,53,748,0,22060,0,0
2023-04-20,4786,0,1,300,7651,2,1,301,2,116,53,748,0,22060,0,0
2023-04-21,4806,0,1,300,7675,2,1,301,2,116,53,748,0,22060,0,0
2023-04-22,4820,0,1,300,7690,2,1,301,2,116,53,748,0,22060,0,0
2023-04-23,4828,0,1,300,7699,2,1,301,2,116,53,748,0,22060,0,0
2023-04-24,4843,0,1,300,7714,2,1,301,2,116,53,748,0,22060,0,0
2023-04-25,4858,0,1,300,7728,2,1,301,2,116,53,748,0,22060,0,0
2023-04-26,4869,0,1,300,7741,2,1,301,2,116,53,748,0,22060,0,0
2023-04-27,4890,0,1,300,7762,2,1,301,2,116,53,748,0,22060,0,0
2023-04-28,4917,0,1,300,7789,2,1,301,2,116,53,748,0,22060,0,0
2023-04-29,4938,0,1,300,7809,2,1,301,2,116,53,748,0,22060,0,0
2023-04-30,4945,0,1,300,7818,2,1,301,2,116,53,748,0,22060,0,0
2023-05-01,4961,0,1,300,7833,2,1,301,2,116,53,748,0,22060,0,0
2023-05-02,4996,0,1,300,7869,2,1,301,2,116,53,748,0,22060,0,0
2023-05-03,5015,0,1,300,7890,2,1,301,2,116,53,748,0,22060,0,0
2023-05-04,5043,0,1,300,7917,2,1,301,2,116,53,748,0,22060,0,0
2023-05-05,5065,0,1,300,7945,2,1,301,2,116,53,748,0,22080,0,0
2023-05-06,5077,0,1,300,7958,2,1,301,2,116,53,748,0,22080,0,0
2023-05-07,5087,0,1,300,7967,2,1,301,2,116,53,748,0,22080,0,0
2023-05-08,5112,0,1,300,7991,2,1,301,2,116,53,748,0,22080,0,0
2023-05-09,5130,0,1,300,8014,2,1,301,2,116,53,748,0,22080,0,0
2023-05-10,5165,0,1,300,8047,2,1,301,2,116,53,748,0,22080,0,0
2023-05-11,5188,0,1,300,8072,2,1,301,2,116,53,748,0,22080,0,0
2023-05-12,5225,0,1,300,8109,2,1,301,2,116,53,748,0,22080,0,0
2023-05-13,5251,0,1,300,8133,2,1,301,2,116,53,748,0,22080,0,0
2023-05-14,5259,0,1,300,8143,2,1,301,2,116,53,748,0,22100,0,0
2023-05-15,5276,0,1,300,8162,2,1,301,2,116,53,748,0,22100,0,0
2023-05-16,5311,0,1,300,8196,2,1,301,2,116,53,748,0,22100,0,0
2023-05-17,5374,0,1,300,8262,2,1,301,2,116,53,748,0,22100,0,0
2023-05-18,5410,0,1,300,8294,2,1,301,2,116,53,748,0,22100,0,0
2023-05-19,5432,0,1,300,8319,2,1,301,2,116,53,748,0,22100,0,0
2023-05-20,5440,0,1,300,8329,2,1,301,2,116,53,748,0,22100,0,0
2023-05-21,5454,0,1,300,8341,2,1,301,2,116,53,748,0,22100,0,0
2023-05-22,5483,0,1,300,8371,2,1,301,2,116,53,748,0,22100,0,0
2023-05-23,5506,0,1,300,8394,2,1,301,2,116,53,748,0,22100,0,0
2023-05-24,1492,0,1,300,8426,2,1,301,2,116,53,748,0,22100,0,0
2023-05-25,1501,0,1,300,8451,2,1,301,2,116,53,748,0,22100,0,0
2023-05-26,1509,0,1,300,8482,2,1,301,2,116,53,748,0,22100,0,0
2023-05-27,1514,0,1,300,8494,2,1,301,2,116,53,748,0,22100,0,0
2023-05-28,1522,0,1,300,8502,2,1,301,2,116,53,748,0,22100,0,0
2023-05-29,1538,0,1,300,8527,2,1,301,2,116,53,748,0,22100,0,0
2023-05-30,1544,0,1,300,8550,2,1,301,2,116,53,748,0,22100,0,0
2023-05-31,1548,0,1,300,8572,2,1,301,2,116,53,748,0,22100,0,0
2023-06-01,1554,0,1,300,8588,2,1,301,2,116,53,748,0,22100,0,0
2023-06-02,1559,0,1,300,8606,2,1,301,2,116,53,748,0,22100,0,0
2023-06-03,1555,0,1,300,8614,2,1,301,2,116,53,748,0,22100,0,0
2023-06-04,1553,0,1,300,8616,2,1,301,2,116,53,748,0,22100,0,0
2023-06-05,1569,0,1,300,8637,2,1,301,2,116,53,748,0,22100,0,0
2023-06-06,1573,0,1,300,8653,2,1,301,2,116,53,748,0,22100,0,0
2023-06-07,1575,0,1,300,8670,2,1,301,2,116,53,748,0,22100,0,0
2023-06-08,1586,0,1,300,8695,2,1,301,2,116,53,748,0,22100,0,0
2023-06-09,1581,0,1,300,8717,2,1,301,2,116,53,748,0,22100,0,0
2023-06-10,1580,0,1,300,8725,2,1,301,2,116,53,748,0,22100,0,0
2023-06-11,1580,0,1,300,8729,2,1,301,2,116,53,748,0,22100,0,0
2023-06-12,1587,0,1,300,8745,2,1,301,2,116,53,748,0,22100,0,0
2023-06-13,1594,0,1,300,8758,2,1,301,2,116,53,748,0,22100,0,0
2023-06-14,1592,0,1,300,8767,2,1,301,2,116,53,748,0,22100,0,0
2023-06-15,1603,0,1,300,8788,2,1,301,2,116,53,748,0,22100,0,0
2023-06-16,1603,0,1,300,8803,2,1,301,2,116,53,748,0,22100,0,0
2023-06-17,1604,0,1,300,8814,2,1,301,2,116,53,748,0,22100,0,0
2023-06-18,1599,0,1,300,8817,2,1,301,2,116,53,748,0,22100,0,0
2023-06-19,1609,0,1,300,8832,2,1,301,2,116,53,748,0,22100,0,0
2023-07-07,1609,0,1,300,8845,2,1,301,2,116,53,748,0,22100,0,0
2023-07-08,1612,0,1,300,8853,2,1,301,2,116,53,748,0,22100,0,0
2023-07-09,1611,0,1,300,8854,2,1,301,2,116,53,748,0,22100,0,0
2023-07-10,1625,0,1,300,8873,2,1,301,2,116,53,748,0,22100,0,0
2023-07-11,1630,0,1,300,8890,2,1,301,2,116,53,748,0,22100,0,0
2023-07-12,1636,0,1,300,8904,2,1,301,2,116,53,748,0,22100,0,0
2023-07-13,1647,0,1,300,8924,2,1,301,2,116,53,748,0,22100,0,0
2023-07-14,1644,0,1,300,8935,2,1,301,2,116,53,748,0,22100,0,0
2023-07-15,1642,0,1,300,8940,2,1,301,2,116,53,748,0,22100,0,0
2023-07-16,1645,0,1,300,8944,2,1,301,2,116,53,748,0,22100,0,0
