date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2023-02-11,509,1,1,68,625,9,2,81,0,74,0,938,52,150,0,0
2023-02-12,509,1,1,68,625,9,2,81,0,74,0,938,52,150,0,0
2023-02-13,509,1,1,68,625,9,2,81,0,74,0,938,52,150,0,0
2023-02-14,511,1,1,68,628,9,2,81,0,74,0,938,52,150,0,0
2023-02-15,514,1,1,68,630,9,2,81,0,74,0,938,52,150,0,0
2023-02-16,514,1,1,68,630,9,2,81,0,74,0,938,52,150,0,0
2023-02-17,514,1,1,68,630,9,2,81,0,74,0,938,52,150,0,0
2023-02-18,514,1,1,68,630,9,2,81,0,74,0,938,52,150,0,0
2023-02-19,514,1,1,68,630,9,2,81,0,74,0,938,52,150,0,0
2023-02-20,514,1,1,68,630,9,2,81,0,74,0,938,52,150,0,0
2023-02-21,514,1,1,68,630,9,2,81,0,74,0,938,52,150,0,0
2023-02-22,514,1,1,68,630,9,2,81,0,74,0,938,52,150,0,0
2023-02-23,514,1,1,55,630,8,2,81,0,74,0,938,52,150,0,0
2023-02-24,516,1,1,55,632,9,2,81,0,74,0,938,52,150,0,0
2023-02-25,516,1,1,55,632,9,2,81,0,74,0,938,52,150,0,0
2023-02-26,516,1,1,55,632,9,2,81,0,74,0,938,52,150,0,0
2023-02-27,516,1,1,55,632,9,2,81,0,76,0,938,52,150,0,0
2023-02-28,516,1,1,55,632,9,2,81,0,76,0,938,52,150,0,0
2023-03-01,516,1,1,55,632,9,2,81,0,76,0,938,52,150,0,0
2023-03-02,516,1,1,55,632,9,2,81,0,76,0,938,52,150,0,0
2023-03-03,516,1,1,55,632,9,2,81,0,77,0,938,52,150,0,0
2023-03-04,516,1,1,55,632,9,2,81,0,78,0,938,52,150,0,0
2023-03-05,516,1,1,57,632,9,2,83,0,79,0,938,52,150,0,0
2023-03-06,516,1,1,57,632,9,2,83,0,79,0,938,52,150,0,0
2023-03-07,517,1,1,57,633,9,2,83,0,80,0,938,52,150,0,0
2023-03-08,517,1,1,57,633,9,2,83,0,80,0,938,52,150,0,0
2023-03-09,517,1,1,57,633,9,2,83,0,80,0,938,52,150,0,0
2023-03-10,517,1,1,57,633,9,2,83,0,80,0,938,52,150,0,0
2023-03-11,517,1,1,57,634,9,2,83,0,80,0,938,52,150,0,0
2023-03-12,517,1,1,57,634,9,2,83,0,80,0,938,52,150,0,0
2023-03-13,517,1,1,57,634,9,2,83,0,80,0,938,52,150,0,0
2023-03-14,517,1,1,57,634,9,2,83,0,80,0,938,52,150,0,0
2023-03-15,519,1,1,58,636,9,2,84,0,80,0,938,52,150,0,0
2023-03-16,522,1,1,59,640,9,2,85,0,83,0,938,52,150,0,0
2023-03-17,522,1,1,60,640,9,2,86,0,83,0,938,52,150,0,0
2023-03-18,522,1,1,60,640,9,2,86,0,83,0,938,52,150,0,0
2023-03-19,522,1,1,60,640,9,2,86,0,83,0,938,52,150,0,0
2023-03-20,522,1,1,60,640,9,2,86,0,83,0,938,52,150,0,0
2023-03-21,523,1,1,60,641,9,2,86,0,84,0,938,52,150,0,0
2023-03-22,524,1,1,60,642,9,2,86,0,84,0,938,52,150,0,0
2023-03-23,525,2,1,60,643,10,2,86,0,92,0,938,52,150,0,0
2023-03-24,525,2,1,62,643,10,2,88,0,94,0,938,52,150,0,0
2023-03-25,525,2,1,62,643,10,2,88,0,94,0,938,52,150,0,0
2023-03-26,525,2,1,62,643,10,2,88,0,94,0,938,52,150,0,0
2023-03-27,526,2,1,62,644,10,2,88,0,94,0,938,52,150,0,0
2023-03-28,526,2,1,62,644,10,2,88,0,94,0,938,52,150,0,0
2023-03-29,526,2,1,62,644,10,2,88,0,94,0,938,52,150,0,0
2023-03-30,529,2,1,62,646,10,2,88,0,94,0,938,52,150,0,0
2023-03-31,530,2,1,62,648,10,2,88,0,94,0,938,52,150,0,0
2023-04-01,530,2,1,62,648,10,2,88,0,94,0,938,52,150,0,0
2023-04-02,530,2,1,62,648,10,2,88,0,94,0,938,52,150,0,0
2023-04-03,531,2,1,62,649,10,2,88,0,94,0,938,52,150,0,0
2023-04-04,533,2,1,62,651,10,2,88,0,94,0,938,52,150,0,0
2023-04-05,533,2,1,63,651,10,2,89,0,94,0,938,52,150,0,0
