date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,168,1,5,22,140,7,7,65,41,107,22,75,54,2467,10,6
2021-08-11,177,1,5,22,140,7,7,65,41,107,22,75,54,2467,10,6
2021-08-12,181,1,5,22,140,7,7,65,41,107,22,75,54,2467,10,6
2021-08-13,181,1,5,22,140,7,7,65,41,107,22,75,54,2467,10,6
2021-08-14,182,1,5,22,140,7,7,65,41,107,22,75,54,2467,10,6
2021-08-15,182,1,5,22,140,7,7,65,41,107,22,75,54,2467,10,6
2021-08-16,186,1,5,22,140,7,7,65,41,107,22,75,54,2467,10,6
2021-08-17,187,1,5,22,140,7,7,65,41,107,22,75,54,2467,10,6
2021-08-18,187,1,5,22,140,7,7,65,41,107,22,75,54,2467,10,6
2021-08-19,188,1,5,22,140,7,7,65,41,107,22,75,54,2467,10,6
2021-08-20,191,1,5,22,140,7,7,65,41,107,22,75,54,2467,10,6
2021-08-21,191,1,5,22,140,7,7,65,41,107,22,75,54,2467,10,6
2021-08-22,191,1,5,22,140,7,7,65,41,107,22,75,54,2467,10,6
2021-08-23,193,1,5,22,140,7,7,65,41,107,22,75,54,2467,10,6
2021-08-24,193,1,5,22,140,7,7,65,41,107,22,75,54,2467,10,6
2021-08-25,194,1,5,22,140,7,7,65,41,107,22,75,54,2467,10,6
2021-08-26,196,1,5,22,140,7,7,65,41,107,22,75,54,2467,10,6
2021-08-27,199,1,5,22,140,7,7,65,41,107,22,75,54,2467,10,6
2021-08-28,202,1,5,22,140,7,7,65,41,107,22,75,54,2467,10,6
2021-08-29,202,1,5,22,140,7,7,65,41,107,22,75,54,2467,10,6
2021-08-30,205,1,5,22,140,7,7,65,41,107,22,75,54,2467,10,6
2021-08-31,206,1,5,22,140,7,7,65,41,107,22,75,54,2467,10,6
2021-09-01,207,1,5,22,140,7,7,65,41,107,22,75,54,2467,10,6
2021-09-02,207,1,5,22,140,7,7,65,41,107,22,75,54,2467,10,6
2021-09-03,208,1,5,22,278,7,5,67,41,107,22,75,54,2467,10,6
