date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,1157,0,0,327,1834,2,0,327,17,553,408,0,3898,42,0,0
2021-08-11,1159,0,0,327,1834,2,0,327,17,553,408,0,3898,42,0,0
2021-08-12,1160,0,0,327,1836,2,0,327,17,553,408,0,3898,42,0,0
2021-08-13,1160,0,0,327,1837,2,0,327,17,553,408,0,3898,42,0,0
2021-08-14,1160,0,0,327,1837,2,0,327,17,553,408,0,3898,42,0,0
2021-08-15,1160,0,0,327,1838,2,0,327,17,553,408,0,3898,42,0,0
2021-08-16,1164,0,0,327,1838,2,0,327,17,553,408,0,3898,42,0,0
2021-08-17,1165,0,0,327,1838,2,0,327,17,553,408,0,3898,42,0,0
2021-08-18,1166,0,0,327,1849,2,0,327,17,553,408,0,3898,42,0,0
2021-08-19,1168,0,0,327,1850,2,0,327,17,553,408,0,3898,42,0,0
2021-08-20,1170,0,0,327,1852,2,0,327,17,553,408,0,3898,42,0,0
2021-08-21,1170,0,0,327,1854,2,0,327,17,553,408,0,3898,42,0,0
2021-08-22,1170,0,0,327,1854,2,0,327,17,553,408,0,3898,42,0,0
2021-08-23,1171,0,0,327,1854,2,0,327,17,553,408,0,3898,42,0,0
2021-08-24,1171,0,0,327,1856,2,0,327,17,553,408,0,3898,42,0,0
2021-08-25,1174,0,0,327,1856,2,0,327,17,553,408,0,3898,42,0,0
2021-08-26,1174,0,0,327,1859,2,0,327,17,553,408,0,3898,42,0,0
2021-08-27,1175,0,0,327,1864,2,0,327,17,553,408,0,3898,42,0,0
2021-08-28,1175,0,0,327,1865,2,0,327,17,553,408,0,3898,42,0,0
2021-08-29,1175,0,0,327,1866,2,0,327,17,553,408,0,3898,42,0,0
2021-08-30,1175,0,0,327,1867,2,0,327,17,553,408,0,3898,42,0,0
2021-08-31,1176,0,0,327,1869,2,0,327,17,553,408,0,3898,42,0,0
2021-09-01,1179,0,0,327,1869,2,0,327,17,553,408,0,3898,42,0,0
2021-09-02,1180,0,0,327,1872,2,0,327,17,553,408,0,3898,42,0,0
2021-09-03,1183,0,0,327,1873,2,0,327,17,553,408,0,3898,42,0,0
2021-09-04,1183,0,0,327,1876,2,0,327,17,553,408,0,3898,42,0,0
2021-09-05,1184,0,0,327,1877,2,0,327,17,553,408,0,3898,42,0,0
2021-09-06,1186,0,0,327,1878,2,0,327,17,553,408,0,3898,42,0,0
2021-09-07,1186,0,0,327,1880,2,0,328,17,553,408,0,3898,42,0,0
2021-09-08,1186,0,0,327,1883,2,0,328,17,553,408,0,3898,42,0,0
2021-09-09,1189,0,0,327,1884,2,0,328,17,553,408,0,3898,42,0,0
2021-09-10,1191,0,0,327,1890,2,0,328,17,553,408,0,3898,42,0,0
2021-09-11,1191,0,0,327,1893,2,0,328,17,553,408,0,3898,42,0,0
2021-09-12,1192,0,0,327,1893,2,0,328,17,553,408,0,3898,42,0,0
2021-09-13,1193,0,0,327,1894,2,0,328,17,553,408,0,3898,42,0,0
2021-09-14,1194,0,0,327,1897,2,0,328,17,553,408,0,3898,42,0,0
2021-09-15,1197,0,0,327,1900,2,0,328,17,553,408,0,3898,42,0,0
2021-09-16,1197,0,0,327,1905,2,0,328,17,553,408,0,3898,42,0,0
2021-09-17,1198,0,0,327,1910,2,0,328,17,553,408,0,3898,42,0,0
2021-09-18,1198,0,0,327,1911,2,0,328,17,553,408,0,3898,42,0,0
2021-09-19,1199,0,0,327,1911,2,0,328,17,553,408,0,3898,42,0,0
2021-09-20,1200,0,0,327,1912,2,0,328,17,553,408,0,3898,42,0,0
2021-11-22,1302,0,0,1,2116,2,0,329,17,10,408,0,11,42,0,0
2021-11-24,1304,0,0,328,2116,2,0,329,17,10,408,0,11,42,0,0
2022-05-03,1304,0,0,332,2116,2,0,329,17,10,408,0,11,42,0,0
2022-05-07,1304,0,0,332,2116,2,0,329,17,10,408,0,11,42,0,0
2022-05-08,1304,0,0,332,2116,2,0,329,17,10,408,0,11,42,0,0
2022-05-09,1304,0,0,332,2116,2,0,329,17,10,408,0,11,42,0,0
2022-05-10,1304,0,0,332,2116,2,0,329,17,10,408,0,11,42,0,0
2022-05-11,1304,0,0,332,2116,2,0,329,17,10,408,0,11,42,0,0
2022-05-12,1304,0,0,332,2116,2,0,329,17,10,408,0,11,42,0,0
2022-05-13,1304,0,0,332,2116,2,0,329,17,10,408,0,11,42,0,0
2022-05-14,1304,0,0,332,2116,2,0,329,17,10,408,0,11,42,0,0
2022-05-15,1304,0,0,332,2116,2,0,329,17,10,408,0,11,42,0,0
2022-05-16,1304,0,0,332,2116,2,0,329,17,10,408,0,11,42,0,0
2022-05-17,1304,0,0,332,2116,2,0,329,17,10,408,0,11,42,0,0
2022-05-18,1304,0,0,332,2116,2,0,329,17,10,408,0,11,42,0,0
2022-05-19,1304,0,0,332,2116,2,0,329,17,10,408,0,11,42,0,0
2022-05-20,1304,0,0,332,2116,2,0,329,17,10,408,0,11,42,0,0
2022-05-21,1304,0,0,332,2116,2,0,329,17,10,408,0,11,42,0,0
2022-05-22,1304,0,0,332,2116,2,0,329,17,10,408,0,11,42,0,0
2022-05-23,1304,0,0,332,2116,2,0,329,17,10,408,0,11,42,0,0
2022-05-24,1304,0,0,332,2116,2,0,329,17,10,408,0,11,42,0,0
2022-05-25,1304,0,0,332,2116,2,0,329,17,10,408,0,11,42,0,0
2022-05-26,1304,0,0,332,2116,2,0,329,17,10,408,0,11,42,0,0
2022-05-27,1304,0,0,332,2116,2,0,329,17,10,408,0,11,42,0,0
2022-05-28,1304,0,0,332,2116,2,0,329,17,10,408,0,11,42,0,0
2022-05-29,1304,0,0,332,2116,2,0,329,17,10,408,0,11,42,0,0
2022-05-30,1304,0,0,332,2116,2,0,329,17,10,408,0,11,42,0,0
2022-05-31,1304,0,0,332,2116,2,0,329,17,10,408,0,11,42,0,0
2022-06-01,1304,0,0,332,2116,2,0,329,17,10,408,0,11,42,0,0
2022-06-02,1304,0,0,332,2116,2,0,329,17,10,408,0,11,42,0,0
2022-06-03,1304,0,0,332,2116,2,0,329,17,10,408,0,11,42,0,0
2022-06-04,1304,0,0,332,2116,2,0,329,17,10,408,0,11,42,0,0
2022-06-05,1304,0,0,332,2116,2,0,329,17,10,408,0,11,42,0,0
2022-06-06,1304,0,0,332,2116,2,0,329,17,10,408,0,11,42,0,0
2022-06-07,1304,0,0,332,2116,2,0,329,17,10,408,0,11,42,0,0
2022-06-08,1304,0,0,332,2116,2,0,329,17,10,408,0,11,42,0,0
2022-06-09,1304,0,0,332,2116,2,0,329,17,10,408,0,11,42,0,0
2022-06-10,1304,0,0,332,2116,2,0,329,17,10,408,0,11,42,0,0
2022-06-11,1304,0,0,332,2116,2,0,329,17,10,408,0,11,42,0,0
2022-06-12,1304,0,0,332,2116,2,0,329,17,10,408,0,11,42,0,0
2022-06-13,1304,0,0,333,2116,2,0,329,17,10,408,0,11,42,0,0
2022-06-14,1304,0,0,333,2116,2,0,329,17,10,408,0,11,42,0,0
2022-06-15,1304,0,0,333,2116,2,0,329,17,10,408,0,11,42,0,0
2022-06-16,1304,0,0,333,2116,2,0,329,17,10,408,0,11,42,0,0
2022-06-17,1304,0,0,333,2116,2,0,329,17,10,408,0,11,42,0,0
2022-06-18,1304,0,0,333,2116,2,0,329,17,10,408,0,11,42,0,0
2022-06-19,1304,0,0,333,2116,2,0,329,17,10,408,0,11,42,0,0
2022-06-20,1304,0,0,333,2116,2,0,329,17,10,408,0,11,42,0,0
2022-06-21,1304,0,0,336,2116,2,0,329,17,10,408,0,11,42,0,0
2022-06-22,1304,0,0,336,2116,2,0,329,17,10,408,0,11,42,0,0
2022-06-23,1304,0,0,336,2116,2,0,329,17,10,408,0,11,42,0,0
2022-06-24,1304,0,0,336,2116,2,0,329,17,10,408,0,11,42,0,0
2022-06-25,1304,0,0,336,2116,2,0,329,17,10,408,0,11,42,0,0
2022-06-26,1304,0,0,336,2116,2,0,329,17,10,408,0,11,42,0,0
