date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,5248,0,11,115,12942,1,20,256,12,113,25,3483,6,0,0,0
2021-08-11,5248,0,11,115,12942,1,20,256,12,113,25,3483,6,0,0,0
2021-08-12,5248,0,11,115,12942,1,20,256,12,113,25,3483,6,0,0,0
2021-08-13,5248,0,11,115,12942,1,20,256,12,113,25,3483,6,0,0,0
2021-08-14,5248,0,11,115,12942,1,20,256,12,113,25,3483,6,0,0,0
2021-08-15,5248,0,11,115,12942,1,20,256,12,113,25,3483,6,0,0,0
2021-08-16,5248,0,11,115,12942,1,20,256,12,113,25,3483,6,0,0,0
2021-08-17,5248,0,11,115,12942,1,20,256,12,113,25,3483,6,0,0,0
2021-08-18,5248,0,11,115,12942,1,20,256,12,113,25,3483,6,0,0,0
2021-08-19,5248,0,11,115,12942,1,20,256,12,113,25,3483,6,0,0,0
2021-08-20,5248,0,11,115,12942,1,20,256,12,113,25,3483,6,0,0,0
2021-08-21,5248,0,11,115,12942,1,20,256,12,113,25,3483,6,0,0,0
2021-08-22,5248,0,11,115,12942,1,20,256,12,113,25,3483,6,0,0,0
2021-08-23,5248,0,11,115,12942,1,20,256,12,113,25,3483,6,0,0,0
2021-08-24,5248,0,11,115,12942,1,20,256,12,113,25,3483,6,0,0,0
2021-08-25,5248,0,11,115,12942,1,20,256,12,113,25,3483,6,0,0,0
2021-08-26,5248,0,11,115,12942,1,20,256,12,113,25,3483,6,0,0,0
2021-08-27,5248,0,10,115,12942,1,20,256,12,113,25,3483,6,0,0,0
2021-08-28,5248,0,11,115,12942,1,20,256,12,113,25,3483,6,0,0,0
2021-08-29,5248,0,11,115,12942,1,20,256,12,113,25,3483,6,0,0,0
2021-08-30,5248,0,11,115,12942,1,20,256,12,113,25,3483,6,0,0,0
2021-08-31,5248,0,10,115,12942,1,20,256,12,113,25,3483,6,0,0,0
2021-09-01,5248,0,11,115,12942,1,20,256,12,113,25,3483,6,0,0,0
2021-09-02,5248,0,11,115,12942,1,20,256,12,113,25,3483,6,0,0,0
2021-09-03,5248,0,11,115,12942,1,20,256,12,113,25,3483,6,0,0,0
2021-09-04,5248,0,11,115,12942,1,20,256,12,113,25,3483,6,0,0,0
2021-09-05,5248,0,11,115,12942,1,20,256,12,113,25,3483,6,0,0,0
2021-09-06,5248,0,11,115,12942,1,20,256,12,113,25,3483,6,0,0,0
2021-09-07,5248,0,10,115,12942,1,20,256,12,113,25,3483,6,0,0,0
