date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,2962,3,2,192,3633,4,3,200,178,147,50,0,162,10252,0,0
2021-08-11,2962,3,2,192,3634,4,3,200,178,147,50,0,162,10252,0,0
2021-08-12,2963,3,2,192,3634,4,3,200,178,147,50,0,162,10252,0,0
2021-08-13,2963,3,2,192,3635,4,3,200,178,147,50,0,162,10252,0,0
2021-08-14,2963,3,2,192,3635,4,3,200,178,147,50,0,162,10252,0,0
2021-08-15,2963,3,2,192,3635,4,3,200,178,147,50,0,162,10252,0,0
2021-08-16,2965,3,2,192,3635,4,3,200,178,147,50,0,162,10252,0,0
2021-08-17,2966,3,2,192,3638,4,3,200,178,147,50,0,162,10252,0,0
2021-08-18,2967,3,2,192,3639,4,3,200,178,147,50,0,162,10252,0,0
2021-08-19,2968,3,2,192,3641,4,3,200,178,147,50,0,162,10252,0,0
2021-08-20,2972,3,2,192,3643,4,3,200,179,147,50,0,162,10252,0,0
2021-08-21,2974,3,2,192,3647,4,3,200,179,147,50,0,162,10252,0,0
2021-08-22,2975,3,2,192,3649,4,3,200,178,147,50,0,162,10252,0,0
2021-08-23,2976,3,2,192,3650,4,3,200,178,147,50,0,162,10252,0,0
2021-08-24,2977,3,2,192,3652,4,3,200,179,147,50,0,162,10252,0,0
2021-08-25,2979,3,2,192,3655,4,3,200,179,147,50,0,162,10252,0,0
2021-08-26,2981,3,2,192,3659,4,3,200,179,147,50,0,162,10252,0,0
2021-08-27,2983,3,2,193,3661,4,3,200,179,147,50,0,162,10252,0,0
2021-08-28,2985,3,2,193,3663,4,3,201,179,147,50,0,162,10252,0,0
2021-08-29,2985,3,2,193,3665,4,3,201,179,147,50,0,162,10252,0,0
2021-08-30,2987,3,2,193,3666,4,3,201,179,147,50,0,162,10252,0,0
2021-08-31,2989,2,2,193,3668,4,3,201,179,147,50,0,162,10252,0,0
2021-09-01,2990,2,2,193,3670,4,3,201,179,147,50,0,162,10252,0,0
2021-09-02,2992,3,2,194,3672,4,3,201,179,147,50,0,162,10252,0,0
2021-09-03,2995,3,2,194,3674,4,3,202,179,147,50,0,162,10252,0,0
2021-09-04,2997,3,2,194,3678,4,3,202,179,147,50,0,162,10252,0,0
2021-09-05,3000,3,2,194,3680,4,3,202,179,147,50,0,162,10252,0,0
