date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,5827,2,1,307,6799,10,1,309,52,570,110,18429,656,11451,0,0
2021-08-11,5827,2,1,307,6801,10,1,309,52,570,110,18429,656,11451,0,0
2021-08-12,5828,2,1,307,6803,10,1,309,52,570,110,18429,656,11451,0,0
2021-08-13,5828,2,1,307,6804,10,1,309,52,570,110,18429,656,11451,0,0
2021-08-14,5830,2,1,307,6806,10,1,309,52,570,110,18429,656,11451,0,0
2021-08-15,5831,2,1,307,6807,10,1,309,52,570,110,18429,656,11451,0,0
2021-08-16,5832,2,1,307,6808,10,1,309,52,570,110,18429,656,11451,0,0
2021-08-17,5833,2,1,307,6810,10,1,309,52,570,110,18429,656,11451,0,0
2021-08-18,5835,2,1,307,6812,10,1,309,52,570,110,18429,656,11451,0,0
2021-08-19,5836,2,1,307,6814,10,1,309,52,570,110,18429,656,11451,0,0
2021-08-20,5837,2,1,307,6817,10,1,309,52,570,110,18429,656,11451,0,0
2021-08-21,5840,2,1,307,6822,10,1,309,52,570,110,18429,656,11451,0,0
2021-08-22,5840,2,1,307,6822,10,1,309,52,570,110,18429,656,11451,0,0
2021-08-23,5843,2,1,307,6829,10,1,309,52,570,110,18429,656,11451,0,0
2021-08-24,5846,2,1,307,6832,10,1,309,52,570,110,18429,656,11451,0,0
2021-08-25,5849,2,1,307,6837,10,1,309,52,570,110,18429,656,11451,0,0
2021-08-26,5853,2,1,307,6842,10,1,309,52,570,110,18429,656,11451,0,0
2021-08-27,5854,2,1,307,6846,10,1,309,52,570,110,18429,656,11451,0,0
2021-08-28,5854,2,1,307,6847,10,1,309,52,570,110,18429,656,11451,0,0
2021-08-29,5854,2,1,307,6849,10,1,309,52,570,110,18429,656,11451,0,0
2021-08-30,5859,2,1,307,6855,10,1,309,52,570,110,18429,656,11451,0,0
2021-08-31,5861,2,1,307,6858,10,1,309,52,570,110,18429,656,11451,0,0
2021-09-01,5861,2,1,307,6858,10,1,309,52,570,110,18429,656,11451,0,0
2021-09-02,5862,2,1,307,6859,10,1,309,52,570,110,18429,656,11451,0,0
2021-09-03,5864,2,1,307,6862,10,1,309,52,570,110,18429,656,11451,0,0
2021-09-04,5865,2,1,307,6866,10,1,309,52,570,110,18429,656,11451,0,0
2021-09-05,5865,2,1,307,6866,10,1,309,52,570,110,18429,656,11451,0,0
2021-09-06,5865,2,1,307,6867,10,1,309,52,570,110,18429,656,11451,0,0
2021-09-07,5866,2,1,307,6870,10,1,309,52,570,110,18429,656,11451,0,0
2021-09-08,5866,2,1,307,6872,10,1,309,52,570,110,18429,656,11451,0,0
2021-09-09,5866,3,1,307,6877,11,1,309,52,570,110,18429,656,11451,0,0
2021-09-10,5868,4,1,307,6880,12,1,309,52,570,110,18429,656,11451,0,0
2021-09-11,5868,4,1,307,6882,12,1,309,52,570,110,18429,656,11451,0,0
2021-09-12,5868,4,1,307,6882,12,1,309,52,570,110,18429,656,11451,0,0
2021-09-13,5873,4,1,307,6891,12,1,309,56,570,110,18429,656,11451,0,0
2021-09-14,5877,4,1,307,6895,12,1,310,56,570,110,18429,656,11451,0,0
2021-09-15,5881,4,1,307,6907,12,1,310,56,570,110,18429,656,11451,0,0
2021-09-16,5885,4,1,307,6913,12,1,310,56,570,110,18429,656,11451,0,0
2021-09-17,5887,4,1,307,6916,12,1,310,56,570,110,18429,656,11451,0,0
2021-09-18,5889,3,1,307,6919,12,1,310,56,570,110,18429,656,11451,0,0
2021-09-19,5890,3,1,307,6920,12,1,310,56,570,110,18429,656,11451,0,0
2021-09-20,5899,3,1,309,6936,12,1,312,56,570,110,18429,656,11451,0,0
2021-11-22,6004,2,1,316,7118,12,1,319,66,571,110,18429,657,11451,0,0
2021-11-24,6006,2,1,316,7123,12,1,319,67,571,110,18429,657,11451,0,0
2022-05-03,6128,0,1,323,7608,13,1,324,68,575,110,18429,662,11451,0,0
2022-05-07,6132,1,1,323,7613,14,1,324,68,576,110,18429,662,11451,0,0
2022-05-08,6132,1,1,323,7613,14,1,324,68,576,110,18429,662,11451,0,0
2022-05-09,6134,1,1,323,7615,14,1,324,68,577,110,18429,662,11451,0,0
2022-05-10,6135,1,1,323,7617,14,1,324,68,577,110,18429,662,11451,0,0
2022-05-11,6138,1,1,323,7620,14,1,324,68,577,110,18429,662,11451,0,0
2022-05-12,6138,1,1,323,7620,14,1,324,68,577,110,18429,662,11451,0,0
2022-05-13,6139,1,1,323,7621,14,1,324,68,577,110,18429,662,11451,0,0
2022-05-14,6139,1,1,323,7621,14,1,324,68,577,110,18429,662,11451,0,0
2022-05-16,6141,2,1,323,7624,15,1,324,68,577,110,18429,662,11451,0,0
2022-05-18,6142,2,1,323,7627,15,1,324,68,577,110,18429,662,11451,0,0
2022-05-19,6147,2,1,323,7631,15,1,324,68,577,110,18429,662,11451,0,0
2022-05-20,6148,2,1,323,7632,15,1,324,68,577,110,18429,662,11451,0,0
2022-05-21,6148,2,1,323,7634,15,1,324,68,577,110,18429,662,11451,0,0
2022-05-22,6148,2,1,323,7635,15,1,324,68,577,110,18429,662,11451,0,0
2022-05-23,6148,3,1,323,7636,16,1,324,74,577,110,18429,662,11451,0,0
2022-05-25,6149,3,1,323,7637,16,1,324,74,577,110,18429,662,11451,0,0
2022-05-26,6150,3,1,323,7638,16,1,324,74,577,110,18429,662,11451,0,0
2022-05-27,6150,3,1,323,7639,16,1,324,74,577,110,18429,662,11451,0,0
2022-05-28,6152,3,1,323,7640,16,1,324,74,577,110,18429,662,11451,0,0
2022-06-01,6156,3,1,323,7645,16,1,324,79,577,110,18429,662,11451,0,0
2022-06-02,6158,3,1,323,7647,16,1,324,79,577,110,18429,662,11451,0,0
2022-06-03,6159,3,1,323,7648,16,1,324,79,577,110,18429,662,11451,0,0
2022-06-04,6160,3,1,323,7649,16,1,324,79,577,110,18429,662,11451,0,0
2022-06-07,6160,3,1,323,7649,16,1,324,79,577,110,18429,662,11451,0,0
2022-06-09,6160,3,1,323,7649,16,1,324,79,577,110,18429,662,11451,0,0
2022-06-11,6163,3,1,325,7652,16,1,326,79,578,110,18429,662,11451,0,0
2022-06-12,6163,3,1,325,7652,16,1,326,79,578,110,18429,662,11451,0,0
2022-06-13,6164,3,1,325,7653,16,1,326,79,578,110,18429,662,11451,0,0
2022-06-14,6165,4,1,325,7654,17,1,326,79,578,110,18429,662,11451,0,0
2022-06-15,6167,4,1,325,7656,17,1,326,79,578,110,18429,662,11451,0,0
2022-06-16,6171,4,1,325,7661,17,1,326,79,579,110,18429,662,11451,0,0
2022-06-17,6172,4,1,325,7662,17,1,326,79,579,110,18429,662,11451,0,0
2022-06-18,6173,4,1,326,7663,17,1,327,79,579,110,18429,662,11451,0,0
2022-06-19,6174,4,1,326,7663,17,1,327,79,579,110,18429,662,11451,0,0
2022-06-20,6176,4,1,327,7665,17,1,328,79,579,110,18429,665,11451,0,0
2022-06-21,6176,4,1,327,7666,17,1,328,79,579,110,18429,665,11451,0,0
2022-06-22,6176,4,1,327,7666,17,1,328,79,579,110,18429,665,11451,0,0
2022-06-23,6176,4,1,327,7666,17,1,328,79,579,110,18429,665,11451,0,0
2022-06-25,6176,4,1,327,7666,17,1,328,79,579,110,18429,665,11451,0,0
2022-06-27,6176,4,1,327,7666,17,1,328,79,579,110,18429,665,11451,0,0
2022-06-28,6177,4,1,327,7667,17,1,328,79,579,110,18429,665,11451,0,0
2022-06-29,6177,4,1,327,7667,17,1,328,79,579,110,18429,665,11451,0,0
2022-06-30,6178,2,1,327,7668,17,1,328,79,579,110,18429,665,11451,0,0
2022-07-01,6181,2,1,327,7670,17,1,328,79,579,110,18429,665,11451,0,0
2022-07-02,6181,2,1,328,7671,17,1,329,79,579,110,18429,666,11451,0,0
2022-07-04,6184,2,1,328,7674,17,1,329,79,579,110,18429,666,11451,0,0
2022-07-05,6186,2,1,328,7676,17,1,329,79,579,110,18429,666,11451,0,0
2022-07-06,6186,2,1,328,7676,17,1,329,79,579,110,18429,666,11451,0,0
2022-07-07,6186,2,1,328,7676,17,1,329,79,579,110,18429,666,11451,0,0
2022-07-08,6186,2,1,328,7676,17,1,329,79,579,110,18429,666,11451,0,0
2022-07-09,6187,2,1,328,7677,17,1,329,79,579,110,18429,666,11451,0,0
2022-07-11,6187,2,1,328,7677,17,1,329,79,579,110,18429,666,11451,0,0
2022-07-12,6188,2,1,328,7678,17,1,329,79,579,110,18429,666,11451,0,0
2022-07-14,6189,2,1,328,7679,17,1,329,79,579,110,18429,666,11451,0,0
2022-07-15,6190,2,1,328,7680,17,1,329,79,579,110,18429,666,11451,0,0
2022-07-16,6191,2,1,328,7681,17,1,329,79,579,110,18429,666,11451,0,0
2022-07-17,6192,2,1,328,7682,17,1,329,79,579,110,18429,666,11451,0,0
2022-07-18,6193,2,1,328,7683,17,1,329,79,579,110,18429,666,11451,0,0
2022-07-19,6195,2,1,328,7685,17,1,329,79,579,110,18429,666,11451,0,0
2022-07-20,6195,2,1,328,7685,17,1,329,79,579,110,18429,666,11451,0,0
2022-07-21,6196,3,1,328,7686,18,1,329,80,579,110,18429,666,11451,0,0
2022-07-22,6197,3,1,328,7687,18,1,329,80,579,110,18429,666,11451,0,0
2022-07-23,6198,3,1,328,7687,18,1,329,80,579,110,18429,666,11451,0,0
2022-07-24,6203,3,1,328,7693,18,1,329,80,579,110,18429,666,11451,0,0
2022-07-25,6212,3,1,328,7703,18,1,329,82,579,110,18429,666,11451,0,0
2022-07-26,6220,3,1,328,7711,18,1,329,82,579,110,18429,666,11451,0,0
2022-08-01,6223,2,1,328,7714,18,1,329,82,580,110,18429,666,11451,0,0
2022-08-02,6225,2,1,328,7716,18,1,329,82,580,110,18429,666,11451,0,0
2022-08-03,6225,2,1,328,7716,18,1,329,82,580,110,18429,666,11451,0,0
2022-08-04,6226,2,1,328,7717,18,1,329,82,580,110,18429,666,11451,0,0
2022-08-05,6226,2,1,328,7717,18,1,329,82,580,110,18429,666,11451,0,0
2022-08-07,6226,2,1,328,7717,18,1,329,82,580,110,18429,666,11451,0,0
2022-08-08,6226,2,1,328,7717,18,1,329,82,580,110,18429,666,11451,0,0
2022-08-10,6226,2,1,328,7717,18,1,329,82,580,110,18429,666,11451,0,0
2022-08-11,6228,2,1,328,7719,18,1,329,82,580,110,18429,666,11451,0,0
2022-08-13,6228,2,1,328,7719,18,1,329,82,580,110,18429,666,11451,0,0
2022-08-14,6228,2,1,328,7719,18,1,329,82,580,110,18429,666,11451,0,0
2022-08-15,6229,2,1,328,7720,18,1,329,82,580,110,18429,666,11451,0,0
2022-08-16,6230,2,1,328,7721,18,1,329,82,580,110,18429,666,11451,0,0
2022-08-17,6232,2,1,328,7723,18,1,329,82,580,110,18429,666,11451,0,0
2022-08-18,6232,2,1,328,7723,18,1,329,82,580,110,18429,666,11451,0,0
2022-08-19,6232,2,1,328,7723,18,1,329,82,580,110,18429,666,11451,0,0
2022-08-20,6234,2,1,328,7725,18,1,329,82,580,110,18429,666,11451,0,0
2022-08-21,6234,2,1,328,7725,18,1,329,82,580,110,18429,666,11451,0,0
2022-08-22,6235,2,1,328,7726,18,1,329,82,580,110,18429,666,11451,0,0
2022-08-23,6235,2,1,328,7726,18,1,329,82,580,110,18429,666,11451,0,0
2022-08-24,6236,2,1,328,7727,18,1,329,82,580,110,18429,666,11451,0,0
2022-08-25,6236,2,1,328,7727,18,1,329,82,580,110,18429,666,11451,0,0
2022-08-26,6236,2,1,328,7727,18,1,329,82,580,110,18429,666,11451,0,0
2022-08-27,6236,2,1,328,7727,18,1,329,82,580,110,18429,666,11451,0,0
2022-08-28,6236,2,1,328,7727,18,1,329,82,580,110,18429,666,11451,0,0
2022-08-29,6236,2,1,328,7727,18,1,329,82,580,110,18429,666,11451,0,0
2022-08-30,6237,2,1,328,7727,18,1,329,82,580,110,18429,666,11451,0,0
2022-08-31,6238,2,1,328,7729,18,1,329,82,580,110,18429,666,11451,0,0
2022-09-01,6239,1,1,329,7730,18,1,330,82,581,110,18429,667,11451,0,0
2022-09-02,6241,1,1,329,7732,18,1,330,82,581,110,18429,667,11451,0,0
2022-09-03,6241,1,1,329,7732,18,1,330,82,581,110,18429,667,11451,0,0
