date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2023-02-11,590,0,0,141,649,1,1,141,1,205,81,0,484,0,0,0
2023-02-12,590,0,0,141,650,1,1,142,1,205,81,0,490,0,0,0
2023-02-13,604,0,0,143,663,1,1,144,1,205,81,0,512,0,0,0
2023-02-14,626,0,0,131,684,1,1,144,1,124,81,0,459,0,0,0
2023-02-15,761,0,0,131,844,1,1,144,1,124,80,0,459,0,0,0
2023-02-16,903,0,0,131,1006,1,1,144,1,124,80,0,459,0,0,0
2023-02-17,1055,0,0,131,1182,1,1,144,1,124,80,0,459,0,0,0
2023-02-18,1189,0,0,131,1337,1,1,144,1,124,80,0,459,0,0,0
2023-02-19,1257,0,0,131,1417,1,1,144,1,124,80,0,459,0,0,0
2023-02-20,1363,0,0,131,1533,1,1,144,1,124,80,0,459,0,0,0
2023-02-21,1441,0,0,131,1619,1,1,144,1,124,80,0,459,0,0,0
2023-02-22,1529,0,0,131,1718,1,1,144,1,124,80,0,459,0,0,0
2023-02-23,1624,0,0,131,1830,1,1,144,1,124,80,0,459,0,0,0
2023-02-24,1683,0,0,131,1905,1,1,144,1,124,80,0,459,0,0,0
2023-02-25,1746,0,0,131,1972,1,1,144,1,124,80,0,459,0,0,0
2023-02-26,1764,0,0,131,1994,1,1,144,1,124,80,0,459,0,0,0
2023-02-27,1842,0,0,131,2079,1,1,144,1,124,80,0,459,0,0,0
2023-02-28,1952,0,0,131,2212,1,1,144,1,124,80,0,459,0,0,0
2023-03-01,1991,0,0,131,2252,1,1,144,1,124,80,0,459,0,0,0
2023-03-02,2077,0,0,131,2350,1,1,144,1,124,80,0,459,0,0,0
2023-03-03,2174,0,0,131,2466,1,1,144,1,124,80,0,459,0,0,0
2023-03-04,2207,0,0,131,2509,1,1,144,1,124,80,0,459,0,0,0
2023-03-05,2263,0,0,131,2570,1,1,144,1,124,80,0,459,0,0,0
2023-03-06,2346,0,0,131,2673,1,1,144,1,124,80,0,459,0,0,0
2023-03-07,2434,0,0,131,2775,1,1,144,1,124,80,0,459,0,0,0
2023-03-08,2463,0,0,131,2805,1,1,144,1,124,80,0,459,0,0,0
2023-03-09,2504,0,0,131,2850,1,1,144,1,124,80,0,459,0,0,0
2023-03-10,2537,0,0,131,2896,1,1,144,1,124,80,0,459,0,0,0
2023-03-11,2560,0,0,131,2923,1,1,144,1,124,80,0,459,0,0,0
2023-03-12,2598,0,0,131,2970,1,1,144,1,124,80,0,459,0,0,0
2023-03-13,2660,0,0,131,3045,1,1,144,1,124,80,0,459,0,0,0
2023-03-14,2711,0,0,131,3102,1,1,144,1,124,80,0,459,0,0,0
2023-03-15,2752,0,0,131,3149,1,1,144,1,124,80,0,459,0,0,0
2023-03-16,2812,0,0,131,3214,1,1,144,1,124,80,0,459,0,0,0
2023-03-17,2897,0,0,131,3314,1,1,144,1,124,80,0,459,0,0,0
