date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,406,1,11,50,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-11,406,1,11,50,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-12,406,1,11,50,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-13,406,1,11,50,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-14,406,1,11,50,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-15,406,1,11,50,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-16,406,1,11,50,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-17,406,1,11,50,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-18,406,1,11,50,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-19,406,1,11,50,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-20,406,1,11,50,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-21,406,1,11,50,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-22,406,1,11,50,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-23,406,1,11,50,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-24,406,1,11,50,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-25,406,1,11,50,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-26,406,1,11,50,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-27,406,1,11,50,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-28,406,1,11,50,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-29,406,1,11,50,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-30,406,1,11,50,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-31,406,1,11,50,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-01,406,1,11,50,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-02,406,1,11,50,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-03,406,1,11,50,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-04,406,1,11,50,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-05,406,1,11,50,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-06,406,1,11,50,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-07,406,1,11,50,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-08,406,1,11,50,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-09,406,1,11,50,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-10,406,1,11,50,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-11,406,1,11,50,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-12,406,1,11,50,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-13,406,1,11,50,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-14,406,1,11,50,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-15,406,1,11,50,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-16,406,1,11,50,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-17,406,1,11,50,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-18,406,1,11,50,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-19,406,1,11,50,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-20,406,1,11,50,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-22,515,2,11,50,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-03,823,0,11,53,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-07,833,0,11,53,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-08,833,0,11,53,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-09,837,0,11,53,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-10,840,0,11,53,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-11,845,0,11,53,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-12,849,0,11,53,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-13,850,0,11,53,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-14,851,0,11,53,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-15,852,0,11,53,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-16,853,0,11,53,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-17,855,0,11,53,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-18,860,0,11,53,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-19,861,0,11,53,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-20,864,0,11,53,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-21,866,0,11,56,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-22,867,0,11,56,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-23,871,0,11,56,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-24,875,0,11,56,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-25,876,0,11,56,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-26,880,0,11,57,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-27,884,0,11,57,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-28,885,0,11,57,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-29,885,0,11,57,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-30,886,0,11,57,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-31,893,0,11,61,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-01,897,0,11,65,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-02,902,0,11,65,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-03,903,0,11,65,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-04,903,0,11,65,0,0,0,0,0,0,0,0,0,0,0,0
