date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2023-02-11,512,7,16,0,1161,11,16,84,0,12,18,0,2,235,22,1
2023-02-12,513,7,16,0,1161,11,16,84,0,12,18,0,2,235,22,1
2023-02-13,513,7,16,0,1163,11,16,84,0,12,18,0,2,235,22,1
2023-02-14,514,7,16,0,1164,11,16,84,0,12,18,0,2,235,22,1
2023-02-15,514,7,16,0,1165,11,16,84,0,12,18,0,2,235,22,1
2023-02-16,515,7,16,0,1166,11,16,84,0,12,18,0,2,235,22,1
2023-02-17,515,7,16,0,1166,11,16,84,0,12,18,0,2,235,22,1
2023-02-18,515,7,16,0,1166,11,16,84,0,12,18,0,2,235,22,1
2023-02-19,515,7,16,0,1166,11,16,84,0,12,18,0,2,235,22,1
2023-02-20,515,7,16,0,1166,11,16,84,0,12,18,0,2,235,22,1
2023-02-21,515,7,16,0,1167,11,16,84,0,12,18,0,2,235,22,1
2023-02-22,516,7,17,0,1168,11,17,84,0,12,18,0,2,235,22,1
2023-02-23,515,7,17,0,1168,11,17,84,0,12,18,0,2,235,22,1
2023-02-24,515,7,17,0,1168,11,17,84,0,12,18,0,2,235,22,1
2023-02-25,516,7,17,0,1169,11,17,84,0,12,18,0,2,235,22,1
2023-02-26,516,7,17,0,1169,11,17,84,0,12,18,0,2,235,22,1
2023-02-27,517,7,17,0,1172,11,17,84,0,12,18,0,2,235,22,1
2023-02-28,517,7,17,0,1172,11,17,84,0,12,18,0,2,235,22,1
2023-03-01,517,7,17,0,1172,11,17,84,0,12,18,0,2,235,22,1
2023-03-02,518,7,17,0,1174,11,17,84,0,12,18,0,2,235,22,1
2023-03-03,517,7,17,0,1175,11,17,84,0,12,18,0,2,235,22,1
2023-03-04,517,7,17,0,1175,11,17,84,0,12,18,0,2,235,22,1
2023-03-05,517,7,17,0,1175,11,17,84,0,12,18,0,2,235,22,1
2023-03-06,517,7,17,0,1175,11,17,84,0,12,18,0,2,235,22,1
2023-03-07,518,7,17,0,1176,11,17,84,0,12,18,0,2,235,22,1
2023-03-08,519,7,17,0,1179,11,17,84,0,12,18,0,2,235,22,1
