date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2023-02-11,512,7,16,0,1161,11,16,84,0,12,18,0,2,235,22,1
2023-02-12,513,7,16,0,1161,11,16,84,0,12,18,0,2,235,22,1
2023-02-13,513,7,16,0,1163,11,16,84,0,12,18,0,2,235,22,1
2023-02-14,514,7,16,0,1164,11,16,84,0,12,18,0,2,235,22,1
2023-02-15,514,7,16,0,1165,11,16,84,0,12,18,0,2,235,22,1
2023-02-16,515,7,16,0,1166,11,16,84,0,12,18,0,2,235,22,1
2023-02-17,515,7,16,0,1166,11,16,84,0,12,18,0,2,235,22,1
2023-02-18,515,7,16,0,1166,11,16,84,0,12,18,0,2,235,22,1
2023-02-19,515,7,16,0,1166,11,16,84,0,12,18,0,2,235,22,1
2023-02-20,515,7,16,0,1166,11,16,84,0,12,18,0,2,235,22,1
2023-02-21,515,7,16,0,1167,11,16,84,0,12,18,0,2,235,22,1
2023-02-22,516,7,17,0,1168,11,17,84,0,12,18,0,2,235,22,1
2023-02-23,515,7,17,0,1168,11,17,84,0,12,18,0,2,235,22,1
2023-02-24,515,7,17,0,1168,11,17,84,0,12,18,0,2,235,22,1
2023-02-25,516,7,17,0,1169,11,17,84,0,12,18,0,2,235,22,1
2023-02-26,516,7,17,0,1169,11,17,84,0,12,18,0,2,235,22,1
2023-02-27,517,7,17,0,1172,11,17,84,0,12,18,0,2,235,22,1
2023-02-28,517,7,17,0,1172,11,17,84,0,12,18,0,2,235,22,1
2023-03-01,517,7,17,0,1172,11,17,84,0,12,18,0,2,235,22,1
2023-03-02,518,7,17,0,1174,11,17,84,0,12,18,0,2,235,22,1
2023-03-03,517,7,17,0,1175,11,17,84,0,12,18,0,2,235,22,1
2023-03-04,517,7,17,0,1175,11,17,84,0,12,18,0,2,235,22,1
2023-03-05,517,7,17,0,1175,11,17,84,0,12,18,0,2,235,22,1
2023-03-06,517,7,17,0,1175,11,17,84,0,12,18,0,2,235,22,1
2023-03-07,518,7,17,0,1176,11,17,84,0,12,18,0,2,235,22,1
2023-03-08,519,7,17,0,1179,11,17,84,0,12,18,0,2,235,22,1
2023-03-09,517,7,17,0,1180,11,17,84,0,12,18,0,2,235,22,1
2023-03-10,518,7,17,0,1181,11,17,84,0,12,18,0,2,235,22,1
2023-03-11,518,7,17,0,1181,11,17,84,0,12,18,0,2,235,22,1
2023-03-12,518,6,17,0,1181,11,17,84,0,12,18,0,2,235,22,1
2023-03-13,519,6,17,0,1181,11,17,84,0,12,18,0,2,235,22,1
2023-03-14,519,6,17,0,1185,11,17,84,0,12,18,0,2,235,22,1
2023-03-15,519,6,17,0,1186,11,17,84,0,12,18,0,2,235,22,1
2023-03-16,520,6,17,0,1189,11,17,84,0,12,18,0,2,235,22,1
2023-03-17,520,6,17,0,1189,11,17,84,0,12,18,0,2,235,22,1
2023-03-18,520,6,17,0,1189,11,17,84,0,12,18,0,2,235,22,1
2023-03-19,521,6,17,0,1189,11,17,84,0,12,18,0,2,235,22,1
2023-03-20,520,6,17,0,1190,11,17,84,0,12,18,0,2,235,22,1
2023-03-21,520,6,17,0,1190,11,17,84,0,12,18,0,2,235,22,1
2023-03-22,520,6,17,0,1191,11,17,84,0,12,18,0,2,235,22,1
2023-03-23,522,6,17,0,1195,11,17,84,0,12,18,0,2,235,22,1
2023-03-24,520,6,17,0,1196,11,17,84,0,12,18,0,2,235,22,1
2023-03-25,520,6,17,0,1196,11,17,84,0,12,18,0,2,235,22,1
2023-03-26,520,6,17,0,1196,11,17,84,0,12,18,0,2,235,22,1
2023-03-27,521,6,17,0,1197,11,17,84,0,12,18,0,2,235,22,1
2023-03-28,522,6,17,0,1199,11,17,84,0,12,18,0,2,235,22,1
2023-03-29,521,6,17,0,1201,11,17,84,0,12,18,0,2,235,22,1
2023-03-30,521,6,17,0,1204,11,17,84,0,12,18,0,2,235,22,1
2023-03-31,522,6,17,0,1206,11,17,84,0,12,18,0,2,235,22,1
2023-04-01,521,6,17,0,1206,11,17,84,0,12,18,0,2,235,22,1
2023-04-02,521,6,17,0,1206,11,17,84,0,12,18,0,2,235,22,1
2023-04-03,522,6,17,0,1207,11,17,84,0,12,18,0,2,235,22,1
2023-04-04,524,6,17,0,1210,11,17,84,0,12,18,0,2,235,22,1
2023-04-05,523,6,17,0,1212,11,17,84,0,12,18,0,2,235,22,1
2023-04-06,525,7,17,0,1213,11,17,84,0,12,18,0,2,235,22,1
