date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2023-02-11,321,1,0,138,528,5,1,256,2,230,72,0,589,1498,21,0
2023-02-12,321,1,0,138,528,5,1,256,2,230,72,0,589,1498,21,0
2023-02-13,321,1,0,138,528,5,1,256,2,230,72,0,589,1498,21,0
2023-02-14,322,1,0,138,529,5,1,256,2,230,72,0,589,1498,21,0
2023-02-15,323,1,0,138,530,5,1,256,2,230,72,0,589,1498,21,0
2023-02-16,323,1,0,138,534,5,1,256,2,230,72,0,589,1498,21,0
2023-02-17,324,1,0,138,535,5,1,256,2,230,72,0,589,1498,21,0
2023-02-18,324,1,0,138,535,5,1,256,2,230,72,0,589,1498,21,0
2023-02-19,324,1,0,138,535,5,1,256,2,230,72,0,589,1498,21,0
2023-02-20,325,1,0,138,536,5,1,256,2,230,72,0,589,1498,21,0
2023-02-21,325,1,0,138,536,5,1,256,2,230,72,0,589,1498,21,0
2023-02-22,326,1,0,138,541,5,1,256,2,230,72,0,589,1498,21,0
2023-02-23,326,1,0,138,541,5,1,256,2,230,72,0,589,1498,21,0
2023-02-24,327,1,0,138,542,5,1,256,2,230,72,0,589,1498,21,0
2023-02-25,327,1,0,138,542,5,1,256,2,230,72,0,589,1498,21,0
2023-02-26,327,1,0,138,542,5,1,256,2,230,72,0,589,1498,21,0
2023-02-27,328,1,0,138,543,5,1,256,2,230,72,0,589,1498,21,0
2023-02-28,328,1,0,138,544,5,1,256,2,230,72,0,589,1498,21,0
2023-03-01,330,1,0,138,547,5,1,256,2,230,72,0,589,1498,21,0
2023-03-02,330,1,0,138,547,5,1,256,2,230,72,0,589,1498,21,0
2023-03-03,330,1,0,138,547,5,1,256,2,230,72,0,589,1498,21,0
2023-03-04,330,1,0,138,548,5,1,256,2,230,72,0,589,1498,21,0
2023-03-05,330,1,0,138,548,5,1,256,2,230,72,0,589,1498,21,0
2023-03-06,330,1,0,138,548,5,1,256,2,230,72,0,589,1498,21,0
2023-03-07,332,1,0,138,550,5,1,256,2,230,72,0,589,1498,21,0
2023-03-08,333,1,0,138,552,5,1,256,2,230,72,0,589,1498,21,0
2023-03-09,333,1,0,138,552,5,1,256,2,230,72,0,589,1498,21,0
2023-03-10,333,1,0,138,552,5,1,256,2,230,72,0,589,1498,21,0
2023-03-11,333,1,0,138,552,5,1,256,2,230,72,0,589,1498,21,0
2023-03-12,333,1,0,138,552,5,1,256,2,230,72,0,589,1498,21,0
2023-03-13,333,1,0,138,552,5,1,256,2,230,72,0,589,1498,21,0
2023-03-14,333,1,0,138,553,5,1,256,2,230,72,0,589,1498,21,0
2023-03-15,333,1,0,138,553,5,1,256,2,230,72,0,589,1498,21,0
2023-03-16,333,1,0,138,553,5,1,256,2,230,72,0,589,1498,21,0
2023-03-17,334,1,0,138,555,5,1,256,2,230,72,0,589,1498,21,0
2023-03-18,334,1,0,138,555,5,1,256,2,230,72,0,589,1498,21,0
2023-03-19,334,1,0,138,555,5,1,256,2,230,72,0,589,1498,21,0
2023-03-20,335,1,0,138,557,5,1,256,2,230,72,0,589,1498,21,0
2023-03-21,335,1,0,138,558,5,1,256,2,230,72,0,589,1498,21,0
2023-03-22,335,1,0,138,558,5,1,256,2,230,72,0,589,1498,21,0
2023-03-23,335,1,0,138,559,5,1,256,2,230,72,0,589,1498,21,0
2023-03-24,335,1,0,138,559,5,1,256,2,230,72,0,589,1498,21,0
2023-03-25,335,1,0,138,559,5,1,256,2,230,72,0,589,1498,21,0
2023-03-26,335,1,0,138,559,5,1,256,2,230,72,0,589,1498,21,0
2023-03-27,336,1,0,138,560,5,1,256,2,230,72,0,589,1498,21,0
2023-03-28,336,1,0,138,562,5,1,256,2,230,72,0,589,1498,21,0
2023-03-29,336,1,0,138,562,5,1,256,2,230,72,0,589,1498,21,0
2023-03-30,337,1,0,138,563,5,1,256,2,230,72,0,589,1498,21,0
