date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2023-02-11,2066,0,0,382,3276,7,0,382,8,2607,2573,0,6183,0,0,0
2023-02-12,2067,0,0,383,6588,7,0,383,8,2607,2573,0,6183,0,0,0
2023-02-13,2075,0,0,387,3309,7,0,385,8,2607,2573,0,6183,0,0,0
2023-02-14,2083,0,0,388,3335,7,0,388,8,2607,2573,0,6183,0,0,0
2023-02-15,2088,0,0,390,3351,7,0,391,8,2607,2573,0,6183,0,0,0
2023-02-16,2090,0,0,390,3355,7,0,390,8,2607,2573,0,6253,0,0,0
2023-02-17,2099,0,0,390,3366,7,0,390,8,2607,2573,0,6183,0,0,0
2023-02-18,2100,0,0,391,3370,7,0,391,8,2607,2573,0,6183,0,0,0
2023-02-19,2101,0,0,391,3370,7,0,391,8,2607,2573,0,6183,0,0,0
2023-02-20,2106,0,0,391,3384,7,0,391,8,2607,2573,0,6187,0,0,0
2023-02-21,2107,0,0,391,3384,7,0,391,8,2607,2573,0,6183,0,0,0
2023-02-22,2112,0,0,391,3400,7,0,394,8,2607,2573,0,6186,0,0,0
2023-02-23,2113,0,0,391,3400,7,0,391,8,2607,2573,0,6183,0,0,0
2023-02-24,2116,0,0,391,3400,7,0,391,8,2607,2573,0,6183,0,0,0
2023-02-25,2118,0,0,391,3400,7,0,391,8,2607,2573,0,6183,0,0,0
2023-02-26,2118,0,0,391,3418,7,0,391,8,2607,2573,0,6183,0,0,0
2023-02-27,2120,0,0,392,3418,7,0,391,8,2607,2573,0,6183,0,0,0
2023-02-28,2125,0,0,392,3418,7,0,391,8,2607,2573,0,6183,0,0,0
2023-03-01,2130,0,0,393,3455,7,0,393,8,2607,2573,0,6220,0,0,0
2023-03-02,2135,0,0,393,3455,7,0,393,8,2607,2573,0,6183,0,0,0
2023-03-03,2140,0,0,393,3455,7,0,393,8,2607,2573,0,6183,0,0,0
2023-03-04,2145,0,0,400,3494,7,0,400,8,2607,2573,0,6183,0,0,0
2023-03-05,2145,0,0,400,3499,7,0,400,8,2607,2573,0,6183,0,0,0
2023-03-06,2150,0,0,400,3514,7,0,400,8,2607,2573,0,6183,0,0,0
2023-03-07,2151,0,0,401,3529,7,0,401,8,2607,2573,0,6183,0,0,0
2023-03-08,2153,0,0,401,3547,7,0,401,8,2607,2573,0,6197,0,0,0
2023-03-09,2162,0,0,403,3563,7,0,403,8,2607,2573,0,6183,0,0,0
2023-03-10,2166,0,0,404,3582,7,0,404,8,2607,2573,0,6183,0,0,0
2023-03-11,2167,0,0,405,3592,7,0,404,8,2607,2573,0,6208,0,0,0
2023-03-12,2167,0,0,405,3601,7,0,405,8,2607,2573,0,6183,0,0,0
2023-03-13,2169,0,0,405,3613,7,0,405,8,2607,2573,0,6183,0,0,0
2023-03-14,2175,0,0,405,3631,7,0,405,8,2607,2573,0,6183,0,0,0
2023-03-15,2180,0,0,408,3650,7,0,408,8,2607,2573,0,6183,0,0,0
2023-03-16,2183,0,0,408,7330,7,0,409,8,2607,2573,0,6183,0,0,0
2023-03-17,2187,0,0,408,3673,7,0,408,8,2607,2573,0,6183,0,0,0
2023-03-18,2193,0,0,411,3673,7,0,408,8,2607,2573,0,6183,0,0,0
2023-03-19,2193,0,0,411,3673,7,0,408,8,2607,2573,0,6183,0,0,0
2023-03-20,2196,0,0,411,3683,7,0,411,8,2607,2573,0,6885,0,0,0
2023-03-21,2200,0,0,411,3687,7,0,411,8,2607,2573,0,6183,0,0,0
