date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2023-02-11,514,0,0,393,778,5,0,437,29,269,10,4,476,9,0,1
2023-02-12,514,0,0,393,778,5,0,437,29,269,10,4,476,9,0,1
2023-02-13,514,0,0,393,778,5,0,437,29,269,10,4,476,9,0,1
2023-02-14,514,0,0,393,778,5,0,437,29,269,10,4,476,9,0,1
2023-02-15,514,0,0,393,778,5,0,437,29,269,10,4,476,9,0,1
2023-02-16,514,0,0,393,778,5,0,437,29,269,10,4,476,9,0,1
2023-02-17,514,0,0,393,778,5,0,437,29,269,10,4,476,9,0,1
2023-02-18,514,0,0,393,778,5,0,437,29,269,10,4,476,9,0,1
2023-02-19,514,0,0,393,778,5,0,437,29,269,10,4,476,9,0,1
2023-02-20,514,0,0,393,778,5,0,437,29,269,10,4,476,9,0,1
2023-02-21,514,0,0,393,778,5,0,437,29,269,10,4,476,9,0,1
2023-02-22,514,0,0,393,778,5,0,437,29,269,10,4,476,9,0,1
2023-02-23,514,0,0,393,778,5,0,437,29,269,10,4,476,9,0,1
2023-02-24,514,0,0,393,778,5,0,437,29,269,10,4,476,9,0,1
2023-02-25,514,0,0,393,778,5,0,437,29,269,10,4,476,9,0,1
2023-02-26,514,0,0,393,778,5,0,437,29,269,10,4,476,9,0,1
2023-02-27,514,0,0,393,778,5,0,437,29,269,10,4,476,9,0,1
2023-02-28,514,0,0,393,778,5,0,437,29,269,10,4,476,9,0,1
2023-03-01,514,0,0,393,778,5,0,437,29,269,10,4,476,9,0,1
2023-03-02,514,0,0,393,778,5,0,437,29,269,10,4,476,9,0,1
2023-03-03,514,0,0,393,778,5,0,437,29,269,10,4,476,9,0,1
2023-03-04,514,0,0,393,778,5,0,437,29,269,10,4,476,9,0,1
2023-03-05,514,0,0,393,778,5,0,437,29,269,10,4,476,9,0,1
