date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,2060,4,0,530,3304,6,0,882,17,465,81,70,1675,12653,0,0
2021-08-11,2062,4,0,555,3317,6,0,912,17,465,105,70,1676,12653,0,0
2021-08-12,2066,4,0,569,3324,6,0,939,17,465,115,70,1679,12653,0,0
2021-08-13,2068,4,0,591,3333,6,0,953,17,465,126,70,1680,12653,0,0
2021-08-14,2072,4,0,591,3338,6,0,975,17,465,126,70,1681,12653,0,0
2021-08-15,2073,4,0,591,3342,6,0,975,17,465,126,70,1684,12653,0,0
2021-08-16,2079,4,0,625,3347,6,0,975,17,465,135,70,1686,12653,0,0
2021-08-17,2086,4,0,634,3359,6,0,1009,17,464,151,70,1702,12653,0,0
2021-08-18,2089,4,0,636,3377,6,0,1018,17,464,155,70,1715,12653,0,0
2021-08-19,2095,4,0,637,3382,6,0,1020,17,464,155,70,1718,12653,0,0
2021-08-20,2100,4,0,645,3394,6,0,1021,17,464,155,70,1722,12653,0,0
2021-08-21,2104,4,0,646,3402,6,0,1029,17,464,155,70,1727,12653,0,0
2021-08-22,2104,4,0,648,3408,6,0,1030,17,464,155,70,1728,12653,0,0
2021-08-23,2113,4,0,652,3410,6,0,1032,17,464,155,70,1728,12653,0,0
2021-08-24,2116,4,0,657,3427,6,0,1036,17,464,155,70,1734,12653,0,0
2021-08-25,2123,4,0,671,3439,6,0,1041,17,464,155,70,1736,12653,0,0
2021-08-26,2130,4,0,677,3453,6,0,1052,17,464,155,70,1742,12653,0,0
2021-08-27,2138,4,0,679,3461,6,0,1061,17,464,155,70,1746,12653,0,0
2021-08-28,2140,4,0,679,3473,6,0,1063,17,464,155,70,1750,12653,0,0
2021-08-29,2142,4,0,682,3477,6,0,1063,17,464,155,70,1751,12653,0,0
2021-08-30,2150,4,0,684,3480,6,0,1066,17,464,155,70,1753,12653,0,0
2021-08-31,2153,4,0,686,3495,6,0,1068,17,464,155,70,1787,12653,0,0
2021-09-01,2154,4,0,688,3498,6,0,1070,17,464,161,70,1788,12653,0,0
2021-09-02,2157,4,0,689,3505,6,0,1072,17,464,166,70,1793,12653,0,0
2021-09-03,2159,4,0,691,3506,6,0,1073,17,464,167,70,1795,12653,0,0
2021-09-04,2166,4,0,692,3511,6,0,1075,17,464,177,70,1796,12653,0,0
2021-09-05,2169,4,0,692,3524,6,0,1076,17,464,177,70,1800,12653,0,0
2021-09-06,2171,4,0,700,3529,6,0,1076,17,464,177,70,1818,12653,0,0
2021-09-07,2174,4,0,703,3535,6,0,1084,17,464,177,70,1824,12653,0,0
2021-09-08,2189,4,0,711,3543,6,0,1087,17,464,177,70,1828,12653,0,0
2021-09-09,2196,4,0,713,3562,6,0,1095,17,464,180,70,1853,12653,0,0
2021-09-10,2203,4,0,718,3570,6,0,1097,17,464,180,70,1855,12653,0,0
2021-09-11,2203,4,0,719,3583,6,0,1102,17,464,180,70,1859,12653,0,0
2021-09-12,2210,4,0,721,3588,6,0,1103,17,464,180,70,1860,12653,0,0
2021-09-13,2216,4,0,727,3596,6,0,1105,17,462,178,70,1724,12653,0,0
2021-09-14,2223,4,0,727,3605,6,0,1111,17,462,178,70,1725,12653,0,0
2021-09-15,2227,4,0,728,3617,6,0,1111,17,462,178,70,1725,12653,0,0
2021-09-16,2242,4,0,728,3623,6,0,1112,17,462,178,70,1727,12653,0,0
2021-09-17,2247,4,0,728,3645,6,0,1112,17,462,178,70,1728,12653,0,0
2021-09-18,2249,4,0,728,3650,6,0,1112,17,462,178,70,1728,12653,0,0
2021-09-19,2250,4,0,729,3653,6,0,1112,17,462,178,70,1728,12653,0,0
2021-09-20,2254,4,0,741,3657,6,0,1113,17,462,178,70,1737,12653,0,0
2021-11-22,2780,3,0,810,4718,6,0,1196,17,462,57,70,2239,12652,0,0
2022-05-03,3916,3,0,941,6992,10,0,1346,47,487,57,70,2657,12862,0,2
2022-05-07,3931,3,0,952,7045,10,0,1358,48,500,57,70,2684,12862,0,2
2022-05-08,3935,3,0,952,7045,10,0,1358,48,500,57,70,2684,12862,0,2
2022-05-09,3936,3,0,954,7055,10,0,1358,48,506,57,70,2690,12862,0,2
2022-05-10,3948,3,0,955,7064,10,0,1360,48,509,57,70,2701,12862,0,2
2022-05-11,3954,3,0,957,7086,10,0,1361,49,515,57,70,2714,12862,0,2
2022-05-12,3958,3,0,957,7103,10,0,1363,49,518,57,70,2725,12862,0,2
2022-05-13,3963,3,0,957,7114,10,0,1363,49,522,57,70,2735,12862,0,2
2022-05-14,3969,3,0,961,7133,10,0,1364,49,530,57,70,2745,12862,0,2
2022-05-15,3977,3,0,968,7151,10,0,1368,49,534,57,70,2750,12862,0,2
2022-05-16,3985,3,0,978,7164,10,0,1375,49,542,59,70,2775,12862,0,2
2022-05-17,3993,3,0,980,7179,10,0,1385,49,553,60,70,2813,12862,0,2
2022-05-18,4011,3,0,1022,7201,10,0,1387,50,561,61,70,2822,12862,0,2
2022-05-19,4009,3,0,1024,7242,10,0,1431,50,571,61,70,2898,12862,0,2
2022-05-20,4012,4,0,1026,7243,11,0,1433,50,579,62,70,2916,12862,0,2
2022-05-21,4014,4,0,1034,7243,11,0,1441,50,583,62,70,2930,12862,0,2
2022-05-22,4015,4,0,1034,7243,11,0,1441,50,585,62,70,2934,12862,0,2
2022-05-23,4041,4,0,1040,7276,11,0,1447,50,601,62,70,2968,12862,0,2
2022-05-24,4070,4,0,1051,7306,11,0,1458,55,626,64,70,3012,12862,0,2
2022-05-25,4108,4,0,1065,7345,11,0,1472,57,645,64,70,3055,12862,0,2
2022-05-26,4126,4,0,1072,7364,11,0,1479,57,653,64,70,3091,12862,0,2
2022-05-27,4149,4,0,1077,7406,11,0,1484,57,688,64,70,3181,12862,0,2
2022-05-28,4165,4,0,1081,7424,11,0,1488,57,703,64,70,3217,12862,0,2
2022-05-29,4182,4,0,1087,7445,11,0,1494,57,730,64,70,3286,12862,0,2
2022-05-30,4206,4,0,1101,7470,11,0,1508,27,739,65,70,3350,12862,0,2
2022-05-31,4227,4,0,1105,7495,11,0,1512,27,749,65,70,3375,12862,0,2
2022-06-01,4250,4,0,1109,7516,11,0,1516,27,749,66,70,3406,12862,0,2
2022-06-02,4259,4,0,1113,7528,11,0,1520,27,749,89,70,3424,12862,0,2
2022-06-03,4265,4,0,1122,7539,11,0,1529,29,757,90,70,3434,12862,0,2
2022-06-04,4271,4,0,1125,7543,11,0,1532,29,757,90,70,3439,12862,0,2
2022-06-05,4282,4,0,1130,7553,11,0,1537,29,757,90,70,3458,12862,0,2
2022-06-06,4297,4,0,1131,7570,11,0,1538,29,765,88,70,3470,12862,0,2
2022-06-07,4308,4,0,1137,7587,11,0,1544,29,766,89,70,3508,12862,0,2
2022-06-08,4333,4,0,1168,7612,11,0,1575,29,773,123,70,3550,12862,0,2
2022-06-09,4341,4,0,1180,7622,11,0,1587,29,773,125,70,3586,12862,0,2
2022-06-10,4347,4,0,1183,7626,11,0,1589,29,773,126,70,3630,12862,0,2
2022-06-11,4353,4,0,1185,7634,11,0,1592,29,773,126,70,3649,12862,0,2
2022-06-12,4356,4,0,1185,7639,11,0,1592,29,773,126,70,3651,12862,0,2
2022-06-13,4369,4,0,1194,7648,11,0,1601,31,773,126,70,3688,12862,0,2
2022-06-14,4388,4,0,1208,7670,11,0,1610,31,773,134,70,3712,12862,0,2
2022-06-15,4400,4,0,1274,7682,11,0,1681,31,773,190,70,3741,12862,0,2
2022-06-16,4411,4,0,1303,7692,11,0,1710,31,772,189,70,3756,12862,0,2
2022-06-17,4422,4,0,1322,7703,11,0,1729,31,772,189,70,3759,12862,0,2
2022-06-18,4429,4,0,1334,7710,11,0,1741,31,772,189,70,3768,12862,0,2
2022-06-19,4434,4,0,1334,7716,11,0,1741,31,772,189,70,3773,12862,0,2
2022-06-20,4448,4,0,1347,7731,11,0,1754,31,772,189,70,3787,12862,0,2
