date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,2257,4,0,187,3244,11,0,289,59,827,40,643,0,1572,0,0
2021-08-11,2259,4,0,187,3247,11,0,289,59,827,40,643,0,1572,0,0
2021-08-12,2260,4,0,187,3251,11,0,289,59,827,40,643,0,1572,0,0
2021-08-13,2265,4,0,187,3252,11,0,289,59,827,40,643,0,1572,0,0
2021-08-16,2267,4,0,187,3258,11,0,289,59,827,40,643,0,1572,0,0
2021-08-17,2268,4,0,187,3261,11,0,289,59,827,40,643,0,1572,0,0
2021-08-18,2269,4,0,187,3262,11,0,289,59,827,40,643,0,1572,0,0
2021-08-19,2269,4,0,187,3264,11,0,289,59,827,40,643,0,1572,0,0
2021-08-20,2271,4,0,187,3267,11,0,289,59,827,40,643,0,1572,0,0
2021-08-21,2272,4,0,187,3270,11,0,289,59,827,40,643,0,1572,0,0
2021-08-22,2272,4,0,187,3271,11,0,289,59,827,40,643,0,1572,0,0
2021-08-23,2275,4,0,187,3271,11,0,289,59,827,40,643,0,1572,0,0
2021-08-24,2275,4,0,187,3275,11,0,289,59,827,40,643,0,1572,0,0
2021-08-25,2277,4,0,187,3275,11,0,289,59,827,40,643,0,1572,0,0
2021-08-26,2279,4,0,187,3277,11,0,289,59,827,40,643,0,1572,0,0
2021-08-27,2284,4,0,187,3280,11,0,289,59,827,40,643,0,1572,0,0
2021-08-28,2284,4,0,187,3285,11,0,289,59,827,40,643,0,1572,0,0
2021-08-29,2284,4,0,187,3286,11,0,289,59,827,40,643,0,1572,0,0
2021-08-30,2291,3,0,187,3286,11,0,289,59,827,40,643,0,1572,0,0
2021-08-31,2293,3,0,187,3294,11,0,289,59,827,40,643,0,1572,0,0
2021-09-01,2295,3,0,187,3296,11,0,289,59,827,40,643,0,1572,0,0
2021-09-02,2299,3,0,187,3299,11,0,289,59,827,40,643,0,1572,0,0
2021-09-03,2303,3,0,187,3305,11,0,289,59,827,40,643,0,1572,0,0
2021-09-04,2304,3,0,187,3312,11,0,289,59,827,40,643,0,1572,0,0
2021-09-05,2304,3,0,187,3314,11,0,289,59,827,40,643,0,1572,0,0
2021-09-06,2305,3,0,187,3314,11,0,289,59,827,40,643,0,1572,0,0
2021-09-07,2306,3,0,187,3317,11,0,289,59,827,40,643,0,1572,0,0
2021-09-08,2309,3,0,187,3318,11,0,289,59,827,40,643,0,1572,0,0
2021-09-09,2310,3,0,187,3320,11,0,289,59,827,40,643,0,1572,0,0
2021-09-10,2311,3,0,187,3323,11,0,289,59,827,40,643,0,1572,0,0
2021-09-11,2313,3,0,187,3324,11,0,289,59,827,40,643,0,1572,0,0
2021-09-12,2313,3,0,187,3327,11,0,289,59,827,40,643,0,1572,0,0
2021-09-13,2315,3,0,187,3328,11,0,289,59,827,40,643,0,1572,0,0
2021-09-14,2318,3,0,187,3332,11,0,289,59,827,40,643,0,1572,0,0
2021-09-15,2325,3,0,187,3335,11,0,289,59,827,40,643,0,1572,0,0
2021-09-16,2327,3,0,187,3342,11,0,289,59,827,40,643,0,1572,0,0
2021-09-17,2329,3,0,187,3346,11,0,289,59,827,40,643,0,1572,0,0
2021-09-18,2329,3,0,187,3348,11,0,289,59,827,40,643,0,1572,0,0
2021-09-19,2330,3,0,187,3349,11,0,289,59,827,40,643,0,1572,0,0
2021-09-20,2333,3,0,187,3352,11,0,289,59,827,40,643,0,1572,0,0
2021-11-22,2447,3,0,187,3520,11,0,289,59,829,41,643,0,1572,0,0
2021-11-24,2449,3,0,187,3523,11,0,289,59,829,42,643,0,1572,0,0
2022-05-03,2887,8,0,634,4081,18,0,736,73,1138,54,684,0,1572,0,0
2022-05-07,2907,8,0,634,4119,18,0,736,73,1199,66,684,0,1572,0,0
2022-05-08,2918,8,0,634,4139,18,0,736,73,1233,66,684,0,1572,0,0
2022-05-09,2920,8,0,634,4142,18,0,736,73,1233,66,684,0,1572,0,0
2022-05-10,2921,8,0,634,4145,18,0,736,73,1233,66,684,0,1572,0,0
2022-05-11,2924,8,0,634,4151,18,0,736,73,1242,66,684,0,1572,0,0
2022-05-12,2926,8,0,634,4153,18,0,736,73,1242,66,684,0,1572,0,0
2022-05-13,2930,8,0,634,4156,18,0,736,73,1242,66,684,0,1572,0,0
2022-05-14,2932,8,0,634,4159,18,0,736,73,1242,66,684,0,1572,0,0
2022-05-15,2932,8,0,634,4159,18,0,736,73,1242,66,684,0,1572,0,0
2022-05-16,2938,8,0,634,4167,18,0,736,73,1242,66,684,0,1572,0,0
2022-05-17,2939,8,0,634,4168,18,0,736,73,1242,66,684,0,1572,0,0
2022-05-18,2941,8,0,634,4174,18,0,736,73,1242,66,684,0,1572,0,0
2022-05-19,2941,8,0,634,4178,18,0,736,73,1242,66,684,0,1572,0,0
2022-05-20,2945,8,0,634,4179,18,0,736,73,1242,66,684,0,1572,0,0
2022-05-21,2945,8,0,634,4179,18,0,736,73,1242,66,684,0,1572,0,0
2022-05-22,2945,8,0,634,4179,18,0,736,73,1242,66,684,0,1572,0,0
2022-05-23,2948,8,0,634,4183,18,0,736,73,1242,66,684,0,1572,0,0
2022-05-24,2952,8,0,634,4187,18,0,736,73,1242,81,684,0,1572,0,0
2022-05-25,2953,8,0,634,4189,18,0,736,73,1242,81,684,0,1572,0,0
2022-05-26,2956,8,0,634,4191,18,0,736,73,1242,81,684,0,1572,0,0
2022-05-27,2957,8,0,634,4193,18,0,736,73,1242,81,684,0,1572,0,0
2022-05-28,2960,8,0,634,4197,18,0,736,73,1242,81,684,0,1572,0,0
2022-05-29,2960,8,0,634,4197,18,0,736,73,1242,81,684,0,1572,0,0
2022-05-30,2961,8,0,634,4198,18,0,736,73,1242,81,684,0,1572,0,0
2022-05-31,2964,8,0,634,4201,18,0,736,73,1242,81,684,0,1572,0,0
2022-06-01,2965,8,0,634,4202,18,0,736,73,1242,81,684,0,1572,0,0
2022-06-02,2965,8,0,634,4202,18,0,736,73,1242,81,684,0,1572,0,0
2022-06-03,2966,8,0,634,4204,18,0,736,73,1242,81,684,0,1572,0,0
2022-06-04,2966,8,0,634,4204,18,0,736,73,1242,81,684,0,1572,0,0
2022-06-05,2966,8,0,634,4204,18,0,736,73,1242,81,684,0,1572,0,0
2022-06-06,2969,8,0,634,4206,18,0,736,73,1242,81,684,0,1572,0,0
2022-06-07,2973,8,0,634,4212,18,0,736,73,1242,81,684,0,1572,0,0
2022-06-08,2976,8,0,634,4215,18,0,736,73,1242,81,684,0,1572,0,0
2022-06-09,2979,8,0,634,4218,18,0,736,73,1242,81,684,0,1572,0,0
2022-06-10,2982,8,0,634,4221,18,0,736,73,1242,81,684,0,1572,0,0
2022-06-11,2984,8,0,634,4224,18,0,736,73,1242,81,684,0,1572,0,0
2022-06-12,2984,8,0,634,4224,18,0,736,73,1242,81,684,0,1572,0,0
2022-06-13,2989,8,0,634,4230,18,0,736,73,1242,81,684,0,1572,0,0
2022-06-14,2989,8,0,634,4231,18,0,736,73,1242,81,684,0,1572,0,0
2022-06-15,2991,8,0,634,4233,18,0,736,73,1242,81,684,0,1572,0,0
2022-06-16,2994,8,0,634,4237,18,0,736,73,1242,81,684,0,1572,0,0
2022-06-17,2997,8,0,634,4242,18,0,736,73,1242,81,684,0,1572,0,0
2022-06-18,2999,8,0,634,4244,18,0,736,73,1242,81,684,0,1572,0,0
2022-06-19,2999,8,0,634,4244,18,0,736,73,1242,81,684,0,1572,0,0
2022-06-20,2999,8,0,634,4245,18,0,736,73,1242,81,684,0,1572,0,0
2022-06-21,3002,8,0,634,4250,18,0,736,73,1242,81,684,0,1572,0,0
2022-06-22,3004,8,0,634,4254,18,0,736,73,1242,81,684,1,1572,0,0
2022-06-23,3010,8,0,634,4260,18,0,736,73,1242,81,684,1,1572,0,0
2022-06-24,3013,8,0,634,4264,18,0,736,73,1242,81,684,1,1572,0,0
2022-06-25,3014,8,0,634,4266,18,0,736,73,1242,81,684,1,1572,0,0
2022-06-26,3014,8,0,634,4266,18,0,736,73,1242,81,684,1,1572,0,0
2022-06-27,3017,8,0,634,4270,18,0,736,73,1242,81,684,1,1572,0,0
2022-06-28,2423,8,0,635,4274,18,0,736,73,1242,81,684,1,1572,0,0
2022-06-29,2423,8,0,635,4274,18,0,736,73,1242,81,684,1,1572,0,0
2022-06-30,2424,8,0,635,4275,18,0,736,73,1242,81,684,1,1572,0,0
2022-07-01,2294,6,0,635,4277,18,0,736,73,1242,81,684,1,1572,0,0
2022-07-02,2295,6,0,635,4278,18,0,736,73,1242,81,684,1,1572,0,0
2022-07-03,2295,6,0,635,4278,18,0,736,73,1242,81,684,1,1572,0,0
2022-07-04,2295,6,0,635,4278,18,0,736,73,1242,81,684,1,1572,0,0
2022-07-05,2295,8,0,635,4279,18,0,736,73,1242,81,684,1,1572,0,0
2022-07-06,2250,8,0,635,4280,18,0,736,73,1242,81,684,1,1572,0,0
2022-07-07,2258,8,0,635,4291,18,0,736,73,1242,81,684,1,1572,0,0
2022-07-08,2261,8,0,635,4295,18,0,736,73,1242,81,684,1,1572,0,0
2022-07-09,2262,8,0,635,4297,18,0,736,73,1242,81,684,1,1572,0,0
2022-07-10,2264,8,0,635,4299,18,0,736,73,1242,81,684,1,1572,0,0
2022-07-11,2266,8,0,635,4302,18,0,736,73,1242,81,684,1,1572,0,0
2022-07-12,2267,8,0,635,4305,18,0,736,73,1242,81,684,1,1572,0,0
2022-07-13,2268,8,0,635,4307,18,0,736,73,1242,81,684,1,1572,0,0
2022-07-14,2269,8,0,635,4308,18,0,736,73,1242,81,684,1,1572,0,0
2022-07-15,2270,8,0,635,4309,18,0,736,73,1242,81,684,1,1572,0,0
2022-07-16,2272,8,0,635,4312,18,0,736,73,1242,81,684,1,1572,0,0
2022-07-17,2272,8,0,635,4312,18,0,736,73,1242,81,684,1,1572,0,0
2022-07-18,2276,8,0,635,4316,18,0,736,73,1242,81,684,1,1572,0,0
2022-07-19,2277,8,0,635,4317,18,0,736,73,1242,81,684,1,1572,0,0
2022-07-20,2278,8,0,635,4319,18,0,736,73,1243,81,684,1,1572,0,0
2022-07-21,2282,8,0,635,4323,18,0,736,73,1243,81,684,1,1572,0,0
2022-07-22,2283,8,0,635,4324,18,0,736,73,1243,81,684,1,1572,0,0
2022-07-23,2284,8,0,635,4326,18,0,736,73,1243,81,684,1,1572,0,0
2022-07-24,2285,8,0,635,4327,18,0,736,73,1243,81,684,1,1572,0,0
