date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,2257,4,0,187,3244,11,0,289,59,827,40,643,0,1572,0,0
2021-08-11,2259,4,0,187,3247,11,0,289,59,827,40,643,0,1572,0,0
2021-08-12,2260,4,0,187,3251,11,0,289,59,827,40,643,0,1572,0,0
2021-08-13,2265,4,0,187,3252,11,0,289,59,827,40,643,0,1572,0,0
2021-08-16,2267,4,0,187,3258,11,0,289,59,827,40,643,0,1572,0,0
2021-08-17,2268,4,0,187,3261,11,0,289,59,827,40,643,0,1572,0,0
2021-08-18,2269,4,0,187,3262,11,0,289,59,827,40,643,0,1572,0,0
2021-08-19,2269,4,0,187,3264,11,0,289,59,827,40,643,0,1572,0,0
2021-08-20,2271,4,0,187,3267,11,0,289,59,827,40,643,0,1572,0,0
2021-08-21,2272,4,0,187,3270,11,0,289,59,827,40,643,0,1572,0,0
2021-08-22,2272,4,0,187,3271,11,0,289,59,827,40,643,0,1572,0,0
2021-08-23,2275,4,0,187,3271,11,0,289,59,827,40,643,0,1572,0,0
2021-08-24,2275,4,0,187,3275,11,0,289,59,827,40,643,0,1572,0,0
2021-08-25,2277,4,0,187,3275,11,0,289,59,827,40,643,0,1572,0,0
2021-08-26,2279,4,0,187,3277,11,0,289,59,827,40,643,0,1572,0,0
2021-08-27,2284,4,0,187,3280,11,0,289,59,827,40,643,0,1572,0,0
2021-08-28,2284,4,0,187,3285,11,0,289,59,827,40,643,0,1572,0,0
2021-08-29,2284,4,0,187,3286,11,0,289,59,827,40,643,0,1572,0,0
2021-08-30,2291,3,0,187,3286,11,0,289,59,827,40,643,0,1572,0,0
2021-08-31,2293,3,0,187,3294,11,0,289,59,827,40,643,0,1572,0,0
2021-09-01,2295,3,0,187,3296,11,0,289,59,827,40,643,0,1572,0,0
2021-09-02,2299,3,0,187,3299,11,0,289,59,827,40,643,0,1572,0,0
2021-09-03,2303,3,0,187,3305,11,0,289,59,827,40,643,0,1572,0,0
2021-09-04,2304,3,0,187,3312,11,0,289,59,827,40,643,0,1572,0,0
2021-09-05,2304,3,0,187,3314,11,0,289,59,827,40,643,0,1572,0,0
2021-09-06,2305,3,0,187,3314,11,0,289,59,827,40,643,0,1572,0,0
2021-09-07,2306,3,0,187,3317,11,0,289,59,827,40,643,0,1572,0,0
2021-09-08,2309,3,0,187,3318,11,0,289,59,827,40,643,0,1572,0,0
2021-09-09,2310,3,0,187,3320,11,0,289,59,827,40,643,0,1572,0,0
2021-09-10,2311,3,0,187,3323,11,0,289,59,827,40,643,0,1572,0,0
2021-09-11,2313,3,0,187,3324,11,0,289,59,827,40,643,0,1572,0,0
2021-09-12,2313,3,0,187,3327,11,0,289,59,827,40,643,0,1572,0,0
2021-09-13,2315,3,0,187,3328,11,0,289,59,827,40,643,0,1572,0,0
2021-09-14,2318,3,0,187,3332,11,0,289,59,827,40,643,0,1572,0,0
2021-09-15,2325,3,0,187,3335,11,0,289,59,827,40,643,0,1572,0,0
2021-09-16,2327,3,0,187,3342,11,0,289,59,827,40,643,0,1572,0,0
