date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,397,5,0,15,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-11,397,5,0,15,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-12,397,5,0,15,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-13,397,5,0,15,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-14,397,5,0,15,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-15,397,5,0,15,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-16,397,5,0,15,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-17,397,5,0,15,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-18,397,4,0,15,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-19,397,4,0,15,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-20,397,4,0,15,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-21,397,4,0,15,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-22,398,4,0,15,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-23,398,4,0,15,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-24,398,4,0,15,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-25,398,4,0,15,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-26,398,4,0,15,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-27,398,4,0,15,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-28,398,4,0,15,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-29,398,4,0,15,0,0,0,0,0,0,0,0,0,0,0,0
