date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,356,1,16,111,608,10,17,354,13,246,0,298,106,2149,11,3
2021-08-11,357,1,16,111,608,10,17,354,13,246,0,298,106,2149,11,3
2021-08-12,357,1,16,111,609,10,17,354,13,246,0,298,106,2149,11,3
2021-08-13,358,1,16,111,609,10,17,354,13,246,0,298,106,2149,11,3
2021-08-14,359,1,16,111,610,10,17,354,13,246,0,298,106,2149,11,3
2021-08-15,359,1,16,111,612,10,17,354,13,246,0,298,106,2149,11,3
2021-08-16,360,1,16,111,612,10,17,354,13,246,0,298,106,2149,11,3
2021-08-17,361,1,16,111,612,10,17,354,13,246,0,298,106,2149,11,3
2021-08-18,363,1,16,111,613,10,17,354,13,246,0,298,106,2149,11,3
2021-08-19,363,1,16,111,615,10,17,354,13,246,0,298,106,2149,11,3
2021-08-20,363,1,16,111,615,10,17,354,13,246,0,298,106,2149,11,3
2021-08-21,363,1,16,111,615,10,17,354,13,246,0,298,106,2149,11,3
2021-08-22,363,1,16,111,615,10,17,354,13,246,0,298,106,2149,11,3
2021-08-23,364,1,16,111,615,10,17,354,13,246,0,298,106,2149,11,3
2021-08-24,366,1,16,111,625,10,17,354,13,246,0,298,106,2149,11,3
2021-08-25,367,1,16,111,628,10,17,354,13,246,0,298,106,2149,11,3
2021-08-26,369,1,16,111,629,10,17,354,13,246,0,298,106,2150,11,3
2021-08-27,370,1,16,111,631,10,17,354,13,246,0,298,106,2150,11,3
2021-08-28,370,1,16,111,632,10,17,354,13,246,0,298,106,2150,11,3
2021-08-29,370,1,16,111,633,10,17,354,13,246,0,298,106,2150,11,3
2021-08-30,371,1,16,111,633,10,17,354,13,246,0,298,106,2150,11,3
2021-08-31,372,1,16,111,634,10,17,354,13,246,0,298,106,2150,11,3
2021-09-01,372,1,16,111,637,10,17,354,13,246,0,298,106,2150,11,3
2021-09-02,372,1,16,111,637,10,17,354,13,246,0,298,106,2150,11,3
2021-09-03,374,1,16,111,637,10,17,354,13,246,0,298,106,2150,11,3
2021-09-04,374,1,16,111,639,10,17,354,13,246,0,298,106,2150,11,3
2021-09-05,374,1,16,111,640,10,17,354,13,246,0,298,106,2150,11,3
2021-09-06,374,1,16,111,641,10,17,354,13,246,0,298,106,2150,11,3
2021-09-07,374,1,16,111,642,10,17,354,13,246,0,298,106,2150,11,3
2021-09-08,375,1,16,111,642,10,17,354,13,246,0,298,106,2150,11,3
2021-09-09,375,1,16,111,643,10,17,354,13,246,0,298,106,2150,11,3
2021-09-10,376,1,16,111,643,10,17,354,13,246,0,298,106,2150,11,3
2021-09-11,376,1,16,111,644,10,17,354,13,246,0,298,106,2150,11,3
2021-09-12,376,1,16,111,644,10,17,354,13,246,0,298,106,2150,11,3
2021-09-13,376,1,16,111,644,10,17,354,13,246,0,298,106,2150,11,3
2021-09-14,377,1,16,111,644,10,17,354,13,246,0,298,106,2150,11,3
2021-09-15,377,1,16,116,646,10,17,354,13,246,0,298,106,2150,11,3
2021-09-16,378,1,16,116,646,10,17,359,13,246,0,298,106,2150,11,3
2021-09-17,379,1,16,116,648,10,17,359,13,246,0,298,106,2150,11,3
2021-09-18,379,1,16,116,649,10,17,359,13,246,0,298,106,2150,11,3
2021-09-19,380,1,16,116,649,10,17,359,13,246,0,298,106,2150,11,3
2021-09-20,380,1,16,123,650,10,17,359,13,246,0,298,106,2150,11,3
2021-11-22,419,1,16,124,723,10,17,366,13,269,0,298,106,2150,11,3
2022-05-03,615,1,16,125,1141,10,17,367,13,269,0,298,106,2150,11,3
2022-05-07,617,1,16,125,1147,10,17,367,13,269,0,298,106,2150,11,3
