date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,30,0,1,0,34,3,1,0,2,36,12,89,2,0,0,1
2021-08-11,30,0,1,0,34,3,1,0,2,36,12,89,2,0,0,1
2021-08-12,30,0,1,0,34,3,1,0,2,36,12,89,2,0,0,1
2021-08-13,30,0,1,0,34,3,1,0,2,36,12,89,2,0,0,1
2021-08-14,30,0,1,0,34,3,1,0,2,36,12,89,2,0,0,1
2021-08-15,30,0,1,0,34,3,1,0,2,36,12,89,2,0,0,1
2021-08-16,30,0,1,0,34,3,1,0,2,36,12,89,2,0,0,1
2021-08-17,30,0,1,0,34,3,1,0,2,36,12,89,2,0,0,1
2021-08-18,30,0,1,0,34,3,1,0,2,36,12,89,2,0,0,1
2021-08-19,30,0,1,0,34,3,1,0,2,36,12,89,2,0,0,1
2021-08-20,30,0,1,0,35,3,1,0,2,36,12,89,2,0,0,1
2021-08-21,30,0,1,0,35,3,1,0,2,36,12,89,2,0,0,1
2021-08-22,30,0,1,0,35,3,1,0,2,36,12,89,2,0,0,1
2021-08-23,30,0,1,0,35,3,1,0,2,36,12,89,2,0,0,1
2021-08-24,30,0,1,0,35,3,1,0,2,36,12,89,2,0,0,1
2021-08-25,30,0,1,0,35,3,1,0,2,36,12,89,2,0,0,1
2021-08-26,30,0,1,0,35,3,1,0,2,36,12,89,2,0,0,1
2021-08-27,30,0,1,0,35,3,1,0,2,36,12,89,2,0,0,1
2021-08-28,30,0,1,0,35,3,1,0,2,36,12,89,2,0,0,1
2021-08-29,30,0,1,0,35,3,1,0,2,36,12,89,2,0,0,1
2021-08-30,30,0,1,0,35,3,1,0,2,36,12,89,2,0,0,1
2021-08-31,30,0,1,0,35,3,1,0,2,36,12,89,2,0,0,1
2021-09-01,30,0,1,0,35,3,1,0,2,36,12,89,2,0,0,1
2021-09-02,30,0,1,0,35,3,1,0,2,36,12,89,2,0,0,1
2021-09-03,30,0,1,0,35,3,1,0,2,36,12,89,2,0,0,1
2021-09-04,30,0,1,0,35,3,1,0,2,36,12,89,2,0,0,1
2021-09-05,30,0,1,0,35,3,1,0,2,36,12,89,2,0,0,1
2021-09-06,30,0,1,0,35,3,1,0,2,36,12,89,2,0,0,1
2021-09-07,30,0,1,0,35,3,1,0,2,36,12,89,2,0,0,1
2021-09-08,30,0,1,0,35,3,1,0,2,36,12,89,2,0,0,1
2021-09-09,30,0,1,0,35,3,1,0,2,36,12,89,2,0,0,1
2021-09-10,30,0,1,0,35,3,1,0,2,36,12,89,2,0,0,1
2021-09-11,30,0,1,0,35,3,1,0,2,36,12,89,2,0,0,1
2021-09-12,30,0,1,0,35,3,1,0,2,36,12,89,2,0,0,1
2021-09-13,30,0,1,0,35,3,1,0,2,36,12,89,2,0,0,1
2021-09-14,30,0,1,0,35,3,1,0,2,36,12,89,2,0,0,1
