date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,47,0,1,0,64,0,1,0,0,0,0,34,0,0,0,0
2021-08-11,47,0,1,0,64,0,1,0,0,0,0,34,0,0,0,0
2021-08-12,47,0,1,0,64,0,1,0,0,0,0,34,0,0,0,0
2021-08-13,47,0,1,0,64,0,1,0,0,0,0,34,0,0,0,0
2021-08-14,47,0,1,0,64,0,1,0,0,0,0,34,0,0,0,0
2021-08-15,47,0,1,0,64,0,1,0,0,0,0,34,0,0,0,0
2021-08-16,47,0,1,0,64,0,1,0,0,0,0,34,0,0,0,0
2021-08-17,47,0,1,0,64,0,1,0,0,0,0,34,0,0,0,0
2021-08-18,47,0,1,0,64,0,1,0,0,0,0,34,0,0,0,0
2021-08-19,47,0,1,0,64,0,1,0,0,0,0,34,0,0,0,0
2021-08-20,47,0,1,0,64,0,1,0,0,0,0,34,0,0,0,0
2021-08-21,47,0,1,0,64,0,1,0,0,0,0,34,0,0,0,0
2021-08-22,47,0,1,0,64,0,1,0,0,0,0,34,0,0,0,0
2021-08-23,47,0,1,0,64,0,1,0,0,0,0,34,0,0,0,0
2021-08-24,47,0,1,0,64,0,1,0,0,0,0,34,0,0,0,0
2021-08-25,47,0,1,0,64,0,1,0,0,0,0,34,0,0,0,0
2021-08-26,47,0,1,0,64,0,1,0,0,0,0,34,0,0,0,0
2021-08-27,47,0,1,0,64,0,1,0,0,0,0,34,0,0,0,0
2021-08-28,47,0,1,0,64,0,1,0,0,0,0,34,0,0,0,0
2021-08-29,47,0,1,0,64,0,1,0,0,0,0,34,0,0,0,0
2021-08-30,47,0,1,0,64,0,1,0,0,0,0,34,0,0,0,0
2021-08-31,47,0,1,0,64,0,1,0,0,0,0,34,0,0,0,0
2021-09-01,47,0,1,0,64,0,1,0,0,0,0,34,0,0,0,0
2021-09-02,47,0,1,0,64,0,1,0,0,0,0,34,0,0,0,0
2021-09-03,47,0,1,0,64,0,1,0,0,0,0,34,0,0,0,0
2021-09-04,47,0,1,0,64,0,1,0,0,0,0,34,0,0,0,0
2021-09-05,47,0,1,0,64,0,1,0,0,0,0,34,0,0,0,0
2021-09-06,47,0,1,0,64,0,1,0,0,0,0,34,0,0,0,0
2021-09-07,47,0,1,0,64,0,1,0,0,0,0,34,0,0,0,0
2021-09-08,47,0,1,0,64,0,1,0,0,0,0,34,0,0,0,0
2021-09-09,47,0,1,0,64,0,1,0,0,0,0,34,0,0,0,0
2021-09-10,47,0,1,0,64,0,1,0,0,0,0,34,0,0,0,0
2021-09-11,47,0,1,0,64,0,1,0,0,0,0,34,0,0,0,0
2021-09-12,47,0,1,0,64,0,1,0,0,0,0,34,0,0,0,0
2021-09-13,47,0,1,0,64,0,1,0,0,0,0,34,0,0,0,0
2021-09-14,47,0,1,0,64,0,1,0,0,0,0,34,0,0,0,0
2021-09-15,47,0,1,0,64,0,1,0,0,0,0,34,0,0,0,0
2021-09-16,47,0,1,0,64,0,1,0,0,0,0,34,0,0,0,0
2021-09-17,47,0,1,0,64,0,1,0,0,0,0,34,0,0,0,0
2021-09-18,47,0,1,0,64,0,1,0,0,0,0,34,0,0,0,0
2021-09-19,47,0,1,0,64,0,1,0,0,0,0,34,0,0,0,0
2021-09-20,47,0,1,0,64,0,1,0,0,0,0,34,0,0,0,0
2021-11-22,49,0,1,0,67,0,1,0,0,0,0,34,0,0,0,0
2021-11-24,50,0,1,0,68,0,1,0,0,0,0,34,0,0,0,0
2022-05-03,66,0,1,0,94,0,1,0,0,0,0,34,0,0,0,0
2022-05-07,66,0,1,0,94,0,1,0,0,0,0,34,0,0,0,0
2022-05-08,66,0,1,0,94,0,1,0,0,0,0,34,0,0,0,0
2022-05-09,66,0,1,0,94,0,1,0,0,0,0,34,0,0,0,0
2022-05-10,66,0,1,0,94,0,1,0,0,0,0,34,0,0,0,0
2022-05-11,66,0,1,0,94,0,1,0,0,0,0,34,0,0,0,0
2022-05-12,66,0,1,0,94,0,1,0,0,0,0,34,0,0,0,0
2022-05-13,66,0,1,0,94,0,1,0,0,0,0,34,0,0,0,0
2022-05-14,66,0,1,0,94,0,1,0,0,0,0,34,0,0,0,0
2022-05-15,66,0,1,0,94,0,1,0,0,0,0,34,0,0,0,0
2022-05-16,66,0,1,0,94,0,1,0,0,0,0,34,0,0,0,0
2022-05-17,66,0,1,0,94,0,1,0,0,0,0,34,0,0,0,0
2022-05-18,66,0,1,0,94,0,1,0,0,0,0,34,0,0,0,0
2022-05-19,66,0,1,0,94,0,1,0,0,0,0,34,0,0,0,0
2022-05-20,66,0,1,0,94,0,1,0,0,0,0,34,0,0,0,0
2022-05-21,66,0,1,0,94,0,1,0,0,0,0,34,0,0,0,0
2022-05-22,66,0,1,0,94,0,1,0,0,0,0,34,0,0,0,0
2022-05-23,66,0,1,0,94,0,1,0,0,0,0,34,0,0,0,0
2022-05-24,66,0,1,0,94,0,1,0,0,0,0,34,0,0,0,0
2022-05-25,66,0,1,0,94,0,1,0,0,0,0,34,0,0,0,0
2022-05-26,66,0,1,0,94,0,1,0,0,0,0,34,0,0,0,0
2022-05-27,66,0,1,0,94,0,1,0,0,0,0,34,0,0,0,0
2022-05-28,66,0,1,0,94,0,1,0,0,0,0,34,0,0,0,0
2022-05-29,66,0,1,0,94,0,1,0,0,0,0,34,0,0,0,0
2022-05-30,66,0,1,0,94,0,1,0,0,0,0,34,0,0,0,0
2022-05-31,66,0,1,0,94,0,1,0,0,0,0,34,0,0,0,0
2022-06-01,66,0,1,0,94,0,1,0,0,0,0,34,0,0,0,0
2022-06-02,66,0,1,0,94,0,1,0,0,0,0,34,0,0,0,0
2022-06-03,66,0,1,0,94,0,1,0,0,0,0,34,0,0,0,0
2022-06-04,66,0,1,0,94,0,1,0,0,0,0,34,0,0,0,0
2022-06-05,66,0,1,0,94,0,1,0,0,0,0,34,0,0,0,0
2022-06-06,66,0,1,0,94,0,1,0,0,0,0,34,0,0,0,0
2022-06-07,66,0,1,0,94,0,1,0,0,0,0,34,0,0,0,0
2022-06-08,66,0,1,0,94,0,1,0,0,0,0,34,0,0,0,0
2022-06-09,66,0,1,0,94,0,1,0,0,0,0,34,0,0,0,0
2022-06-10,66,0,1,0,94,0,1,0,0,0,0,34,0,0,0,0
2022-06-11,66,0,1,0,94,0,1,0,0,0,0,34,0,0,0,0
2022-06-12,66,0,1,0,94,0,1,0,0,0,0,34,0,0,0,0
2022-06-13,66,0,1,0,94,0,1,0,0,0,0,34,0,0,0,0
2022-06-14,66,0,1,0,94,0,1,0,0,0,0,34,0,0,0,0
2022-06-15,66,0,1,0,94,0,1,0,0,0,0,34,0,0,0,0
2022-06-16,66,0,1,0,94,0,1,0,0,0,0,34,0,0,0,0
2022-06-17,66,0,1,0,94,0,1,0,0,0,0,34,0,0,0,0
2022-06-18,66,0,1,0,94,0,1,0,0,0,0,34,0,0,0,0
2022-06-19,66,0,1,0,94,0,1,0,0,0,0,34,0,0,0,0
2022-06-20,66,0,1,0,94,0,1,0,0,0,0,34,0,0,0,0
2022-06-21,66,0,1,0,94,0,1,0,0,0,0,34,0,0,0,0
2022-06-22,66,0,1,0,94,0,1,0,0,0,0,34,0,0,0,0
2022-06-23,66,0,1,0,94,0,1,0,0,0,0,34,0,0,0,0
2022-06-24,66,0,1,0,94,0,1,0,0,0,0,34,0,0,0,0
