date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,8340,0,0,2403,13114,9,0,2176,0,107,0,0,12008,74130,0,0
2021-08-11,8340,0,0,2403,13114,9,0,2176,0,107,0,0,12008,74130,0,0
2021-08-12,8342,0,0,2403,13114,9,0,2176,0,107,0,0,12008,74130,0,0
2021-08-13,8345,0,0,2403,13118,9,0,2176,0,107,0,0,12008,74130,0,0
2021-08-14,8345,0,0,2403,13124,9,0,2176,0,107,0,0,12008,74130,0,0
2021-08-15,8346,0,0,2403,13124,9,0,2176,0,107,0,0,12008,74130,0,0
2021-08-16,8349,0,0,2403,13125,9,0,2176,0,107,0,0,12008,74130,0,0
2021-08-17,8352,0,0,2403,13130,9,0,2176,0,107,0,0,12008,74130,0,0
2021-08-18,8353,0,0,2403,13143,9,0,2176,0,107,0,0,12008,74130,0,0
2021-08-19,8354,0,0,2403,13145,9,0,2176,0,107,0,0,12008,74130,0,0
2021-08-20,8355,0,0,2403,13146,9,0,2176,0,107,0,0,12008,74130,0,0
2021-08-21,8358,0,0,2403,13150,9,0,2176,0,107,0,0,12008,74130,0,0
2021-08-22,8358,0,0,2403,13155,9,0,2176,0,107,0,0,12008,74130,0,0
2021-08-23,8359,0,0,2403,13155,9,0,2176,0,107,0,0,12008,74130,0,0
2021-08-24,8364,0,0,2403,13156,9,0,2176,0,107,0,0,12008,74130,0,0
2021-08-25,8365,0,0,2403,13162,9,0,2176,0,107,0,0,12008,74130,0,0
2021-08-26,8367,0,0,2403,13163,9,0,2176,0,107,0,0,12008,74130,0,0
2021-08-27,8371,0,0,2403,13169,9,0,2176,0,107,0,0,12008,74130,0,0
2021-08-28,8372,0,0,2403,13176,9,0,2176,0,107,0,0,12008,74130,0,0
2021-08-29,8372,0,0,2403,13177,9,0,2176,0,107,0,0,12008,74130,0,0
2021-08-30,8373,0,0,2403,13177,9,0,2176,0,107,0,0,12008,74130,0,0
2021-08-31,8377,0,0,2403,13179,9,0,2176,0,107,0,0,12008,74130,0,0
2021-09-01,8377,0,0,2403,13186,9,0,2176,0,107,0,0,12008,74130,0,0
2021-09-02,8377,0,0,2403,13189,9,0,2176,0,107,0,0,12008,74130,0,0
2021-09-03,8378,0,0,2403,13190,9,0,2176,0,107,0,0,12008,74130,0,0
2021-09-04,8382,0,0,2403,13193,9,0,2176,0,107,0,0,12008,74130,0,0
2021-09-05,8383,0,0,2403,13202,9,0,2176,0,107,0,0,12008,74130,0,0
2021-09-06,8385,0,0,2403,13203,9,0,2176,0,107,0,0,12008,74130,0,0
2021-09-07,8387,0,0,2403,13209,9,0,2176,0,107,0,0,12008,74130,0,0
2021-09-08,8388,0,0,2403,13213,9,0,2176,0,107,0,0,12008,74130,0,0
2021-09-09,8391,0,0,2403,13216,9,0,2176,0,107,0,0,12008,74130,0,0
2021-09-10,8392,0,0,2403,13222,9,0,2176,0,107,0,0,12008,74130,0,0
2021-09-11,8396,0,0,2403,13225,9,0,2176,0,107,0,0,12008,74130,0,0
2021-09-12,8398,0,0,2403,13231,9,0,2176,0,107,0,0,12008,74130,0,0
2021-09-13,8402,0,0,2403,13234,9,0,2176,0,107,0,0,12008,74130,0,0
2021-09-14,8405,0,0,2403,13241,9,0,2176,0,107,0,0,12008,74130,0,0
2021-09-15,8411,0,0,2403,13244,9,0,2176,0,107,0,0,12008,74130,0,0
2021-09-16,8422,0,0,2403,13255,9,0,2176,0,107,0,0,12008,74130,0,0
2021-09-17,8424,0,0,2403,13270,9,0,2176,0,107,0,0,12008,74130,0,0
2021-09-18,8426,0,0,2403,13273,9,0,2176,0,107,0,0,12008,74130,0,0
2021-09-19,8428,0,0,2403,13280,9,0,2176,0,107,0,0,12008,74130,0,0
2021-09-20,8433,0,0,2403,13281,9,0,2176,0,107,0,0,12008,74130,0,0
2021-11-22,8512,0,0,2403,13452,9,0,2176,0,107,0,0,12008,74130,0,0
2021-11-24,8514,0,0,2403,13457,9,0,2176,0,107,0,0,12008,74130,0,0
2022-05-03,8794,0,0,2403,14272,9,0,2176,0,107,0,0,12008,74130,0,0
2022-05-07,8800,0,0,2403,14284,9,0,2176,0,107,0,0,12008,74130,0,0
2022-05-08,8800,0,0,2403,14288,9,0,2176,0,107,0,0,12008,74130,0,0
2022-05-09,8803,0,0,2403,14288,9,0,2176,0,107,0,0,12008,74130,0,0
2022-05-10,8806,0,0,2403,14295,9,0,2176,0,107,0,0,12008,74130,0,0
2022-05-11,8808,0,0,2403,14299,9,0,2176,0,107,0,0,12008,74130,0,0
2022-05-12,8813,0,0,2403,14304,9,0,2176,0,107,0,0,12008,74130,0,0
2022-05-13,8816,0,0,2403,14308,9,0,2176,0,107,0,0,12008,74130,0,0
2022-05-14,8817,0,0,2403,14319,9,0,2176,0,107,0,0,12008,74130,0,0
2022-05-15,8817,0,0,2403,14321,9,0,2176,0,107,0,0,12008,74130,0,0
2022-05-16,8817,0,0,2403,14321,9,0,2176,0,107,0,0,12008,74130,0,0
2022-05-17,8823,0,0,2403,14322,9,0,2176,0,107,0,0,12008,74130,0,0
2022-05-18,8823,0,0,2403,14330,9,0,2176,0,107,0,0,12008,74130,0,0
2022-05-19,8825,0,0,2403,14337,9,0,2176,0,107,0,0,12008,74130,0,0
2022-05-20,8830,0,0,2403,14342,9,0,2176,0,107,0,0,12008,74130,0,0
2022-05-21,8833,0,0,2403,14349,9,0,2176,0,107,0,0,12008,74130,0,0
2022-05-22,8833,0,0,2403,14355,9,0,2176,0,107,0,0,12008,74130,0,0
2022-05-23,8834,0,0,2403,14356,9,0,2176,0,107,0,0,12008,74130,0,0
2022-05-24,8841,0,0,2403,14365,9,0,2176,0,107,0,0,12008,74130,0,0
2022-05-25,8844,0,0,2403,14382,9,0,2176,0,107,0,0,12008,74130,0,0
2022-05-26,8847,0,0,2403,14387,9,0,2176,0,107,0,0,12008,74130,0,0
2022-05-27,8853,0,0,2403,14392,9,0,2176,0,107,0,0,12008,74130,0,0
2022-05-28,8856,0,0,2403,14402,9,0,2176,0,107,0,0,12008,74130,0,0
2022-05-29,8858,0,0,2403,14408,9,0,2176,0,107,0,0,12008,74130,0,0
2022-05-30,8862,0,0,2403,14409,9,0,2176,0,107,0,0,12008,74130,0,0
2022-05-31,8864,0,0,2403,14423,9,0,2176,0,107,0,0,12008,74130,0,0
2022-06-01,8868,0,0,2403,14429,9,0,2176,0,107,0,0,12008,74130,0,0
2022-06-02,8872,0,0,2403,14436,9,0,2176,0,107,0,0,12008,74130,0,0
2022-06-03,8874,0,0,2403,14446,9,0,2176,0,107,0,0,12008,74130,0,0
2022-06-04,8875,0,0,2403,14455,9,0,2176,0,107,0,0,12008,74130,0,0
2022-06-05,8875,0,0,2403,14463,9,0,2176,0,107,0,0,12008,74130,0,0
2022-06-06,8877,0,0,2403,14464,9,0,2176,0,107,0,0,12008,74130,0,0
2022-06-07,8882,0,0,2403,14467,9,0,2176,0,107,0,0,12008,74130,0,0
2022-06-08,8887,0,0,2403,14480,9,0,2176,0,107,0,0,12008,74130,0,0
2022-06-09,8887,0,0,2403,14490,9,0,2176,0,107,0,0,12008,74130,0,0
2022-06-10,8889,0,0,2403,14492,9,0,2176,0,107,0,0,12008,74130,0,0
2022-06-11,8891,0,0,2403,14498,9,0,2176,0,107,0,0,12008,74130,0,0
2022-06-12,8892,0,0,2403,14504,9,0,2176,0,107,0,0,12008,74130,0,0
2022-06-13,8895,0,0,2403,14506,9,0,2176,0,107,0,0,12008,74130,0,0
2022-06-14,8900,0,0,2403,14510,9,0,2176,0,107,0,0,12008,74130,0,0
2022-06-15,8900,0,0,2403,14518,9,0,2176,0,107,0,0,12008,74130,0,0
2022-06-16,8903,0,0,2403,14520,9,0,2176,0,107,0,0,12008,74130,0,0
2022-06-17,8905,0,0,2403,14528,9,0,2176,0,107,0,0,12008,74130,0,0
2022-06-18,8907,0,0,2403,14534,9,0,2176,0,107,0,0,12008,74130,0,0
2022-06-19,8908,0,0,2403,14542,9,0,2176,0,107,0,0,12008,74130,0,0
2022-06-20,8909,0,0,2403,14546,9,0,2176,0,107,0,0,12008,74130,0,0
2022-06-21,8914,0,0,2403,14551,9,0,2176,0,107,0,0,12008,74130,0,0
2022-06-22,8916,0,0,2403,14559,9,0,2176,0,107,0,0,12008,74130,0,0
2022-06-23,8927,0,0,2403,14567,9,0,2176,0,107,0,0,12008,74130,0,0
2022-06-24,8932,0,0,2403,14586,9,0,2176,0,107,0,0,12008,74130,0,0
2022-06-25,8934,0,0,2403,14591,9,0,2176,0,107,0,0,12008,74130,0,0
2022-06-26,8936,0,0,2403,14595,9,0,2176,0,107,0,0,12008,74130,0,0
2022-06-27,8940,0,0,2403,14598,9,0,2176,0,107,0,0,12008,74130,0,0
2022-06-28,8945,0,0,2403,14603,9,0,2176,0,107,0,0,12008,74130,0,0
2022-06-29,8956,0,0,2403,14612,9,0,2176,0,107,0,0,12008,74130,0,0
2022-06-30,8961,0,0,2403,14627,9,0,2176,0,107,0,0,12008,74130,0,0
2022-07-01,8967,0,0,2403,14634,9,0,2176,0,107,0,0,12008,74130,0,0
2022-07-02,8969,0,0,2403,14644,9,0,2176,0,107,0,0,12008,74130,0,0
2022-07-03,8973,0,0,2403,14649,9,0,2176,0,107,0,0,12008,74130,0,0
2022-07-04,8976,0,0,2403,14653,9,0,2176,0,107,0,0,12008,74130,0,0
2022-07-05,8976,0,0,2403,14658,9,0,2176,0,107,0,0,12008,74130,0,0
2022-07-06,8981,0,0,2403,14658,9,0,2176,0,107,0,0,12008,74130,0,0
2022-07-07,8984,0,0,2403,14667,9,0,2176,0,107,0,0,12008,74130,0,0
2022-07-08,8986,0,0,2403,14680,9,0,2176,0,107,0,0,12008,74130,0,0
2022-07-09,8986,0,0,2403,14684,9,0,2176,0,107,0,0,12008,74130,0,0
2022-07-10,8986,0,0,2403,14689,9,0,2176,0,107,0,0,12008,74130,0,0
2022-07-11,8986,0,0,2403,14690,9,0,2176,0,107,0,0,12008,74130,0,0
