date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,105,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-11,106,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-12,108,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-13,111,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-14,111,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-15,111,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-16,113,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-17,115,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-18,115,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-19,117,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-20,118,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-21,118,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-22,118,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-23,119,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-24,122,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-25,123,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-26,123,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-27,123,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-28,124,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-29,124,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-30,125,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-31,126,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-01,128,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-02,128,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-03,129,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-04,132,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-05,132,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-06,133,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-07,134,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-08,135,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-09,135,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-10,136,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-11,137,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-12,137,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-13,140,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-14,140,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-15,141,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-16,141,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-17,143,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-18,145,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0
