date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,4155,4,14,3263,6985,9,15,4048,252,1504,644,1738,1820,221,7,4
2021-08-11,4171,4,14,3267,6985,9,15,4048,252,1504,644,1738,1820,221,7,4
2021-08-12,4194,4,14,3270,7015,9,15,4051,252,1504,644,1738,1820,221,7,4
2021-08-13,4215,4,14,3267,7043,9,15,4054,252,1504,644,1738,1820,221,7,4
2021-08-14,4226,4,14,3274,7071,9,15,4051,252,1504,644,1738,1820,221,7,4
2021-08-15,4230,4,14,3275,7089,9,15,4058,252,1504,644,1738,1820,221,7,4
2021-08-16,4246,4,14,3269,7097,9,15,4059,252,1504,644,1738,1820,221,7,4
2021-08-17,4260,4,14,3270,7116,9,15,4053,252,1505,644,1738,1820,221,7,4
2021-08-18,4269,4,14,3271,7134,9,15,4054,252,1505,644,1738,1820,221,7,4
2021-08-19,4282,4,14,3272,7150,9,15,4055,252,1505,644,1738,1820,221,7,4
2021-08-20,4296,4,14,3275,7163,9,15,4056,252,1505,644,1738,1820,221,7,4
2021-08-21,4307,4,14,3275,7183,9,15,4059,252,1505,644,1738,1820,221,7,4
2021-08-22,4308,4,14,3275,7194,9,15,4059,252,1505,644,1738,1820,221,7,4
2021-08-23,4320,4,14,3275,7195,9,15,4059,252,1505,644,1738,1820,221,7,4
2021-08-24,4331,4,14,3275,7213,9,15,4059,252,1505,644,1738,1821,221,7,4
2021-08-25,4339,4,14,3275,7232,9,15,4059,252,1505,644,1738,1821,221,7,4
2021-08-26,4355,4,14,3275,7247,9,15,4059,252,1505,644,1738,1821,221,7,4
2021-08-27,4370,4,14,3277,7266,9,15,4059,252,1505,644,1738,1821,221,7,4
2021-08-28,4381,4,14,3277,7287,9,15,4061,252,1505,644,1738,1821,221,7,4
2021-08-29,4383,4,14,3277,7302,9,15,4061,252,1505,644,1738,1821,221,7,4
2021-08-30,4391,4,14,3278,7304,9,15,4061,252,1505,644,1738,1821,221,7,4
2021-08-31,4402,4,14,3277,7319,9,15,4062,252,1505,644,1738,1821,221,7,4
2021-09-01,4413,4,14,3280,7333,9,15,4061,252,1506,645,1738,1825,221,7,4
2021-09-02,4428,4,14,3280,7347,9,15,4064,252,1507,646,1738,1826,221,7,4
2021-09-03,4442,4,14,3283,7366,9,15,4064,252,1507,646,1738,1826,221,7,4
2021-09-04,4454,4,14,3283,7390,9,15,4067,252,1507,646,1738,1827,221,7,4
2021-09-05,4459,4,14,3283,7414,9,15,4067,252,1507,646,1738,1829,221,7,4
2021-09-06,4473,4,14,3283,7418,9,15,4067,252,1507,646,1738,1829,221,7,4
