date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,138,0,1,0,481,0,4,74,0,682,0,0,0,0,0,0
2021-08-11,138,0,1,0,481,0,4,74,0,682,0,0,0,0,0,0
2021-08-12,138,0,1,0,481,0,4,74,0,682,0,0,0,0,0,0
2021-08-13,138,0,1,0,481,0,4,74,0,682,0,0,0,0,0,0
2021-08-14,138,0,1,0,481,0,4,74,0,682,0,0,0,0,0,0
2021-08-15,138,0,1,0,481,0,4,74,0,682,0,0,0,0,0,0
2021-08-16,138,0,1,0,481,0,4,74,0,682,0,0,0,0,0,0
2021-08-17,138,0,1,0,481,0,4,74,0,682,0,0,0,0,0,0
2021-08-18,138,0,1,0,481,0,4,74,0,682,0,0,0,0,0,0
2021-08-19,138,0,1,0,481,0,4,74,0,682,0,0,0,0,0,0
2021-08-20,138,0,1,0,481,0,4,74,0,682,0,0,0,0,0,0
2021-08-21,138,0,1,0,481,0,4,74,0,682,0,0,0,0,0,0
2021-08-22,138,0,1,0,481,0,4,74,0,682,0,0,0,0,0,0
2021-08-23,138,0,1,0,481,0,4,74,0,682,0,0,0,0,0,0
2021-08-24,138,0,1,0,481,0,4,74,0,682,0,0,0,0,0,0
2021-08-25,138,0,1,0,481,0,4,74,0,682,0,0,0,0,0,0
2021-08-26,138,0,1,0,481,0,4,74,0,682,0,0,0,0,0,0
2021-08-27,138,0,1,0,481,0,4,74,0,682,0,0,0,0,0,0
2021-08-28,138,0,1,0,481,0,4,74,0,682,0,0,0,0,0,0
2021-08-29,138,0,1,0,481,0,4,74,0,682,0,0,0,0,0,0
2021-08-30,138,0,1,0,481,0,4,74,0,682,0,0,0,0,0,0
2021-08-31,138,0,1,0,481,0,4,74,0,682,0,0,0,0,0,0
2021-09-01,138,0,1,0,481,0,4,74,0,682,0,0,0,0,0,0
2021-09-02,138,0,1,0,481,0,4,74,0,682,0,0,0,0,0,0
2021-09-03,138,0,1,0,481,0,4,74,0,682,0,0,0,0,0,0
2021-09-04,138,0,1,0,481,0,4,74,0,682,0,0,0,0,0,0
2021-09-05,138,0,1,0,481,0,4,74,0,682,0,0,0,0,0,0
2021-09-06,138,0,1,0,481,0,4,74,0,682,0,0,0,0,0,0
2021-09-07,138,0,1,0,481,0,4,74,0,682,0,0,0,0,0,0
2021-09-08,138,0,1,0,481,0,4,74,0,682,0,0,0,0,0,0
2021-09-09,138,0,1,0,481,0,4,74,0,682,0,0,0,0,0,0
2021-09-10,138,0,1,0,481,0,4,74,0,682,0,0,0,0,0,0
2021-09-11,138,0,1,0,481,0,4,74,0,682,0,0,0,0,0,0
2021-09-12,138,0,1,0,481,0,4,74,0,682,0,0,0,0,0,0
2021-09-13,138,0,1,0,481,0,4,74,0,682,0,0,0,0,0,0
2021-09-14,138,0,1,0,481,0,4,74,0,682,0,0,0,0,0,0
2021-09-15,138,0,1,0,481,0,4,74,0,682,0,0,0,0,0,0
2021-09-16,138,0,1,0,481,0,4,74,0,682,0,0,0,0,0,0
2021-09-17,138,0,1,0,481,0,4,74,0,682,0,0,0,0,0,0
2021-09-18,138,0,1,0,481,0,4,74,0,682,0,0,0,0,0,0
2021-09-19,138,0,1,0,481,0,4,74,0,682,0,0,0,0,0,0
2021-09-20,138,0,1,0,481,0,4,74,0,682,0,0,0,0,0,0
2021-11-22,138,0,1,0,481,0,4,74,0,682,0,0,0,0,0,0
2022-05-03,138,0,1,0,481,0,4,74,0,682,0,0,0,0,0,0
2022-05-07,138,0,1,0,481,0,4,74,0,682,0,0,0,0,0,0
2022-05-08,138,0,1,0,481,0,4,74,0,682,0,0,0,0,0,0
