date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,9838,7,28,809,11293,53,28,962,273,1184,314,9121,887,12,81,0
2021-08-11,9839,7,28,809,11293,53,28,962,273,1184,314,9121,887,12,81,0
2021-08-12,9844,7,28,809,11296,53,28,962,273,1184,314,9121,887,12,81,0
2021-08-13,9845,7,28,809,11301,53,28,962,273,1184,314,9121,887,12,81,0
2021-08-14,9851,7,28,809,11307,53,28,962,273,1184,314,9121,887,12,81,0
2021-08-15,9852,7,28,810,11314,53,28,962,273,1184,314,9121,887,12,81,0
2021-08-16,9854,7,28,810,11315,53,28,963,273,1184,314,9121,887,12,81,0
2021-08-17,9857,7,28,810,11322,53,28,963,273,1184,314,9121,887,12,81,0
2021-08-18,9867,7,28,810,11329,53,28,963,274,1184,314,9121,887,12,81,0
2021-08-19,9876,7,28,810,11341,53,28,963,274,1184,314,9121,887,12,81,0
2021-08-20,9881,7,28,810,11352,53,28,963,274,1185,314,9121,887,12,81,0
2021-08-21,9883,7,28,810,11359,53,28,963,274,1185,314,9121,887,12,81,0
2021-08-22,9884,7,28,810,11360,53,28,963,274,1185,314,9121,887,12,81,0
2021-08-23,9888,7,28,810,11361,53,28,963,274,1185,314,9121,887,12,81,0
2021-08-24,9889,7,28,810,11367,53,28,963,274,1185,314,9121,887,12,81,0
2021-08-25,9896,7,28,810,11370,53,28,963,274,1185,314,9121,887,12,81,0
2021-08-26,9900,7,28,810,11377,53,28,963,274,1185,314,9121,887,12,81,0
2021-08-27,9904,7,28,810,11384,53,28,963,274,1185,314,9121,887,12,81,0
2021-08-28,9907,7,28,810,11389,53,28,963,274,1185,314,9121,887,12,81,0
2021-08-29,9907,4,28,810,11392,53,28,963,274,1185,314,9121,887,12,81,0
2021-08-30,9910,4,28,810,11395,53,28,963,274,1185,314,9121,887,12,81,0
2021-08-31,9911,4,28,810,11399,53,28,963,275,1185,314,9121,887,12,81,0
2021-09-01,9915,4,28,810,11404,53,28,963,275,1185,314,9121,887,12,81,0
2021-09-02,9918,4,28,810,11410,53,28,963,275,1185,314,9121,887,12,81,0
2021-09-03,9922,4,28,810,11414,53,28,963,275,1185,314,9121,887,12,81,0
2021-09-04,9927,4,28,810,11419,53,28,963,275,1185,314,9121,887,12,81,0
2021-09-05,9928,4,28,810,11424,53,28,963,275,1185,314,9121,889,12,81,0
2021-09-06,9937,4,28,810,11426,53,28,963,275,1185,314,9121,889,12,81,0
2021-09-07,9941,4,28,810,11437,53,28,963,275,1185,314,9121,889,12,81,0
2021-09-08,9948,4,28,810,11442,53,28,963,275,1185,314,9121,889,12,81,0
2021-09-09,9951,4,28,810,11451,53,28,963,275,1185,314,9121,889,12,81,0
2021-09-10,9955,4,28,810,11458,53,28,963,275,1185,314,9121,889,12,81,0
2021-09-11,9955,4,28,810,11462,53,28,963,275,1185,314,9121,889,12,81,0
2021-09-12,9958,4,28,810,11462,53,28,963,275,1185,314,9121,889,12,81,0
2021-09-13,9964,4,28,810,11465,53,28,963,275,1185,314,9121,889,12,81,0
2021-09-14,9975,4,28,812,11473,53,28,963,275,1185,314,9121,889,12,81,0
2021-09-15,9986,4,28,812,11491,53,28,965,275,1185,314,9121,889,12,81,0
2021-09-16,10006,4,28,812,11508,53,28,965,275,1185,314,9121,889,12,81,0
2021-09-17,10011,4,28,812,11534,53,28,965,275,1185,314,9121,889,12,81,0
2021-09-18,10012,4,28,812,11540,53,28,965,275,1185,314,9121,889,12,81,0
2021-09-19,10015,4,28,812,11543,53,28,965,275,1185,314,9121,889,12,81,0
2021-09-20,10023,4,28,812,11548,53,28,965,275,1185,314,9121,889,12,81,0
2021-11-22,10503,7,28,816,12206,61,28,978,300,1343,314,9121,1015,1008,81,0
2021-11-24,10521,7,28,816,12243,61,28,978,307,1343,314,9121,1015,1260,81,0
2022-05-03,11538,8,33,817,13775,70,33,1025,364,1347,406,9121,1017,1332,81,0
2022-05-07,11590,8,33,822,13849,70,33,1030,364,1367,406,9121,1046,1332,81,0
2022-05-08,11593,8,33,822,13849,70,33,1030,364,1367,406,9121,1046,1332,81,0
2022-05-09,11615,8,33,825,13854,70,33,1030,364,1367,406,9121,1057,1332,81,0
2022-05-10,11558,8,33,1032,13878,70,33,1033,366,1369,406,9121,1078,1332,81,0
2022-05-11,11569,8,33,1032,13894,70,33,1033,368,1369,406,9121,1078,1332,81,0
2022-05-12,11579,8,33,1032,13910,70,33,1033,368,1369,406,9121,1078,1332,81,0
2022-05-13,11587,8,33,1032,13921,70,33,1033,368,1369,406,9121,1078,1332,81,0
2022-05-14,11591,8,33,1032,13930,70,33,1033,368,1370,406,9121,1078,1332,81,0
2022-05-15,11593,8,33,1032,13937,70,33,1033,368,1371,406,9121,1078,1332,81,0
2022-05-16,11599,8,33,1032,13940,70,33,1033,368,1371,406,9121,1078,1332,81,0
2022-05-17,11606,8,33,1032,13957,70,33,1033,368,1371,406,9121,1078,1332,81,0
2022-05-18,11612,8,33,1032,13966,70,33,1033,369,1372,406,9121,1078,1332,81,0
2022-05-19,11620,8,33,1032,13978,70,33,1033,369,1372,406,9121,1078,1332,81,0
2022-05-20,11630,8,33,1032,13996,70,33,1033,369,1372,406,9121,1078,1332,81,0
