date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-11,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-12,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-13,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-14,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-15,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-16,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-17,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-18,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-19,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-20,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-21,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-22,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-23,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-24,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-25,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-26,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-27,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-28,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-29,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-30,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-31,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-01,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-02,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-03,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-04,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-05,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-06,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-07,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-08,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-09,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-10,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-11,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-12,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-13,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-14,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-15,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-16,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-17,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-18,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-19,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-20,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-22,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-24,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-03,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-07,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-08,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-09,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-11,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-12,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-13,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-14,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-15,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-16,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-17,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-18,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-19,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-20,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-21,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-22,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-23,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-24,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-25,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-26,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-27,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-28,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-29,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-30,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-31,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-01,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-02,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-03,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-04,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-05,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-06,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-07,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-08,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-09,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-10,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-11,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-12,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-13,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-14,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-15,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-16,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-17,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-18,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-19,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-20,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-21,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-22,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-23,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-24,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-25,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-26,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-27,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-28,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-29,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-30,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-01,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-02,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-03,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-04,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-05,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-06,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-07,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-08,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-09,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-10,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-11,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-12,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-13,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-14,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-15,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-16,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-17,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-18,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-19,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-20,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-21,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-22,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-23,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-24,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-25,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-26,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-27,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-28,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-29,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-30,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-31,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-01,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-02,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-03,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-04,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-05,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-06,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
