id,platform_url,source_url,app_name,platform_name,version,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
1,https://www.decidim.barcelona,https://github.com/AjuntamentdeBarcelona/decidim-barcelona,Decidim Barcelona,decidim.barcelona,0.24.3,97337,14,182,28318,137883,77,200,32596,3089,27438,12322,251929,11291,26343,5612,18
2,https://www.participate.nyc.gov,https://github.com/OpenSourcePolitics/decidim-nyc,OSP Agora,NYC Civic Engagement Commission (CEC),0.23.6,2967,3,2,192,3639,4,3,200,178,147,50,0,162,10252,0,0
3,https://omastadi.hel.fi,https://github.com/City-of-Helsinki/decidim-helsinki,City of Helsinki participationary platform,OmaStadi,0.23.6,73915,1,1,10019,0,0,0,0,0,0,0,0,0,0,0,0
4,https://plazapublica.cdmx.gob.mx,https://github.com/levortian/PlazaPublicaCDMX,Plaza Pública,Plaza Pública,0.20.0,5226,0,1,1394,0,0,0,0,0,0,0,0,0,0,0,0
5,https://kakogawa.diycities.jp,https://github.com/codeforjapan/decidim-cfj,Code for Japan Decidim,加古川市 市民参加型合意形成プラットフォーム,0.23.0.dev,365,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0
6,https://quartieridee.ch,https://github.com/puzzle/quartieridee,Quartieridee,Quartieridee,0.22.0,1385,0,8,320,0,0,0,0,0,0,0,0,0,0,0,0
7,https://partecipazione.comune.milano.it,https://github.com/Comune-Milano/dedicim-mi,My Application Name,Comune di Milano | Milano Partecipa,0.20.0,5011,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
8,https://participez.nancy.fr,https://github.com/OpenSourcePolitics/decidim-nancy,Ville de Nancy,Ville de Nancy,0.22.0,3313,0,0,268,5035,1,2,1407,8,893,50,954,1259,0,25,0
9,https://mun.tampere.fi,,Mun Tampere,Mun Tampere,0.24.3,5638,2,0,267,6139,2,0,267,0,379,227,0,40,0,12,0
11,https://decide.belem.pa.gov.br,,Tá Selado!,TÁ SELADO,0.24.1,1184,1,0,167,2813,1,0,225,109,316,0,1004,612,0,0,0
12,https://borgerkraft.trondheim.kommune.no,,Decidim TK,Borgerkraft,0.24.0,364,1,0,14,251,4,3,14,12,115,0,6,1,56,0,0
13,https://folkebudsjett.no,,Decidim TK,Stavanger kommune,0.24.0,145,0,0,59,82,12,0,86,0,19,0,4,3,2,0,0
15,https://participer.lausanne.ch,https://github.com/OpenSourcePolitics/decidim-lausa,OSP Agora,Lausanne participe - Plateforme de participation de la Ville de Lausanne,0.23.1,301,3,0,44,569,4,1,72,3,89,11,0,200,90,0,0
16,https://participa.reus.cat,https://github.com/AjuntamentdeReus/decidim,My Application Name,Reus Participa,0.19.0,5835,2,1,307,6812,10,1,309,52,570,110,18429,656,11451,0,0
17,https://osallistu.vantaa.fi,,Vantaa Decidim,Vantaan osallistuva budjetointi,0.24.3,1740,0,0,171,2309,4,0,171,17,535,290,0,10,0,0,0
18,https://waterloo.monopinion.belgium.be,,bosa,Waterloo,0.22.0,219,0,0,111,259,1,0,111,0,78,0,535,30,0,0,0
19,https://www.lhon-participa.cat,https://github.com/HospitaletDeLlobregat/decidim-hospitalet,Decidim Hospitalet,l'h-on participa,0.24.2,5579,1,17,0,11679,11,18,3,239,9478,20,51,15,113070,13,0
20,https://decidim.santcugat.cat,https://github.com/AjuntamentdeSantCugat/decidim-sant_cugat,Decidim Sant Cugat,Decidim Sant Cugat,0.23.6,9589,0,11,239,13617,27,11,750,186,670,19,30328,281,1795,140,0
22,https://participez.nanterre.fr,https://github.com/OpenSourcePolitics/osp-app/tree/alt/nanterre,participez.nanterre.fr,participez.nanterre.fr,0.22.0,3114,1,2,302,7498,18,2,507,44,259,79,0,135,10128,85,56
23,https://decidim-esparreguera.diba.cat,https://github.com/CodiTramuntana/decidim-esparreguera-app,Decidim DIBA,Esparreguera Decideix,0.23.6,78,2,0,2,105,13,0,2,3,222,52,0,8,0,0,0
24,https://participa.terrassa.cat,https://github.com/AjuntamentDeTerrassa/decidim-terrassa,Participa a Terrassa,Participa a Terrassa,0.24.2,9867,7,28,810,11329,53,28,963,274,1184,314,9121,887,12,81,0
25,https://osallistu.tuusula.fi,,Tuusulan kunta,Tuusulan kunta,0.24.3,6332,1,0,461,7083,10,0,474,36,1415,626,344,237,0,109,0
26,https://nivelles.monopinion.belgium.be,,bosa,Nivelles,0.22.0,167,0,0,53,207,2,0,53,1,25,0,253,10,4320,0,0
27,https://www.budget-participatif-romainville.fr,,OSP Agora,Budget participatif de Romainville,0.22.0,509,0,0,195,912,2,0,201,12,167,65,1,645,0,0,0
28,https://decideix.ajmalgrat.cat,https://github.com/AjMalgrat/decidim-malgrat,Decidim Ajuntament de Malgrat de Mar,Decideix Malgrat de Mar,0.21.0,317,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
29,https://espluguesparticipa.diba.cat,,Decidim DIBA,Esplugues de Llobregat,0.23.6,2156,1,7,152,4236,16,8,175,207,722,276,4066,267,0,8,4
30,https://decidim.sabadell.cat,https://github.com/AjuntamentDeSabadell/decidim-sabadell,Decidim Sabadell,Decidim Sabadell,0.22.0,12624,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0
31,https://atelierdevosidees.loiret.fr,https://github.com/OpenSourcePolitics/decidim-cd45,Département du Loiret,L'atelier de vos idées,0.22.0,3203,2,0,307,7912,9,0,301,0,296,114,6,430,2178,46,0
32,https://uccle.monopinion.belgium.be,,bosa,Uccle,0.22.0,1118,3,0,250,1453,4,0,281,4,113,16,1656,74,30540,0,0
33,https://decidim.calafell.cat,https://github.com/AjuntamentdeCalafell/decidim-calafell,Decidim Calafell,Decidim Calafell,0.24.3,4462,10,10,137,5401,21,10,148,60,241,125,2797,337,3404,91,1
34,https://participa.santboi.cat,,Multitenant Decideix,Ajuntament de Sant Boi de Llobregat,0.24.3,1918,6,18,179,2622,17,18,325,59,190,57,194,1031,9,28,19
35,https://participation.lillemetropole.fr,https://github.com/OpenSourcePolitics/decidim-mel,Plateforme Citoyenne MEL,À Vous La Parole ! ,0.18.0,5394,6,15,815,7944,58,3,3205,47,1382,0,3076,1515,31327,0,94
36,https://participa.gencat.cat,https://github.com/gencat/participa,Participa,Participa gencat,0.24.3,16185,14,69,1038,22445,258,76,1960,336,5229,653,8469,6676,29992,7,12
37,https://petitions.assemblee-nationale.fr,,decidim,Plateforme des pétitions de l’Assemblée nationale,0.22.0.dev,145023,0,0,0,145027,0,0,0,0,0,0,0,0,0,0,0
38,https://petitions.senat.fr,https://github.com/OpenSourcePolitics/decidim-sen,opensourcepolitics,e-pétitions du Sénat,0.21.0.pre.dev,174306,0,0,0,174306,0,0,0,0,0,0,0,0,0,0,0
39,https://consultation.quebec.ca,https://gitlab.forge.gouv.qc.ca/claude.durocher/decidim,decidim,Consultation Québec,0.22.0,22413,8,0,113,0,0,0,0,0,0,0,0,0,0,0,0
40,https://dekamer.mijnopinie.belgium.be,,bosa,Pétitions - Petities ,0.22.0,6546,0,0,0,6474,0,0,1,0,0,0,0,0,0,0,0
41,https://partecipazione.regione.puglia.it,,Puglia Partecipa,Puglia Partecipa,0.18.0,1199,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0
42,https://partecipa.gov.it,https://github.com/dipartimentofunzionepubblica/partecipa,Formez Decidim,ParteciPa,0.20.0,8270,4,0,460,0,0,0,0,0,0,0,0,0,0,0,0
43,https://www.visc.ad,,pre.visc.ad,VISC,0.20.0,397,4,0,15,0,0,0,0,0,0,0,0,0,0,0,0
44,https://mon.incubateur.anct.gouv.fr,,OSP Agora,Mon Incubateur des Territoires,0.23.1,1166,0,0,327,1849,2,0,327,17,553,408,0,3898,42,0,0
45,https://participa.premet25.cat,https://github.com/barcelonaregional/decidim-premet25,Participa Premet25,PREMET25,0.24.2,41,2,0,0,68,2,0,0,10,134,0,35,0,0,0,0
46,https://participer.loire-atlantique.fr,https://github.com/OpenSourcePolitics/decidim-cd44,Loire Atlantique,participer.loire-atlantique.fr,0.23.6,2269,4,0,187,3262,11,0,289,59,827,40,643,0,1572,0,0
48,https://monopinion.belgium.be,,bosa,MyOpinion,0.22.0,333,4,0,93,417,8,0,139,1,79,0,1102,33,0,0,0
49,https://ecrivons.angers.fr,https://github.com/OpenSourcePolitics/decidim-ang,Participation citoyenne Ville d'Angers,Ecrivons Angers,0.23.1,13855,4,12,2778,18804,25,12,3105,139,2339,881,412,5777,11503,48,0
50,https://decidim.diba.cat,https://github.com/diputacioBCN/decidim-diba,Decidim DIBA,Decidim Diputació de Barcelona,0.23.6,47,0,1,0,64,0,1,0,0,0,0,34,0,0,0,0
51,https://stratnumgaspesie.com,,TCTIC,Stratégie numérique de la Gaspésie,0.23.0,110,3,2,7,0,0,0,0,0,0,0,0,0,0,0,0
52,https://labs.openheritage.eu,https://github.com/Platoniq/decidim-openheritage,OpenHeritage Participatory Platform,OpenHeritage Participatory Platform,0.24.3,1371,4,3,27,1593,16,3,63,29,149,25,199,12,766,0,0
53,https://decidim.barcelonaenergia.cat,https://github.com/CodiTramuntana/decidim-barcelona_energia-app,Decidim BarcelonaEnergia,Consell de persones usuàries de Barcelona Energia,0.23.6,284,0,2,25,458,2,2,34,3,110,0,3,7,150,0,0
54,https://codefor.fr,,decidim.f0rk,Code for France,0.16.1,179,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
55,https://contribuez.conventioncitoyennepourleclimat.fr,https://github.com/OpenSourcePolitics/osp-app/tree/alt/ccc,OSP Agora,Contribuez à la Convention Citoyenne pour le Climat,0.18.0,2065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,https://participa.uned.es,,Decidim Populate,UNED,0.24.2,2565,0,0,284,2566,1,0,284,0,34,0,7450,0,0,0,0
57,https://participation.u-bordeaux.fr,https://github.com/OpenSourcePolitics/decidim-ubx,OSP Agora,Université de Bordeaux,0.21.0.pre.dev,2521,0,33,143,2548,6,26,133,16,151,36,929,656,12,15,5
58,https://participa.favb.cat,,Decidim Barcelona Organizations,Participa - FAVB,0.23.5,458,1,14,47,743,3,15,498,145,434,0,223,1,156,0,0
